global,time,tm_tax_mrch_sm_ar_zs
world,1988,8.88
world,1989,13.76
world,1990,15.02
world,1991,13.07
world,1992,14.11
world,1993,13.36
world,1994,15.58
world,1995,12.24
world,1996,10.13
world,1997,10.31
world,1998,10.18
world,1999,10.77
world,2000,10.76
world,2001,10.05
world,2002,9.77
world,2003,9.06
world,2004,8.46
world,2005,8.09
world,2006,7.85
world,2007,7.49
world,2008,7.54
world,2009,7.28
world,2010,7.48
world,2011,7.31
world,2012,6.89
world,2013,6.78
world,2014,6.15
world,2015,6.17
world,2016,6.38
world,2017,5.17
