global,time,iq_cpa_breg_xq
world,2005,3.30921
world,2006,3.21795
world,2007,3.28
world,2008,3.27333
world,2009,3.26623
world,2010,3.24026
world,2011,3.1859
world,2012,3.16875
world,2013,3.17901
world,2014,3.13816
world,2015,3.10526
world,2016,3.09589
world,2017,3.04054
world,2018,3.0137
world,2019,2.96667
world,2020,2.93836
