geo,time,eg_elc_accs_zs
are,1994,100
are,1995,100
are,1996,100
are,1997,100
are,1998,100
are,1999,100
are,2000,100
are,2001,100
are,2002,100
are,2003,100
are,2004,100
are,2005,100
are,2006,100
are,2007,100
are,2008,100
are,2009,100
are,2010,100
are,2011,100
are,2012,100
are,2013,100
are,2014,100
are,2015,100
are,2016,100
are,2017,100
are,2018,100
are,2019,100
are,2020,100
arg,1990,92.1548
arg,1991,92.49219
arg,1992,92.82945
arg,1993,93.16605
arg,1994,93.50127
arg,1995,93.83447
arg,1996,94.16494
arg,1997,94.49201
arg,1998,94.815
arg,1999,95.13316
arg,2000,95.78329
arg,2001,95.51106
arg,2002,96.22887
arg,2003,96.44263
arg,2004,96.6535
arg,2005,96.86385
arg,2006,97.07606
arg,2007,97.29279
arg,2008,97.51675
arg,2009,97.75066
arg,2010,98.82
arg,2011,99.09535
arg,2012,99.22998
arg,2013,99.34267
arg,2014,100
arg,2015,99.62539
arg,2016,99.84958
arg,2017,100
arg,2018,99.98958
arg,2019,100
arg,2020,100
arm,2000,98.9
arm,2001,100
arm,2002,98
arm,2003,99.19013
arm,2004,99.18923
arm,2005,99.8
arm,2006,99.18823
arm,2007,99.19318
arm,2008,99.20538
arm,2009,99.2275
arm,2010,99.8
arm,2011,99.6058
arm,2012,99.62897
arm,2013,99.42
arm,2014,99.71
arm,2015,100
arm,2016,99.8
arm,2017,99.7
arm,2018,99.9
arm,2019,100
arm,2020,100
atg,1990,95.76305
atg,1991,95.94065
atg,1992,96.11813
atg,1993,96.29494
atg,1994,96.47039
atg,1995,96.6438
atg,1996,96.81448
atg,1997,96.98177
atg,1998,97.14498
atg,1999,97.30335
atg,2000,97.68926
atg,2001,97.78526
atg,2002,100
atg,2003,97.95683
atg,2004,98.0371
atg,2005,92.2
atg,2006,100
atg,2007,100
atg,2008,100
atg,2009,98.48128
atg,2010,98.59724
atg,2011,94.55202
atg,2012,100
atg,2013,100
atg,2014,100
atg,2015,100
atg,2016,100
atg,2017,100
atg,2018,100
atg,2019,100
atg,2020,100
aus,1990,100
aus,1991,100
aus,1992,100
aus,1993,100
aus,1994,100
aus,1995,100
aus,1996,100
aus,1997,100
aus,1998,100
aus,1999,100
aus,2000,100
aus,2001,100
aus,2002,100
aus,2003,100
aus,2004,100
aus,2005,100
aus,2006,100
aus,2007,100
aus,2008,100
aus,2009,100
aus,2010,100
aus,2011,100
aus,2012,100
aus,2013,100
aus,2014,100
aus,2015,100
aus,2016,100
aus,2017,100
aus,2018,100
aus,2019,100
aus,2020,100
aut,1990,100
aut,1991,100
aut,1992,100
aut,1993,100
aut,1994,100
aut,1995,100
aut,1996,100
aut,1997,100
aut,1998,100
aut,1999,100
aut,2000,100
aut,2001,100
aut,2002,100
aut,2003,100
aut,2004,100
aut,2005,100
aut,2006,100
aut,2007,100
aut,2008,100
aut,2009,100
aut,2010,100
aut,2011,100
aut,2012,100
aut,2013,100
aut,2014,100
aut,2015,100
aut,2016,100
aut,2017,100
aut,2018,100
aut,2019,100
aut,2020,100
aze,1999,97
aze,2000,98.90823
aze,2001,98.6218
aze,2002,100
aze,2003,98.92747
aze,2004,99.0748
aze,2005,99.2216
aze,2006,99.5
aze,2007,99.52345
aze,2008,99.68387
aze,2009,99.85423
aze,2010,99.94379
aze,2011,99.9
aze,2012,100
aze,2013,100
aze,2014,100
aze,2015,100
aze,2016,100
aze,2017,100
aze,2018,100
aze,2019,100
aze,2020,100
bdi,1998,3.9
bdi,1999,2.07095
bdi,2000,2.46324
bdi,2001,2.79742
bdi,2002,3.12402
bdi,2003,3.44538
bdi,2004,3.76386
bdi,2005,3.20732
bdi,2006,2.66
bdi,2007,4.72595
bdi,2008,4.8
bdi,2009,5.39902
bdi,2010,5.3
bdi,2011,6.12268
bdi,2012,6.5
bdi,2013,6.9
bdi,2014,7
bdi,2015,8.42765
bdi,2016,9.34841
bdi,2017,9.3
bdi,2018,10.88491
bdi,2019,11.35653
bdi,2020,11.73556
bel,1990,100
bel,1991,100
bel,1992,100
bel,1993,100
bel,1994,100
bel,1995,100
bel,1996,100
bel,1997,100
bel,1998,100
bel,1999,100
bel,2000,100
bel,2001,100
bel,2002,100
bel,2003,100
bel,2004,100
bel,2005,100
bel,2006,100
bel,2007,100
bel,2008,100
bel,2009,100
bel,2010,100
bel,2011,100
bel,2012,100
bel,2013,100
bel,2014,100
bel,2015,100
bel,2016,100
bel,2017,100
bel,2018,100
bel,2019,100
bel,2020,100
ben,1996,14.5
ben,1997,18.58963
ben,1998,19.57825
ben,1999,20.56204
ben,2000,21.53108
ben,2001,21.9
ben,2002,23.41593
ben,2003,24.34932
ben,2004,25.27983
ben,2005,26.2098
ben,2006,27.9
ben,2007,28.07802
ben,2008,29.02161
ben,2009,29.97515
ben,2010,34.2
ben,2011,36.9
ben,2012,38.4
ben,2013,34.69122
ben,2014,34.1
ben,2015,29.62
ben,2016,37.09525
ben,2017,34.5
ben,2018,39.24692
ben,2019,40.32869
ben,2020,41.41096
bfa,1993,6.1
bfa,1994,6.12501
bfa,1995,6.62533
bfa,1996,7.12294
bfa,1997,7.61714
bfa,1998,8.10726
bfa,1999,6.9
bfa,2000,9.07502
bfa,2001,9.52135
bfa,2002,9.9601
bfa,2003,11.4
bfa,2004,10.82424
bfa,2005,11.25433
bfa,2006,11.68629
bfa,2007,12.12277
bfa,2008,12.56649
bfa,2009,12.63
bfa,2010,13.1
bfa,2011,14.80841
bfa,2012,15.11799
bfa,2013,15.40564
bfa,2014,19.2
bfa,2015,16.07697
bfa,2016,16.64106
bfa,2017,17.21404
bfa,2018,14.4
bfa,2019,18.37486
bfa,2020,18.95724
bgd,1991,14.29
bgd,1992,9.90542
bgd,1993,12.71788
bgd,1994,17.8
bgd,1995,18.33805
bgd,1996,21.14439
bgd,1997,22.4
bgd,1998,26.74619
bgd,1999,29.54021
bgd,2000,32
bgd,2001,35.03265
bgd,2002,37.85107
bgd,2003,40.66426
bgd,2004,40.6
bgd,2005,44.23
bgd,2006,50.5251
bgd,2007,46.5
bgd,2008,54.73552
bgd,2009,57.56885
bgd,2010,55.26
bgd,2011,59.6
bgd,2012,66.15557
bgd,2013,61.5
bgd,2014,62.4
bgd,2015,74.90374
bgd,2016,75.92
bgd,2017,88
bgd,2018,91.8
bgd,2019,92.2
bgd,2020,96.2
bgr,1990,100
bgr,1991,100
bgr,1992,100
bgr,1993,100
bgr,1994,100
bgr,1995,100
bgr,1996,100
bgr,1997,100
bgr,1998,100
bgr,1999,100
bgr,2000,100
bgr,2001,100
bgr,2002,100
bgr,2003,100
bgr,2004,100
bgr,2005,100
bgr,2006,100
bgr,2007,100
bgr,2008,100
bgr,2009,100
bgr,2010,100
bgr,2011,100
bgr,2012,100
bgr,2013,100
bgr,2014,100
bgr,2015,100
bgr,2016,100
bgr,2017,100
bgr,2018,100
bgr,2019,100
bgr,2020,99.7
bhr,1990,99.9414
bhr,1991,99.96739
bhr,1992,99.98718
bhr,1993,99.99714
bhr,1994,99.99977
bhr,1995,100
bhr,1996,100
bhr,1997,100
bhr,1998,100
bhr,1999,100
bhr,2000,100
bhr,2001,100
bhr,2002,100
bhr,2003,100
bhr,2004,100
bhr,2005,100
bhr,2006,100
bhr,2007,100
bhr,2008,100
bhr,2009,100
bhr,2010,100
bhr,2011,100
bhr,2012,100
bhr,2013,100
bhr,2014,100
bhr,2015,100
bhr,2016,100
bhr,2017,100
bhr,2018,100
bhr,2019,100
bhr,2020,100
bhs,1990,100
bhs,1991,100
bhs,1992,100
bhs,1993,100
bhs,1994,100
bhs,1995,100
bhs,1996,100
bhs,1997,100
bhs,1998,100
bhs,1999,100
bhs,2000,100
bhs,2001,100
bhs,2002,100
bhs,2003,100
bhs,2004,100
bhs,2005,100
bhs,2006,100
bhs,2007,100
bhs,2008,100
bhs,2009,100
bhs,2010,100
bhs,2011,100
bhs,2012,100
bhs,2013,100
bhs,2014,100
bhs,2015,100
bhs,2016,100
bhs,2017,100
bhs,2018,100
bhs,2019,100
bhs,2020,100
bih,1990,100
bih,1991,100
bih,1992,100
bih,1993,100
bih,1994,100
bih,1995,100
bih,1996,100
bih,1997,100
bih,1998,100
bih,1999,100
bih,2000,100
bih,2001,99.4
bih,2002,98.5
bih,2003,100
bih,2004,100
bih,2005,100
bih,2006,99.38728
bih,2007,99.7
bih,2008,100
bih,2009,100
bih,2010,100
bih,2011,99.70578
bih,2012,100
bih,2013,99.5
bih,2014,100
bih,2015,99.7
bih,2016,100
bih,2017,100
bih,2018,100
bih,2019,100
bih,2020,100
blr,1990,100
blr,1991,100
blr,1992,100
blr,1993,100
blr,1994,100
blr,1995,100
blr,1996,100
blr,1997,100
blr,1998,100
blr,1999,100
blr,2000,100
blr,2001,100
blr,2002,100
blr,2003,100
blr,2004,100
blr,2005,100
blr,2006,100
blr,2007,100
blr,2008,100
blr,2009,100
blr,2010,100
blr,2011,100
blr,2012,100
blr,2013,100
blr,2014,100
blr,2015,100
blr,2016,100
blr,2017,100
blr,2018,100
blr,2019,100
blr,2020,100
blz,1991,67
blz,1992,72.22491
blz,1993,73.12333
blz,1994,74.02039
blz,1995,74.9154
blz,1996,75.80769
blz,1997,76.69659
blz,1998,77.58141
blz,1999,78.46138
blz,2000,79
blz,2001,80.19696
blz,2002,81.02942
blz,2003,81.85664
blz,2004,82.68098
blz,2005,83.50478
blz,2006,90.98853
blz,2007,85.16064
blz,2008,85.99806
blz,2009,86.84543
blz,2010,89.91722
blz,2011,91.68173
blz,2012,90.99592
blz,2013,91.1861
blz,2014,91.36426
blz,2015,91.8
blz,2016,93.22231
blz,2017,94.18901
blz,2018,91.72
blz,2019,92.72
blz,2020,97.11333
bmu,1990,100
bmu,1991,100
bmu,1992,100
bmu,1993,100
bmu,1994,100
bmu,1995,100
bmu,1996,100
bmu,1997,100
bmu,1998,100
bmu,1999,100
bmu,2000,100
bmu,2001,100
bmu,2002,100
bmu,2003,100
bmu,2004,100
bmu,2005,100
bmu,2006,100
bmu,2007,100
bmu,2008,100
bmu,2009,100
bmu,2010,100
bmu,2011,100
bmu,2012,100
bmu,2013,100
bmu,2014,100
bmu,2015,100
bmu,2016,100
bmu,2017,100
bmu,2018,100
bmu,2019,100
bmu,2020,100
bol,1992,60.0279
bol,1993,61.38403
bol,1994,64.1
bol,1995,64.09153
bol,1996,71
bol,1997,67.33043
bol,1998,71.2
bol,1999,70.92989
bol,2000,69.96304
bol,2001,69.25854
bol,2002,63.99686
bol,2003,72.3
bol,2004,75.9453
bol,2005,68.28821
bol,2006,76.21128
bol,2007,80.15657
bol,2008,84.67499
bol,2009,86.76559
bol,2010,87.88631
bol,2011,88.33595
bol,2012,90.38737
bol,2013,89.50568
bol,2014,90.03873
bol,2015,91.52282
bol,2016,91.8
bol,2017,91.8
bol,2018,92.8
bol,2019,95.08
bol,2020,97.55412
bra,1990,87.47512
bra,1991,90.60654
bra,1992,88.80383
bra,1993,89.99993
bra,1994,91.88373
bra,1995,91.7286
bra,1996,92.8671
bra,1997,93.35414
bra,1998,94.19381
bra,1999,94.76296
bra,2000,94.39172
bra,2001,96.01653
bra,2002,96.65299
bra,2003,96.98009
bra,2004,96.76511
bra,2005,97.09351
bra,2006,97.59431
bra,2007,98.12538
bra,2008,98.52663
bra,2009,98.85694
bra,2010,98.6
bra,2011,99.32869
bra,2012,99.51949
bra,2013,99.57515
bra,2014,99.65025
bra,2015,99.7109
bra,2016,99.7
bra,2017,99.8
bra,2018,99.7
bra,2019,99.8
bra,2020,100
brb,1990,99.98425
brb,1991,99.99344
brb,1992,99.99869
brb,1993,100
brb,1994,100
brb,1995,100
brb,1996,100
brb,1997,100
brb,1998,100
brb,1999,100
brb,2000,100
brb,2001,100
brb,2002,100
brb,2003,100
brb,2004,99.99674
brb,2005,99.98045
brb,2006,100
brb,2007,100
brb,2008,100
brb,2009,100
brb,2010,100
brb,2011,100
brb,2012,100
brb,2013,100
brb,2014,100
brb,2015,100
brb,2016,100
brb,2017,100
brb,2018,100
brb,2019,100
brb,2020,100
brn,1990,100
brn,1991,100
brn,1992,100
brn,1993,100
brn,1994,100
brn,1995,100
brn,1996,100
brn,1997,100
brn,1998,100
brn,1999,100
brn,2000,100
brn,2001,100
brn,2002,100
brn,2003,100
brn,2004,100
brn,2005,100
brn,2006,100
brn,2007,100
brn,2008,100
brn,2009,100
brn,2010,100
brn,2011,100
brn,2012,100
brn,2013,100
brn,2014,100
brn,2015,100
brn,2016,100
brn,2017,100
brn,2018,100
brn,2019,100
brn,2020,100
btn,2000,31.15
btn,2001,40.04513
btn,2002,43.97888
btn,2003,41.1
btn,2004,51.83301
btn,2005,59.80811
btn,2006,59.68505
btn,2007,71.8
btn,2008,67.55525
btn,2009,71.5039
btn,2010,73.28291
btn,2011,81.76709
btn,2012,91.5
btn,2013,87.45114
btn,2014,91.48351
btn,2015,95.53072
btn,2016,99.58979
btn,2017,97.7
btn,2018,99.97437
btn,2019,100
btn,2020,100
bwa,1991,10.1
bwa,1992,9.39823
bwa,1993,11.64208
bwa,1994,13.88457
bwa,1995,16.12502
bwa,1996,18.36275
bwa,1997,20.59708
bwa,1998,22.82733
bwa,1999,25.05274
bwa,2000,26.40898
bwa,2001,24.8
bwa,2002,27
bwa,2003,33.08311
bwa,2004,35.29891
bwa,2005,37.51418
bwa,2006,39.73132
bwa,2007,41.95298
bwa,2008,44.5
bwa,2009,43.36
bwa,2010,52.01778
bwa,2011,53.24
bwa,2012,56.01881
bwa,2013,57.99192
bwa,2014,59.953
bwa,2015,62.13
bwa,2016,64.17506
bwa,2017,67.4
bwa,2018,68.22926
bwa,2019,69.95974
bwa,2020,71.99476
caf,1995,3
caf,1996,3.33492
caf,1997,3.83021
caf,1998,4.32143
caf,1999,4.8078
caf,2000,6
caf,2001,5.73605
caf,2002,6.17705
caf,2003,6.61282
caf,2004,7.0457
caf,2005,7.47804
caf,2006,7.80517
caf,2007,8.351
caf,2008,7.48
caf,2009,9.25288
caf,2010,9.8
caf,2011,10.24665
caf,2012,10.86886
caf,2013,11.46914
caf,2014,12.0574
caf,2015,12.72703
caf,2016,13.53382
caf,2017,14.29954
caf,2018,14.84238
caf,2019,14.3
caf,2020,15.46508
can,1990,100
can,1991,100
can,1992,100
can,1993,100
can,1994,100
can,1995,100
can,1996,100
can,1997,100
can,1998,100
can,1999,100
can,2000,100
can,2001,100
can,2002,100
can,2003,100
can,2004,100
can,2005,100
can,2006,100
can,2007,100
can,2008,100
can,2009,100
can,2010,100
can,2011,100
can,2012,100
can,2013,100
can,2014,100
can,2015,100
can,2016,100
can,2017,100
can,2018,100
can,2019,100
can,2020,100
chanisl,1990,100
chanisl,1991,100
chanisl,1992,100
chanisl,1993,100
chanisl,1994,100
chanisl,1995,100
chanisl,1996,100
chanisl,1997,100
chanisl,1998,100
chanisl,1999,100
chanisl,2000,100
chanisl,2001,100
chanisl,2002,100
chanisl,2003,100
chanisl,2004,100
chanisl,2005,100
chanisl,2006,100
chanisl,2007,100
chanisl,2008,100
chanisl,2009,100
chanisl,2010,100
chanisl,2011,100
chanisl,2012,100
chanisl,2013,100
chanisl,2014,100
chanisl,2015,100
chanisl,2016,100
chanisl,2017,100
chanisl,2018,100
chanisl,2019,100
chanisl,2020,100
che,1990,100
che,1991,100
che,1992,100
che,1993,100
che,1994,100
che,1995,100
che,1996,100
che,1997,100
che,1998,100
che,1999,100
che,2000,100
che,2001,100
che,2002,100
che,2003,100
che,2004,100
che,2005,100
che,2006,100
che,2007,100
che,2008,100
che,2009,100
che,2010,100
che,2011,100
che,2012,100
che,2013,100
che,2014,100
che,2015,100
che,2016,100
che,2017,100
che,2018,100
che,2019,100
che,2020,100
chl,1990,92.25743
chl,1991,94.78162
chl,1992,94.56006
chl,1993,95.27373
chl,1994,95.51807
chl,1995,95.76038
chl,1996,95.61732
chl,1997,96.23617
chl,1998,97.24112
chl,1999,96.69555
chl,2000,97.93869
chl,2001,97.11581
chl,2002,97.28368
chl,2003,98.78233
chl,2004,97.60609
chl,2005,97.76531
chl,2006,99.36811
chl,2007,98.09202
chl,2008,98.26487
chl,2009,99.59366
chl,2010,99.53839
chl,2011,99.5882
chl,2012,100
chl,2013,99.6
chl,2014,100
chl,2015,99.71484
chl,2016,100
chl,2017,99.7
chl,2018,100
chl,2019,100
chl,2020,100
chn,2000,97.0218
chn,2001,97.27279
chn,2002,97.5162
chn,2003,97.75438
chn,2004,97.98967
chn,2005,98.22443
chn,2006,98.46105
chn,2007,98.7022
chn,2008,98.95058
chn,2009,99.2089
chn,2010,99.7
chn,2011,99.84872
chn,2012,99.96193
chn,2013,99.99644
chn,2014,100
chn,2015,100
chn,2016,100
chn,2017,100
chn,2018,100
chn,2019,100
chn,2020,100
civ,1994,36.5
civ,1995,43.63125
civ,1996,44.64821
civ,1997,45.66177
civ,1998,46.67125
civ,1999,48.2
civ,2000,48.68947
civ,2001,49.65586
civ,2002,51.4
civ,2003,51.56823
civ,2004,52.51892
civ,2005,58.9
civ,2006,60.17105
civ,2007,55.37762
civ,2008,60.3
civ,2009,57.31511
civ,2010,58.30147
civ,2011,55.8
civ,2012,55.8
civ,2013,61.36259
civ,2014,61.9
civ,2015,62.6
civ,2016,64.3
civ,2017,65.6
civ,2018,67.14739
civ,2019,68.45956
civ,2020,69.67912
cmr,1991,29
cmr,1992,32.69753
cmr,1993,33.84919
cmr,1994,34.9995
cmr,1995,36.14777
cmr,1996,37.29332
cmr,1997,38.43547
cmr,1998,40.7
cmr,1999,40.70678
cmr,2000,41
cmr,2001,46.2
cmr,2002,44.0404
cmr,2003,45.12301
cmr,2004,47.1
cmr,2005,47.28193
cmr,2006,49
cmr,2007,48.2
cmr,2008,50.5414
cmr,2009,51.64415
cmr,2010,52.75956
cmr,2011,53.7
cmr,2012,55.03915
cmr,2013,56.20781
cmr,2014,56.8
cmr,2015,58.59559
cmr,2016,59.80878
cmr,2017,61.03086
cmr,2018,62.2
cmr,2019,63.48988
cmr,2020,64.72137
cod,2000,6.7
cod,2001,7.31436
cod,2002,7.91584
cod,2003,8.51209
cod,2004,9.10545
cod,2005,6
cod,2006,10.29296
cod,2007,15.2
cod,2008,11.49863
cod,2009,12.11502
cod,2010,12.74405
cod,2011,13.38844
cod,2012,15.4
cod,2013,14.7332
cod,2014,13.5
cod,2015,16.14824
cod,2016,17.04184
cod,2017,17.91651
cod,2018,18.56829
cod,2019,19.1
cod,2020,19.1
cog,2000,29.09002
cog,2001,30.06359
cog,2002,31.02958
cog,2003,31.99034
cog,2004,32.94821
cog,2005,33.8
cog,2006,34.86475
cog,2007,35.82847
cog,2008,36.79943
cog,2009,37.1
cog,2010,39.78862
cog,2011,40.72169
cog,2012,41.6
cog,2013,42.54397
cog,2014,43.43212
cog,2015,44.40165
cog,2016,45.50833
cog,2017,46.57395
cog,2018,47.41668
cog,2019,48.40747
cog,2020,49.5171
col,1990,89.9
col,1991,91.83665
col,1992,92.13266
col,1993,92.42799
col,1994,92.72196
col,1995,91.2
col,1996,93.3031
col,1997,93.58891
col,1998,93.87064
col,1999,94.14753
col,2000,95.2
col,2001,98.47
col,2002,94.9055
col,2003,95.12935
col,2004,95.35031
col,2005,96.8
col,2006,95.79303
col,2007,96.01984
col,2008,96.80676
col,2009,96.05723
col,2010,96.78899
col,2011,96.6936
col,2012,97.03217
col,2013,97.77942
col,2014,97.79094
col,2015,98.1869
col,2016,98.4
col,2017,98.5
col,2018,98.5
col,2019,99.75592
col,2020,100
com,1996,28.9
com,1997,32.76241
com,1998,35.09453
com,1999,37.4218
com,2000,39.71535
com,2001,42.01867
com,2002,44.8
com,2003,46.60488
com,2004,48.89249
com,2005,51.17955
com,2006,53.46849
com,2007,55.76196
com,2008,58.06265
com,2009,60.37328
com,2010,69.80771
com,2011,69.4258
com,2012,69.3
com,2013,69.76845
com,2014,72.1628
com,2015,74.57198
com,2016,76.99304
com,2017,79.423
com,2018,81.85891
com,2019,84.29778
com,2020,86.73714
cpv,2000,58.42233
cpv,2001,60.16152
cpv,2002,58.6
cpv,2003,63.6195
cpv,2004,65.34299
cpv,2005,67
cpv,2006,68.79076
cpv,2007,70.5201
cpv,2008,72.25668
cpv,2009,74.00319
cpv,2010,81.1
cpv,2011,82.35625
cpv,2012,83.35876
cpv,2013,84.33935
cpv,2014,85.30791
cpv,2015,86.35784
cpv,2016,87.54493
cpv,2017,88.69096
cpv,2018,90.41175
cpv,2019,91.4
cpv,2020,94.16174
cri,2000,96.94
cri,2001,98.24978
cri,2002,98.50919
cri,2003,98.6959
cri,2004,98.95478
cri,2005,99.05305
cri,2006,99.14752
cri,2007,99.21799
cri,2008,99.26394
cri,2009,99.40981
cri,2010,98.99574
cri,2011,99.23235
cri,2012,99.5033
cri,2013,99.56351
cri,2014,99.35929
cri,2015,99.40981
cri,2016,99.5
cri,2017,99.6
cri,2018,99.7
cri,2019,99.71
cri,2020,99.9
cub,2000,97
cub,2001,96.22626
cub,2002,95.5
cub,2003,96.51303
cub,2004,96.65091
cub,2005,96.78825
cub,2006,96.92747
cub,2007,97.07121
cub,2008,97.22218
cub,2009,97.38309
cub,2010,97.55665
cub,2011,97.74557
cub,2012,97.95255
cub,2013,98.17937
cub,2014,98.42399
cub,2015,98.68346
cub,2016,98.95479
cub,2017,99.23503
cub,2018,99.52121
cub,2019,99.8
cub,2020,100
cym,1990,99.84692
cym,1991,99.87881
cym,1992,99.91024
cym,1993,100
cym,1994,100
cym,1995,100
cym,1996,100
cym,1997,100
cym,1998,100
cym,1999,100
cym,2000,100
cym,2001,100
cym,2002,100
cym,2003,100
cym,2004,100
cym,2005,100
cym,2006,100
cym,2007,100
cym,2008,100
cym,2009,100
cym,2010,100
cym,2011,100
cym,2012,100
cym,2013,100
cym,2014,100
cym,2015,100
cym,2016,100
cym,2017,100
cym,2018,100
cym,2019,100
cym,2020,100
cyp,1990,100
cyp,1991,100
cyp,1992,100
cyp,1993,100
cyp,1994,100
cyp,1995,100
cyp,1996,100
cyp,1997,100
cyp,1998,100
cyp,1999,100
cyp,2000,100
cyp,2001,100
cyp,2002,100
cyp,2003,100
cyp,2004,100
cyp,2005,100
cyp,2006,100
cyp,2007,100
cyp,2008,100
cyp,2009,100
cyp,2010,100
cyp,2011,100
cyp,2012,100
cyp,2013,100
cyp,2014,100
cyp,2015,100
cyp,2016,100
cyp,2017,100
cyp,2018,100
cyp,2019,100
cyp,2020,100
cze,1990,100
cze,1991,100
cze,1992,100
cze,1993,100
cze,1994,100
cze,1995,100
cze,1996,100
cze,1997,100
cze,1998,100
cze,1999,100
cze,2000,100
cze,2001,100
cze,2002,100
cze,2003,100
cze,2004,100
cze,2005,100
cze,2006,100
cze,2007,100
cze,2008,100
cze,2009,100
cze,2010,100
cze,2011,100
cze,2012,100
cze,2013,100
cze,2014,100
cze,2015,100
cze,2016,100
cze,2017,100
cze,2018,100
cze,2019,100
cze,2020,100
deu,1990,100
deu,1991,100
deu,1992,100
deu,1993,100
deu,1994,100
deu,1995,100
deu,1996,100
deu,1997,100
deu,1998,100
deu,1999,100
deu,2000,100
deu,2001,100
deu,2002,100
deu,2003,100
deu,2004,100
deu,2005,100
deu,2006,100
deu,2007,100
deu,2008,100
deu,2009,100
deu,2010,100
deu,2011,100
deu,2012,100
deu,2013,100
deu,2014,100
deu,2015,100
deu,2016,100
deu,2017,100
deu,2018,100
deu,2019,100
deu,2020,100
dji,1996,62
dji,1997,56.29449
dji,1998,56.32225
dji,1999,56.34517
dji,2000,56.37995
dji,2001,56.36514
dji,2002,49.7
dji,2003,56.31512
dji,2004,56.2846
dji,2005,56.25355
dji,2006,55.5
dji,2007,56.19971
dji,2008,56.18228
dji,2009,56.17479
dji,2010,56.17995
dji,2011,56.20047
dji,2012,54.6
dji,2013,56.29747
dji,2014,56.61884
dji,2015,57.57856
dji,2016,58.67545
dji,2017,60.2
dji,2018,60.56419
dji,2019,61.21193
dji,2020,61.76708
dma,1998,75
dma,1999,79.62192
dma,2000,80.95181
dma,2001,82.27921
dma,2002,87.7
dma,2003,84.91362
dma,2004,86.22531
dma,2005,87.53648
dma,2006,88.84951
dma,2007,90.16706
dma,2008,90.9
dma,2009,92.82657
dma,2010,94.17394
dma,2011,95.53667
dma,2012,96.91748
dma,2013,98.31811
dma,2014,99.73655
dma,2015,99.82902
dma,2016,99.98354
dma,2017,100
dma,2018,100
dma,2019,100
dma,2020,100
dnk,1990,100
dnk,1991,100
dnk,1992,100
dnk,1993,100
dnk,1994,100
dnk,1995,100
dnk,1996,100
dnk,1997,100
dnk,1998,100
dnk,1999,100
dnk,2000,100
dnk,2001,100
dnk,2002,100
dnk,2003,100
dnk,2004,100
dnk,2005,100
dnk,2006,100
dnk,2007,100
dnk,2008,100
dnk,2009,100
dnk,2010,100
dnk,2011,100
dnk,2012,100
dnk,2013,100
dnk,2014,100
dnk,2015,100
dnk,2016,100
dnk,2017,100
dnk,2018,100
dnk,2019,100
dnk,2020,100
dom,1991,78.2
dom,1992,82.4854
dom,1993,83.25549
dom,1994,84.02422
dom,1995,84.79091
dom,1996,85.55488
dom,1997,86.31544
dom,1998,87.07194
dom,1999,91
dom,2000,88.76493
dom,2001,89.79136
dom,2002,89.74982
dom,2003,89.17381
dom,2004,90.31657
dom,2005,90.14123
dom,2006,90.11815
dom,2007,96.87634
dom,2008,97.57619
dom,2009,97.85776
