geo,time,eg_elc_accs_zs
abw,1990,100
abw,1991,99.15366
abw,1992,99.19713
abw,1993,99.23991
abw,1994,100
abw,1995,100
abw,1996,100
abw,1997,100
abw,1998,100
abw,1999,100
abw,2000,91.6604
abw,2001,100
abw,2002,100
abw,2003,100
abw,2004,100
abw,2005,100
abw,2006,100
abw,2007,100
abw,2008,100
abw,2009,100
abw,2010,93.35629
abw,2011,100
abw,2012,100
abw,2013,100
abw,2014,100
abw,2015,100
abw,2016,100
abw,2017,100
abw,2018,100
abw,2019,100
abw,2020,100
afg,2000,1.61359
afg,2001,4.07457
afg,2002,9.40916
afg,2003,14.73851
afg,2004,20.06497
afg,2005,25.39089
afg,2006,30.71869
afg,2007,36.05101
afg,2008,42.4
afg,2009,46.74005
afg,2010,42.7
afg,2011,43.22202
afg,2012,69.1
afg,2013,68.29065
afg,2014,89.5
afg,2015,71.5
afg,2016,97.7
afg,2017,97.7
afg,2018,96.61613
afg,2019,97.7
afg,2020,97.7
ago,2000,24.21274
ago,2001,20
ago,2002,26.35212
ago,2003,27.41278
ago,2004,28.47055
ago,2005,29.52779
ago,2006,30.58689
ago,2007,37.5
ago,2008,38.49
ago,2009,33.80219
ago,2010,34.89564
ago,2011,34.6
ago,2012,37.13132
ago,2013,38.27803
ago,2014,32
ago,2015,42
ago,2016,41.81313
ago,2017,43.01326
ago,2018,45.29
ago,2019,45.6428
ago,2020,46.89061
alb,1990,100
alb,1991,100
alb,1992,100
alb,1993,100
alb,1994,100
alb,1995,100
alb,1996,100
alb,1997,100
alb,1998,100
alb,1999,100
alb,2000,100
alb,2001,100
alb,2002,100
alb,2003,100
alb,2004,100
alb,2005,100
alb,2006,100
alb,2007,100
alb,2008,100
alb,2009,100
alb,2010,100
alb,2011,100
alb,2012,99.9
alb,2013,100
alb,2014,99.95
alb,2015,99.98
alb,2016,99.89
alb,2017,99.89
alb,2018,100
alb,2019,100
alb,2020,100
and,1990,100
and,1991,100
and,1992,100
and,1993,100
and,1994,100
and,1995,100
and,1996,100
and,1997,100
and,1998,100
and,1999,100
and,2000,100
and,2001,100
and,2002,100
and,2003,100
and,2004,100
and,2005,100
and,2006,100
and,2007,100
and,2008,100
and,2009,100
and,2010,100
and,2011,100
and,2012,100
and,2013,100
and,2014,100
and,2015,100
and,2016,100
and,2017,100
and,2018,100
and,2019,100
and,2020,100
are,1990,100
are,1991,100
are,1992,100
are,1993,100
