geo,time,sl_emp_work_fe_zs
afg,1991,1.45
afg,1992,1.45
afg,1993,1.41
afg,1994,1.36
afg,1995,1.35
afg,1996,1.33
afg,1997,1.31
afg,1998,1.3
afg,1999,1.27
afg,2000,1.24
afg,2001,1.2
afg,2002,1.28
afg,2003,1.36
afg,2004,1.4
afg,2005,1.48
afg,2006,1.54
afg,2007,1.63
afg,2008,1.7
afg,2009,2.05
afg,2010,2.45
afg,2011,2.87
afg,2012,3.42
afg,2013,4.09
afg,2014,4.8
afg,2015,5.57
afg,2016,6.47
afg,2017,7.55
afg,2018,7.87
afg,2019,8.21
ago,1991,17.49
ago,1992,18.24
ago,1993,18.42
ago,1994,19.76
ago,1995,19.66
ago,1996,19.98
ago,1997,19.7
ago,1998,19.57
ago,1999,21.85
ago,2000,22.34
ago,2001,22.08
ago,2002,21.6
ago,2003,21.64
ago,2004,22.48
ago,2005,22.69
ago,2006,21.74
ago,2007,21.46
ago,2008,20.69
ago,2009,17.17
ago,2010,17.14
ago,2011,16.48
ago,2012,16.18
ago,2013,15.28
ago,2014,14.35
ago,2015,13.61
ago,2016,13.44
ago,2017,13.07
ago,2018,12.72
ago,2019,12.68
alb,1991,40.74
alb,1992,38.56
alb,1993,38.93
alb,1994,39.34
alb,1995,40.37
alb,1996,40.81
alb,1997,36.85
alb,1998,37.33
alb,1999,38.73
alb,2000,39.35
alb,2001,40.61
alb,2002,40.56
alb,2003,40.94
alb,2004,41.22
alb,2005,40.7
alb,2006,41.68
alb,2007,41.94
alb,2008,32.78
alb,2009,34.77
alb,2010,36.95
alb,2011,34.72
alb,2012,31.98
alb,2013,37.08
alb,2014,41.28
alb,2015,42.71
alb,2016,43.26
alb,2017,45.07
alb,2018,47.02
alb,2019,47.87
are,1991,98.87
are,1992,98.87
are,1993,98.87
are,1994,98.87
are,1995,98.87
are,1996,98.87
are,1997,98.87
are,1998,98.87
are,1999,98.86
are,2000,98.85
are,2001,98.85
are,2002,98.85
are,2003,98.85
are,2004,98.83
are,2005,98.74
are,2006,98.86
are,2007,98.98
are,2008,99.06
are,2009,99.04
are,2010,98.99
are,2011,98.91
are,2012,98.86
are,2013,98.81
are,2014,98.76
are,2015,98.75
are,2016,98.69
are,2017,97.51
are,2018,96.26
are,2019,94.38
arg,1991,71.4
arg,1992,72.49
arg,1993,71.26
arg,1994,72.1
arg,1995,74.87
arg,1996,74.31
arg,1997,75.01
arg,1998,75.49
arg,1999,75.85
arg,2000,76.39
arg,2001,76.11
arg,2002,78.09
arg,2003,78.77
arg,2004,78.96
arg,2005,79.43
arg,2006,80.2
arg,2007,80.9
arg,2008,80.79
arg,2009,80.12
arg,2010,80.63
arg,2011,81.29
arg,2012,81.26
arg,2013,80.87
arg,2014,80.51
arg,2015,79.95
arg,2016,79.17
arg,2017,78.55
arg,2018,77.43
arg,2019,76.6
arm,1991,56.55
arm,1992,54.87
arm,1993,53.45
arm,1994,51.46
arm,1995,50.29
arm,1996,48.99
arm,1997,47.88
arm,1998,47.49
arm,1999,46.69
arm,2000,45.7
arm,2001,45.66
arm,2002,45.63
arm,2003,46.12
arm,2004,46.98
arm,2005,47.8
arm,2006,49.11
arm,2007,50.84
arm,2008,52.42
arm,2009,52.64
arm,2010,50.17
arm,2011,51.42
arm,2012,51.53
arm,2013,51.82
arm,2014,54.45
arm,2015,57.11
arm,2016,59.04
arm,2017,60.89
arm,2018,68.15
arm,2019,70.48
aus,1991,84.62
aus,1992,84.68
aus,1993,84.38
aus,1994,84.48
aus,1995,84.74
aus,1996,84.93
aus,1997,84.42
aus,1998,85.09
aus,1999,85.61
aus,2000,85.44
aus,2001,85.33
aus,2002,85.22
aus,2003,85.64
aus,2004,85.92
aus,2005,85.7
aus,2006,86.41
aus,2007,86.76
aus,2008,86.61
aus,2009,86.92
aus,2010,86.72
aus,2011,87.05
aus,2012,87.34
aus,2013,87.78
aus,2014,87.44
aus,2015,87.43
aus,2016,87.41
aus,2017,87.56
aus,2018,88.03
aus,2019,87.67
aut,1991,84.86
aut,1992,85.09
aut,1993,85.28
aut,1994,85.67
aut,1995,85.91
aut,1996,85.72
aut,1997,86.7
aut,1998,86.9
aut,1999,86.9
aut,2000,87.49
aut,2001,87.74
aut,2002,87.89
aut,2003,88.49
aut,2004,90.15
aut,2005,89.61
aut,2006,89.48
aut,2007,88.54
aut,2008,88.91
aut,2009,88.86
aut,2010,88.8
aut,2011,89.33
aut,2012,89.53
aut,2013,89.46
aut,2014,89.49
aut,2015,89.62
aut,2016,89.96
aut,2017,90.16
aut,2018,90.59
aut,2019,90.53
aze,1991,43.9
aze,1992,42.47
aze,1993,41.15
aze,1994,39.67
aze,1995,37.88
aze,1996,35.86
aze,1997,34.02
aze,1998,32.45
aze,1999,31.11
aze,2000,30.2
aze,2001,29.65
aze,2002,29.14
aze,2003,28.68
aze,2004,28.42
aze,2005,28.05
aze,2006,28.05
aze,2007,28.3
aze,2008,28.53
aze,2009,28.87
aze,2010,28.35
aze,2011,28.57
aze,2012,28.95
aze,2013,29.16
aze,2014,28.67
aze,2015,27.47
aze,2016,27.29
aze,2017,27.05
aze,2018,26.93
aze,2019,27.22
bdi,1991,21.25
bdi,1992,20.78
bdi,1993,20.3
bdi,1994,20.14
bdi,1995,18.87
bdi,1996,17.39
bdi,1997,17.2
bdi,1998,17.03
bdi,1999,16.64
bdi,2000,16.51
bdi,2001,16.09
bdi,2002,15.86
bdi,2003,15.48
bdi,2004,13.89
bdi,2005,14.38
bdi,2006,13.8
bdi,2007,13.68
bdi,2008,13.06
bdi,2009,13.31
bdi,2010,12.66
bdi,2011,12.34
bdi,2012,12.43
bdi,2013,12.24
bdi,2014,12.03
bdi,2015,11.5
bdi,2016,11.26
bdi,2017,10.54
bdi,2018,10.04
bdi,2019,9.57
bel,1991,84.66
bel,1992,83.6
bel,1993,84.04
bel,1994,84.67
bel,1995,83.63
bel,1996,84.16
bel,1997,84.82
bel,1998,85.26
bel,1999,83.99
bel,2000,86.23
bel,2001,86.98
bel,2002,86.53
bel,2003,87.26
