global,time,eg_elc_ngas_zs
world,1971,10.37864
world,1972,10.09358
world,1973,9.37723
world,1974,9.44317
world,1975,9.14893
world,1976,8.65972
world,1977,8.5717
world,1978,8.36888
world,1979,8.7938
world,1980,8.92266
world,1981,8.69823
world,1982,8.38162
world,1983,7.93999
world,1984,8.46374
world,1985,8.10625
world,1986,7.60327
world,1987,7.97709
world,1988,7.75394
world,1989,8.77219
world,1990,14.73076
world,1991,14.62477
world,1992,14.60747
world,1993,14.71169
world,1994,14.91854
world,1995,15.17775
world,1996,15.19256
world,1997,15.99083
world,1998,16.54298
world,1999,17.44856
world,2000,17.74662
world,2001,18.5898
world,2002,19.13313
world,2003,19.41648
world,2004,19.9448
world,2005,20.15016
world,2006,20.50255
world,2007,21.19559
world,2008,21.59551
world,2009,21.91411
world,2010,22.39044
world,2011,21.97181
world,2012,22.39041
world,2013,21.4907
world,2014,21.59761
world,2015,22.78882
