global,time,se_enr_prim_fm_zs
world,1970,0.80289
world,1971,0.80188
world,1972,0.80118
world,1973,0.79894
world,1974,0.79503
world,1975,0.82416
world,1976,0.84119
world,1977,0.84511
world,1978,0.84454
world,1979,0.84473
world,1980,0.84727
world,1981,0.84809
world,1982,0.84628
world,1983,0.84322
world,1984,0.84781
world,1985,0.85282
world,1986,0.8657
world,1987,0.87129
world,1988,0.87451
world,1989,0.87658
world,1990,0.88177
world,1991,0.88989
world,1992,0.89617
world,1993,0.90169
world,1994,0.90571
world,1995,0.90784
world,1996,0.91013
world,1997,0.91558
world,1998,0.91814
world,1999,0.92271
world,2000,0.92349
world,2001,0.92846
world,2002,0.93056
world,2003,0.95077
world,2004,0.95182
world,2005,0.95436
world,2006,0.95855
world,2007,0.96113
world,2008,0.96772
world,2009,0.97242
world,2010,0.97481
world,2011,0.97659
world,2012,0.98092
world,2013,0.99778
world,2014,0.99776
world,2015,0.99941
world,2016,1.00749
world,2017,1.00471
world,2018,0.98211
world,2019,0.98303
