global,time,se_prm_uner_zs
world,1970,27.69107
world,1971,27.79166
world,1972,26.97197
world,1973,24.8119
world,1974,24.15164
world,1975,23.03388
world,1976,22.44227
world,1977,22.46268
world,1978,23.49693
world,1979,23.18839
world,1980,22.04684
world,1981,21.25132
world,1982,20.83286
world,1983,20.59038
world,1984,20.34497
world,1985,19.71034
world,1986,18.9528
world,1987,18.67118
world,1988,18.03266
world,1989,17.37034
world,1990,17.40535
world,1991,17.17657
world,1992,17.44016
world,1993,17.30341
world,1994,17.21433
world,1995,17.4839
world,1996,17.65559
world,1997,17.4361
world,1998,16.61336
world,1999,15.60675
world,2000,14.82236
world,2001,14.43958
world,2002,14.03341
world,2003,12.68659
world,2004,11.48829
world,2005,10.66575
world,2006,10.35267
world,2007,9.03506
world,2008,8.8563
world,2009,9.00008
world,2010,8.87276
world,2011,8.8901
world,2012,8.61558
world,2013,8.36904
world,2014,8.78351
world,2015,8.99362
world,2016,8.79579
world,2017,8.78453
world,2018,8.54726
world,2019,8.64028
world,2020,8.75947
