geo,time,ne_gdi_stkb_cd
abw,1995,12486033.51955
abw,1996,6966480.44693
abw,1997,31290502.7933
abw,1998,52145251.39665
abw,1999,29659217.87709
abw,2000,48787709.49721
abw,2001,-37463687.15084
abw,2002,-25055865.92179
abw,2003,-9256983.24022
abw,2004,-106279329.60894
abw,2005,-34184357.5419
abw,2006,44022346.36872
abw,2007,-18692737.43017
abw,2008,205843575.41899
abw,2009,65379888.26816
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,0
ago,1991,0
ago,1992,0
ago,1993,0
ago,1994,0
ago,1996,0
ago,1997,0
ago,1998,0
ago,1999,0
ago,2000,213989024.45097
ago,2001,0
ago,2002,25453593.13764
ago,2003,138285908.83076
ago,2004,67343855.86069
ago,2005,-87128022.20307
ago,2006,708776243.31047
ago,2007,375107064.49683
ago,2008,1402522076.83512
ago,2009,19939191.86368
ago,2010,-32838006.78304
ago,2011,35712004.49674
ago,2012,-16978463.98793
ago,2013,-21229134.78584
ago,2014,31545516.69135
ago,2015,6963351523.02127
ago,2016,1012750809.01205
ago,2017,1084447432.43569
ago,2018,650494614.12181
ago,2020,961507.20058
alb,1984,-100699301.5948
alb,1985,9090909.17175
alb,1986,-1250000
alb,1987,-85625000
alb,1988,-55875000
alb,1989,9000000
alb,1990,0
alb,1991,0
alb,1992,0
alb,1993,0
alb,1994,0
alb,1995,0
alb,1996,-119367763.67981
alb,1997,-78051465.57601
alb,1998,-44454816.08891
alb,1999,-122330919.62346
alb,2000,-38643547.58069
alb,2001,-68269942.92079
alb,2002,-34413250.73466
alb,2003,-112063502.3146
alb,2004,-258572853.37769
alb,2005,-84560875.45547
alb,2006,-211079636.38365
alb,2007,-205300576.48137
alb,2008,235616237.51708
alb,2009,222689651.61443
alb,2010,224249759.70952
alb,2011,263918914.36512
alb,2012,226669236.35799
alb,2013,252067016.68982
alb,2014,200541240.04551
alb,2015,160048808.48702
alb,2016,101519382.96715
alb,2017,61978253.56843
alb,2018,7211184.08137
alb,2019,199752846.58828
are,2001,1574980694.3499
are,2002,1618980884.95575
are,2003,1664109271.61334
are,2004,1913443594.28182
are,2005,3228936092.57999
are,2006,3758630524.1661
are,2007,4194119455.41184
are,2008,8594137181.7563
are,2009,6897873955.07148
are,2010,6840837086.45337
are,2011,6051378761.06195
are,2012,4016708835.94282
are,2013,4074305323.34922
are,2014,10439210347.1749
are,2015,8097821701.83799
are,2016,5594269026.54867
are,2017,24365690946.2219
are,2018,26122804628.99929
are,2019,16942228056.0306
arg,1962,0
arg,1963,0
arg,1964,1099793447.04246
arg,1965,908235286.34182
arg,1966,0
arg,1967,0
arg,1968,0
arg,1969,0
arg,1970,0
arg,1971,0
arg,1972,0
arg,1973,0
arg,1974,0
arg,1975,0
arg,1976,0
arg,1977,0
arg,1978,-12654918.50537
arg,1979,1344630854.95063
arg,1980,0
arg,1981,0
arg,1982,0
arg,1983,0
arg,1984,0
arg,1985,0
arg,1986,0
arg,1987,0
arg,1988,0
arg,1989,0
arg,1990,0
arg,1991,0
arg,1992,0
arg,1993,1495441441.44144
arg,1994,68602700
arg,1995,1451852800
arg,1996,4195708700
arg,1997,4263816100
arg,1998,3096528400
arg,1999,-428393400
arg,2000,3810712000
arg,2001,3887630900
arg,2002,-1081553429.62546
arg,2003,-1263806944.30302
arg,2004,2729177313.14914
arg,2005,3054822120.63319
arg,2006,812323739.60499
arg,2007,1676400756.50724
arg,2008,2034179387.99258
arg,2009,1569517023.32035
arg,2010,4507682328.04772
arg,2011,6097801367.36332
arg,2012,3518644064.99017
arg,2013,5610053284.97238
arg,2014,6752296832.25673
arg,2015,8956685191.47406
arg,2016,18905136900.164
arg,2017,19633045548.1292
arg,2018,7152429852.28688
arg,2019,4609970733.15327
arg,2020,511457290.34013
arm,1990,63250701.4357
arm,1991,234025974.02597
arm,1992,-196471070.98892
arm,1993,-31032322.36936
arm,1994,101351541.36459
arm,1995,68344507.59988
arm,1996,51277654.33291
arm,1997,115772523.44069
arm,1998,122531219.02874
arm,1999,80263895.63787
arm,2000,3982384.53754
arm,2001,43786797.82366
arm,2002,13672102.55516
arm,2003,35402318.71037
arm,2004,36292998.4066
arm,2005,32894321.42366
arm,2006,23927483.9655
arm,2007,77985764.11128
arm,2008,129392677.82987
arm,2009,-150372725.63864
arm,2010,-51890419.24421
arm,2011,120189508.26696
arm,2012,114913481.54638
arm,2013,104539339.2065
arm,2014,149528587.00163
arm,2015,12449617.43461
arm,2016,69371318.58805
arm,2017,89149239.59493
arm,2018,704973561.44947
arm,2019,216945911.19776
arm,2020,247850908.235
asm,2002,5000000
asm,2003,9000000
asm,2004,8000000
asm,2005,-6000000
asm,2006,-3000000
asm,2007,-8000000
asm,2008,-17000000
asm,2009,-6000000
asm,2010,-5000000
asm,2011,-3000000
asm,2013,6000000
asm,2014,32000000
asm,2015,23000000
asm,2016,46000000
asm,2017,38000000
asm,2018,-11000000
asm,2019,-4000000
asm,2020,18000000
atg,2000,0
atg,2001,0
atg,2002,0
atg,2003,0
atg,2004,0
atg,2005,0
atg,2006,0
atg,2007,0
atg,2008,0
atg,2009,0
atg,2010,0
atg,2011,0
atg,2012,0
aus,1960,243028334.63994
aus,1961,561093067.53276
aus,1962,-272146936.94703
aus,1963,272146936.94703
aus,1964,152312688.99093
aus,1965,632769627.0579
aus,1966,94075484.37675
aus,1967,452458282.00246
aus,1968,164632097.65931
aus,1969,825400380.78172
aus,1970,621570164.6321
aus,1971,657408444.39467
aus,1972,184579439.25234
aus,1973,-435618193.46573
aus,1974,1857037582.90346
aus,1975,932677864.26328
aus,1976,226900289.92815
aus,1977,1300757054.37027
aus,1978,-595533498.75931
aus,1979,1576735203.90776
aus,1980,1018384401.11421
aus,1981,496923255.54394
aus,1982,1710250468.93964
aus,1983,-2212447356.10669
aus,1984,1151059590.65387
aus,1985,1780317557.72033
aus,1986,618354784.55512
aus,1987,-1096479618.84595
aus,1988,486757857.97439
aus,1989,2732676492.14233
aus,1990,3991535205.8484
aus,1991,-1135703633.93768
aus,1992,-1604245174.19057
aus,1993,363265879.7077
aus,1994,989277066.75891
aus,1995,3309325809.32581
aus,1996,2569802731.41123
aus,1997,3563155423.38394
aus,1998,1941938547.1071
aus,1999,3008522371.22446
aus,2000,1306286503.79954
aus,2001,723945476.01159
aus,2002,452595228.12892
aus,2003,-517763541.05999
aus,2004,2678190354.24669
aus,2005,3115321004.36025
aus,2006,-2116651692.12339
aus,2007,889534427.25917
aus,2008,4132497761.86213
aus,2009,-2204388160.80106
aus,2010,-2862679467.98203
aus,2011,6153011929.40944
aus,2012,4744277170.55063
aus,2013,445265209.80815
aus,2014,-2177545212.5218
aus,2015,758798568.93252
aus,2016,780317367.8847
aus,2017,1402820725.54491
aus,2018,2419192310.67359
aus,2019,-545701616.3639
aus,2020,-5122000268.13246
aut,1970,564922995.50145
aut,1971,303645225.24507
aut,1972,63616881.95726
aut,1973,646618174.15138
aut,1974,900284893.99293
aut,1975,-300060045.82445
aut,1976,485098565.62092
aut,1977,743427691.28299
aut,1978,190961811.80707
aut,1979,1989128152.34174
aut,1980,1220584981.91874
aut,1981,-116620010.36807
aut,1982,88427845.44648
aut,1983,-367426076.29845
aut,1984,435204593.90688
aut,1985,475191540.30327
aut,1986,207370887.78729
aut,1987,-19278406.61733
aut,1988,982575504.29065
aut,1989,1743494539.78159
aut,1990,2215669853.56408
aut,1991,910051856.21685
aut,1992,501035562.23391
aut,1993,-305626404.82669
aut,1994,45166847.36779
aut,1995,3529220690.59642
aut,1996,1294983103.71718
aut,1997,1690066523.84711
aut,1998,1386905291.24055
aut,1999,2516532664.25483
aut,2000,622034579.51373
aut,2001,719208423.22047
aut,2002,240308106.59608
aut,2003,788475351.35294
aut,2004,1415411568.01545
aut,2005,2443803844.73152
aut,2006,3394988546.9647
aut,2007,6488816077.05492
aut,2008,5145717450.96094
aut,2009,1455622831.11719
aut,2010,3966385180.66667
aut,2011,7203786020.42803
aut,2012,5436107893.23047
aut,2013,2939032252.52158
aut,2014,3854870870.81959
aut,2015,4235376842.76953
aut,2016,4591865804.27628
aut,2017,5048353131.84707
aut,2018,7447016472.00784
aut,2019,1975805341.33333
aut,2020,2832874789.41635
aze,1992,-100462962.96296
aze,1993,13245000
aze,1994,-130615923.56688
aze,1995,196669310.07137
aze,1996,-3370917.12193
aze,1997,-109145652.9921
aze,1998,-95502713.87956
aze,1999,-92354368.93204
aze,2000,-129861421.54671
aze,2001,-125845592.18297
aze,2002,30960707.67332
aze,2003,21077283.37237
aze,2004,24320748.95696
aze,2005,29934419.29342
aze,2006,33243787.77703
aze,2007,41487006.17644
aze,2008,56110029.2113
aze,2009,57228166.2105
aze,2010,-56690755.0461
aze,2011,59516272.00203
aze,2012,-96486761.71079
aze,2013,-100828553.21861
aze,2014,59926048.70585
aze,2015,46847550.26352
aze,2016,244908190.76267
aze,2017,229549151.75459
aze,2018,-266000000
aze,2019,-395882352.94118
aze,2020,330000000
bdi,1965,360296.2963
bdi,1967,-96000
bdi,1968,-41142.85714
bdi,1969,-57142.85714
bdi,1970,1296000
bdi,1971,6418285.71429
bdi,1972,-5142857.14286
bdi,1973,-1225851.59823
bdi,1974,-8458412.69841
bdi,1975,-7060317.46032
bdi,1981,33343333.33333
bdi,1982,-6844444.44444
bdi,1983,38052716.51426
bdi,1984,7727006.93342
bdi,1985,-5103985.41718
bdi,1986,-28073924.84891
bdi,1987,12415021.04241
bdi,1988,-811994.72916
bdi,1989,-1147056.41375
bdi,1990,-7993927.18461
bdi,1991,-5696561.67878
bdi,1992,4829503.17566
bdi,1993,4126853.37727
bdi,1994,209765.57707
bdi,1995,-795970.49944
bdi,1996,-1350289.01734
bdi,2005,-1117113.04565
bdi,2006,16553875.26349
bdi,2007,5424797.45944
bdi,2008,1611835.90191
bdi,2009,10688727.30087
bdi,2010,14224947.53801
bdi,2011,20122390.98235
bdi,2012,34999621.49194
bdi,2013,29419503.99295
bdi,2014,-5411567.83724
bdi,2015,-5047859.01225
bdi,2016,-4543056.26788
bdi,2017,-4893053.37806
bdi,2018,492.84387
bdi,2019,526.2787
bdi,2020,568.35008
bel,1970,1544045179.50787
bel,1971,1471186580.05098
bel,1972,807647328.3842
bel,1973,2197907265.57649
bel,1974,4164056545.15327
bel,1975,-610840188.65855
