geo,time,sg_law_indx
afg,1970,26.25
afg,1971,26.25
afg,1972,26.25
afg,1973,26.25
afg,1974,26.25
afg,1975,26.25
afg,1976,26.25
afg,1977,26.25
afg,1978,26.25
afg,1979,26.25
afg,1980,26.25
afg,1981,26.25
afg,1982,26.25
afg,1983,26.25
afg,1984,26.25
afg,1985,26.25
afg,1986,26.25
afg,1987,26.25
afg,1988,25.625
afg,1989,25.625
afg,1990,25.625
afg,1991,25.625
afg,1992,25.625
afg,1993,25.625
afg,1994,25.625
afg,1995,25.625
afg,1996,25.625
afg,1997,25.625
afg,1998,25.625
afg,1999,26.25
afg,2000,26.25
afg,2001,26.25
afg,2002,26.25
afg,2003,26.25
afg,2004,26.25
afg,2005,26.25
afg,2006,26.25
afg,2007,28.75
afg,2008,28.75
afg,2009,28.75
afg,2010,28.75
afg,2011,28.75
afg,2012,28.75
afg,2013,28.75
afg,2014,28.75
afg,2015,28.75
afg,2016,38.125
afg,2017,38.125
afg,2018,38.125
afg,2019,38.125
afg,2020,38.125
afg,2021,38.125
ago,1970,30.625
ago,1971,30.625
ago,1972,30.625
ago,1973,30.625
ago,1974,30.625
ago,1975,30.625
ago,1976,30.625
ago,1977,30.625
ago,1978,30.625
ago,1979,30.625
ago,1980,30.625
ago,1981,30.625
ago,1982,33.125
ago,1983,33.125
ago,1984,33.125
ago,1985,33.125
ago,1986,33.125
ago,1987,33.125
ago,1988,56.25
ago,1989,56.25
ago,1990,56.25
ago,1991,56.25
ago,1992,56.25
ago,1993,56.25
ago,1994,56.25
ago,1995,56.25
ago,1996,56.25
ago,1997,56.25
ago,1998,56.25
ago,1999,56.25
ago,2000,62.5
ago,2001,62.5
ago,2002,62.5
ago,2003,62.5
ago,2004,62.5
ago,2005,62.5
ago,2006,62.5
ago,2007,62.5
ago,2008,62.5
ago,2009,62.5
ago,2010,62.5
ago,2011,65
ago,2012,70.625
ago,2013,70.625
ago,2014,70.625
ago,2015,70.625
ago,2016,73.125
ago,2017,73.125
ago,2018,73.125
ago,2019,73.125
ago,2020,73.125
ago,2021,79.375
alb,1970,59.375
alb,1971,59.375
alb,1972,59.375
alb,1973,59.375
alb,1974,59.375
alb,1975,59.375
alb,1976,59.375
alb,1977,59.375
alb,1978,59.375
alb,1979,59.375
alb,1980,59.375
alb,1981,59.375
alb,1982,59.375
alb,1983,59.375
alb,1984,59.375
alb,1985,59.375
alb,1986,59.375
alb,1987,59.375
alb,1988,59.375
alb,1989,59.375
alb,1990,59.375
alb,1991,59.375
alb,1992,59.375
alb,1993,65
alb,1994,65
alb,1995,65
alb,1996,80
alb,1997,80
alb,1998,80
alb,1999,80
alb,2000,80
alb,2001,80
alb,2002,80
alb,2003,80
alb,2004,80
alb,2005,80
alb,2006,80
alb,2007,82.5
alb,2008,82.5
alb,2009,82.5
alb,2010,85.625
alb,2011,85.625
alb,2012,85.625
alb,2013,85.625
alb,2014,85.625
alb,2015,85.625
alb,2016,91.25
alb,2017,91.25
alb,2018,91.25
alb,2019,91.25
alb,2020,91.25
alb,2021,91.25
are,1970,17.5
are,1971,17.5
are,1972,17.5
are,1973,17.5
are,1974,17.5
are,1975,17.5
are,1976,17.5
are,1977,17.5
are,1978,17.5
are,1979,17.5
are,1980,17.5
are,1981,17.5
are,1982,17.5
are,1983,17.5
are,1984,17.5
are,1985,17.5
are,1986,17.5
are,1987,17.5
are,1988,17.5
are,1989,17.5
are,1990,17.5
are,1991,17.5
are,1992,17.5
are,1993,17.5
are,1994,17.5
are,1995,17.5
are,1996,17.5
are,1997,17.5
are,1998,17.5
are,1999,26.875
are,2000,26.875
are,2001,26.875
are,2002,26.875
are,2003,26.875
are,2004,26.875
are,2005,26.875
are,2006,26.875
are,2007,26.875
are,2008,26.875
are,2009,26.875
are,2010,26.875
are,2011,26.875
are,2012,26.875
are,2013,26.875
are,2014,26.875
are,2015,26.875
are,2016,26.875
are,2017,26.875
are,2018,30
are,2019,59.375
are,2020,82.5
are,2021,82.5
arg,1970,30.625
arg,1971,30.625
arg,1972,30.625
arg,1973,30.625
arg,1974,30.625
arg,1975,32.5
arg,1976,38.75
arg,1977,38.75
arg,1978,38.75
arg,1979,38.75
arg,1980,38.75
arg,1981,38.75
arg,1982,38.75
arg,1983,38.75
arg,1984,38.75
arg,1985,38.75
arg,1986,38.75
arg,1987,38.75
arg,1988,59.375
arg,1989,59.375
arg,1990,59.375
arg,1991,59.375
arg,1992,62.5
arg,1993,62.5
arg,1994,62.5
arg,1995,65
arg,1996,65
arg,1997,65
arg,1998,65
arg,1999,65
arg,2000,65
arg,2001,65
arg,2002,65
arg,2003,65
arg,2004,70
arg,2005,70
arg,2006,70
arg,2007,70
arg,2008,70
arg,2009,73.125
arg,2010,73.125
arg,2011,73.125
arg,2012,73.125
arg,2013,73.125
arg,2014,73.125
arg,2015,73.125
arg,2016,73.125
arg,2017,73.125
arg,2018,76.25
arg,2019,76.25
arg,2020,76.25
arg,2021,79.375
arm,1970,53.125
arm,1971,50
arm,1972,52.5
arm,1973,55.625
arm,1974,55.625
arm,1975,55.625
arm,1976,55.625
arm,1977,55.625
arm,1978,55.625
arm,1979,55.625
arm,1980,55.625
arm,1981,55.625
arm,1982,55.625
arm,1983,55.625
arm,1984,55.625
arm,1985,55.625
arm,1986,55.625
arm,1987,55.625
arm,1988,55.625
arm,1989,55.625
arm,1990,55.625
arm,1991,55.625
arm,1992,55.625
arm,1993,55.625
arm,1994,55.625
arm,1995,55.625
arm,1996,58.75
arm,1997,58.75
arm,1998,58.75
arm,1999,58.75
arm,2000,58.75
arm,2001,58.75
arm,2002,58.75
arm,2003,61.875
arm,2004,61.875
arm,2005,76.875
arm,2006,79.375
arm,2007,79.375
arm,2008,79.375
arm,2009,79.375
arm,2010,79.375
arm,2011,82.5
arm,2012,82.5
arm,2013,82.5
arm,2014,82.5
arm,2015,82.5
arm,2016,82.5
arm,2017,82.5
arm,2018,85
arm,2019,85
arm,2020,85
arm,2021,87.5
atg,1970,51.875
atg,1971,51.875
atg,1972,51.875
atg,1973,58.125
atg,1974,58.125
atg,1975,58.125
atg,1976,61.25
atg,1977,61.25
atg,1978,61.25
atg,1979,61.25
atg,1980,61.25
atg,1981,61.25
atg,1982,61.25
atg,1983,61.25
atg,1984,61.25
atg,1985,61.25
atg,1986,61.25
atg,1987,61.25
atg,1988,61.25
atg,1989,61.25
atg,1990,61.25
atg,1991,61.25
atg,1992,61.25
atg,1993,61.25
atg,1994,61.25
atg,1995,61.25
atg,1996,61.25
atg,1997,63.75
atg,1998,63.75
atg,1999,66.25
atg,2000,66.25
atg,2001,66.25
atg,2002,66.25
atg,2003,66.25
atg,2004,66.25
atg,2005,66.25
atg,2006,66.25
atg,2007,66.25
atg,2008,66.25
atg,2009,66.25
atg,2010,66.25
atg,2011,66.25
atg,2012,66.25
atg,2013,66.25
atg,2014,66.25
atg,2015,66.25
atg,2016,66.25
atg,2017,66.25
atg,2018,66.25
atg,2019,66.25
atg,2020,66.25
atg,2021,66.25
aus,1970,54.375
aus,1971,54.375
aus,1972,54.375
aus,1973,54.375
aus,1974,54.375
aus,1975,54.375
aus,1976,56.875
aus,1977,60
aus,1978,60
aus,1979,60
aus,1980,60
aus,1981,62.5
aus,1982,65.625
aus,1983,68.75
aus,1984,75
aus,1985,75
aus,1986,75
aus,1987,75
aus,1988,75
aus,1989,75
aus,1990,75
aus,1991,75
aus,1992,75
aus,1993,75
aus,1994,75
aus,1995,75
aus,1996,75
aus,1997,81.25
aus,1998,81.25
aus,1999,81.25
aus,2000,81.25
aus,2001,81.25
aus,2002,81.25
aus,2003,81.25
aus,2004,81.25
aus,2005,81.25
aus,2006,81.25
aus,2007,81.25
aus,2008,81.25
aus,2009,83.75
aus,2010,83.75
aus,2011,91.25
aus,2012,91.25
aus,2013,93.75
aus,2014,96.875
aus,2015,96.875
aus,2016,96.875
aus,2017,96.875
aus,2018,96.875
aus,2019,96.875
aus,2020,96.875
aus,2021,96.875
