global,time,ic_lgl_durs
world,2003,606.58955
world,2004,619.65972
world,2005,636.04908
world,2006,633.62874
world,2007,630.89412
world,2008,634.88304
world,2009,627.95349
world,2010,626.69186
world,2011,633.41954
world,2012,639.30899
world,2013,648.99587
world,2014,652.85831
world,2015,652.07484
world,2016,653.88379
world,2017,651.75326
world,2018,651.59225
world,2019,649.70393
