global,time,sl_emp_1524_sp_zs
world,1991,52.0244
world,1992,51.37156
world,1993,50.3356
world,1994,49.5776
world,1995,48.6597
world,1996,47.79358
world,1997,47.03989
world,1998,46.25724
world,1999,45.74074
world,2000,45.2662
world,2001,44.79806
world,2002,44.32455
world,2003,43.84598
world,2004,43.7775
world,2005,43.46337
world,2006,43.07069
world,2007,42.62162
world,2008,41.97986
world,2009,40.78255
world,2010,40.01008
world,2011,39.35331
world,2012,38.6054
world,2013,37.92883
world,2014,37.41411
world,2015,36.87181
world,2016,36.35935
world,2017,36.04076
world,2018,35.75954
world,2019,35.64513
world,2020,32.71784
