global,time,cm_mkt_ldom_no
world,1975,14577
world,1976,14152
world,1977,13328
world,1978,13712
world,1979,14099
world,1980,17273
world,1981,17335
world,1982,16968
world,1983,18876
world,1984,19829
world,1985,20555
world,1986,22094
world,1987,23783
world,1988,23634
world,1989,23671
world,1990,23732
world,1991,24666
world,1992,24947
world,1993,28300
world,1994,30290
world,1995,33379
world,1996,35617
world,1997,36946
world,1998,37928
world,1999,38414
world,2000,39892
world,2001,40157
world,2002,38894
world,2003,41051
world,2004,38724
world,2005,39096
world,2006,43104
world,2007,44034
world,2008,43949
world,2009,42669
world,2010,43427
world,2011,44323
world,2012,43772
world,2013,44853
world,2014,45743
world,2015,43983
world,2016,43806
world,2017,43440
world,2018,43554
world,2019,43248
