geo,time,ic_prp_proc
afg,2004,11
afg,2005,11
afg,2006,11
afg,2007,9
afg,2008,9
afg,2009,9
afg,2010,9
afg,2011,9
afg,2012,9
afg,2013,9
afg,2014,9
afg,2015,9
afg,2016,9
afg,2017,9
afg,2018,9
afg,2019,9
ago,2004,6
ago,2005,6
ago,2006,6
ago,2007,6
ago,2008,6
ago,2009,6
ago,2010,6
ago,2011,6
ago,2012,6
ago,2013,6
ago,2014,6
ago,2015,6
ago,2016,6
ago,2017,6
ago,2018,6
ago,2019,6
alb,2004,6
alb,2005,6
alb,2006,6
alb,2007,6
alb,2008,6
alb,2009,6
alb,2010,6
alb,2011,6
alb,2012,6
alb,2013,5
alb,2014,5
alb,2015,5
alb,2016,5
alb,2017,5
alb,2018,5
alb,2019,5
are,2004,2
are,2005,2
are,2006,2
are,2007,2
are,2008,2
are,2009,2
are,2010,2
are,2011,2
are,2012,2
are,2013,2
are,2014,2
are,2015,2
are,2016,2
are,2017,2
are,2018,2
are,2019,2
arg,2004,5
arg,2005,5
arg,2006,5
arg,2007,5
arg,2008,5
arg,2009,6
arg,2010,6
arg,2011,7
arg,2012,7
arg,2013,7
arg,2014,7
arg,2015,7
arg,2016,7
arg,2017,7
arg,2018,7
arg,2019,7
arm,2004,4
arm,2005,4
arm,2006,3
arm,2007,3
arm,2008,3
arm,2009,3
arm,2010,3
arm,2011,3
arm,2012,3
arm,2013,3
arm,2014,3
arm,2015,3
arm,2016,3
arm,2017,3
arm,2018,3
arm,2019,3
atg,2005,6
atg,2006,6
atg,2007,6
atg,2008,6
atg,2009,6
atg,2010,7
atg,2011,7
atg,2012,7
atg,2013,7
atg,2014,7
atg,2015,7
atg,2016,7
atg,2017,7
atg,2018,7
atg,2019,7
aus,2004,5
aus,2005,5
aus,2006,5
aus,2007,5
aus,2008,5
aus,2009,5
aus,2010,5
aus,2011,5
aus,2012,5
aus,2013,5
aus,2014,5
aus,2015,5
aus,2016,5
aus,2017,4
aus,2018,4
aus,2019,4
aut,2004,3
aut,2005,3
aut,2006,3
aut,2007,3
aut,2008,3
aut,2009,3
aut,2010,3
aut,2011,3
aut,2012,3
aut,2013,3
aut,2014,3
aut,2015,3
aut,2016,3
aut,2017,3
aut,2018,3
aut,2019,3
aze,2004,7
aze,2005,7
aze,2006,7
aze,2007,7
aze,2008,3
aze,2009,3
aze,2010,3
aze,2011,3
aze,2012,3
aze,2013,3
aze,2014,3
aze,2015,3
aze,2016,3
aze,2017,3
aze,2018,3
aze,2019,4
bdi,2004,8
bdi,2005,8
bdi,2006,8
bdi,2007,8
bdi,2008,8
bdi,2009,8
bdi,2010,8
bdi,2011,8
bdi,2012,8
bdi,2013,5
bdi,2014,5
bdi,2015,5
bdi,2016,5
bdi,2017,5
bdi,2018,5
bdi,2019,5
bel,2004,7
bel,2005,7
bel,2006,7
bel,2007,7
bel,2008,7
bel,2009,7
bel,2010,8
bel,2011,8
bel,2012,8
bel,2013,8
bel,2014,8
bel,2015,8
bel,2016,8
bel,2017,8
bel,2018,8
bel,2019,8
ben,2004,4
ben,2005,4
ben,2006,4
ben,2007,4
ben,2008,4
ben,2009,4
ben,2010,4
ben,2011,4
ben,2012,4
ben,2013,4
ben,2014,4
ben,2015,4
ben,2016,4
ben,2017,4
ben,2018,4
ben,2019,4
bfa,2004,8
bfa,2005,8
bfa,2006,8
bfa,2007,8
bfa,2008,6
bfa,2009,4
bfa,2010,4
bfa,2011,4
bfa,2012,4
bfa,2013,4
bfa,2014,4
bfa,2015,4
bfa,2016,4
bfa,2017,4
bfa,2018,4
bfa,2019,4
bgd,2013,8
bgd,2014,8
bgd,2015,8
bgd,2016,8
bgd,2017,8
bgd,2018,8
bgd,2019,8
bgr,2004,8
bgr,2005,8
bgr,2006,8
bgr,2007,8
bgr,2008,8
bgr,2009,8
bgr,2010,8
bgr,2011,8
bgr,2012,8
bgr,2013,8
bgr,2014,8
bgr,2015,8
