geo,time,se_prm_rept_zs
abw,1999,7.70668
abw,2000,7.58933
abw,2001,8.29801
abw,2002,7.92683
abw,2003,8.96231
abw,2004,8.52234
abw,2005,9.30732
abw,2006,8.77852
abw,2007,8.42838
abw,2008,7.44107
abw,2009,6.95897
abw,2010,7.4059
abw,2013,8.13016
abw,2014,7.34515
afg,1974,26.90883
afg,1977,30.54405
afg,1978,29.42589
afg,1980,15.09145
afg,1981,4.1792
afg,1982,9.62217
afg,1984,5.12998
afg,1985,5.12407
afg,1993,8.99976
afg,2016,3.62815
afg,2017,3.68318
afg,2018,4.07978
ago,1981,29.15829
ago,1982,35.99048
ago,2008,9.53784
ago,2009,11.08938
ago,2010,10.84637
ago,2011,10.29738
alb,1996,3.82128
alb,2000,3.93223
alb,2001,4.05239
alb,2003,2.81416
alb,2004,2.23588
alb,2007,1.3492
alb,2008,1.19576
alb,2009,1.37017
alb,2010,0.9685
alb,2011,0.87221
alb,2012,0.79664
alb,2013,0.74461
alb,2014,0.73319
alb,2015,0.84089
alb,2016,0.76519
alb,2017,0.92544
alb,2018,0.84806
and,2002,0
and,2003,0
and,2004,0
and,2005,0
and,2006,0
and,2007,2.93653
and,2008,2.82725
and,2009,2.45865
and,2010,2.4273
and,2011,2.01736
and,2012,2.32446
and,2013,2.04031
and,2014,1.42681
and,2015,1.27281
and,2016,1.20056
and,2017,0.98522
and,2018,0.73988
are,1974,20.04549
are,1975,18.54881
are,1976,13.54608
are,1977,11.74146
are,1978,9.19055
are,1979,9.24587
are,1980,7.97564
are,1981,7.48051
are,1982,6.64537
are,1983,5.91523
are,1984,5.61684
are,1985,6.38272
are,1986,5.67823
are,1987,6.19474
are,1988,5.68703
are,1989,5.15189
are,1990,4.68376
are,1991,4.35584
are,1992,4.06563
are,1993,3.90701
are,1994,4.73402
are,1995,4.85782
are,1996,4.64895
are,1997,4.17057
are,1998,4.31939
are,1999,3.48854
are,2000,3.41066
are,2001,3.0862
are,2002,2.81476
are,2003,2.63075
are,2004,2.24154
are,2005,1.86373
are,2006,1.96085
are,2007,1.8797
are,2009,2.03681
are,2010,1.99946
are,2011,0
are,2012,0
are,2013,0
are,2014,0.21697
are,2015,0.171
arg,1970,11.38488
arg,1971,10.37942
arg,1974,9.81724
arg,1975,8.65269
arg,1976,8.11346
arg,1994,5.57719
arg,1996,5.56527
arg,1997,5.27327
arg,1998,5.4667
arg,1999,5.94423
arg,2000,6.14958
arg,2001,6.35474
arg,2002,6.05751
arg,2003,6.34149
arg,2004,6.44612
arg,2005,6.38968
arg,2006,6.53683
arg,2007,6.10586
arg,2008,5.73703
arg,2009,5.13591
arg,2010,4.6522
arg,2011,4.17129
arg,2012,3.70622
arg,2013,2.85032
arg,2014,2.11698
arg,2015,1.97776
arg,2016,2.24059
arg,2017,3.30591
arm,1994,0.22775
arm,1997,0.15626
arm,2001,0.11741
arm,2002,0.11774
arm,2003,0.09873
arm,2004,0.12475
arm,2005,0.15581
arm,2006,0.18683
arm,2007,0.17249
arm,2008,0.10259
arm,2009,0.2244
arm,2010,0.15714
arm,2011,0.12435
arm,2012,0.1661
arm,2014,0.20419
arm,2015,0.36804
arm,2016,0.7011
arm,2017,0.25767
arm,2018,0.27312
atg,1975,1.24326
atg,1976,1.90476
atg,1992,2.8931
atg,2007,2.06587
atg,2008,5.61322
atg,2009,6.0039
atg,2010,7.01084
atg,2011,4.81806
atg,2012,4.01799
atg,2014,2.47739
atg,2015,3.07631
atg,2017,1.78966
atg,2018,1.37311
aut,1971,5.75485
aut,1972,5.33095
aut,1973,4.9945
aut,1998,1.41704
aut,1999,1.52813
aut,2002,1.22049
aut,2004,1.24463
aut,2011,2.46069
aut,2012,2.4563
aut,2013,2.57498
aut,2014,2.66022
aut,2015,2.74966
aut,2016,2.84471
aut,2017,2.91775
aze,1993,0.18711
aze,1994,0.31916
aze,1995,0.33632
aze,1996,0.42624
aze,1997,0.45074
aze,1998,0.43286
aze,1999,0.4418
aze,2000,0.44934
aze,2001,0.39668
aze,2002,0.29391
aze,2003,0.33572
aze,2004,0.26557
aze,2005,0.29044
aze,2006,0.28513
aze,2007,0.28342
aze,2008,0.29696
aze,2009,0.27252
aze,2010,0.26539
aze,2011,0.28005
aze,2012,0.24213
aze,2013,0.2268
aze,2014,0.15665
aze,2015,0.14316
aze,2016,0.13494
aze,2017,0.06898
aze,2018,0.12816
bdi,1971,21.85323
bdi,1973,21.99282
bdi,1974,25.43638
bdi,1975,24.51474
bdi,1976,25.5955
bdi,1977,23.95955
bdi,1978,25.9284
bdi,1979,27.15767
bdi,1980,28.64978
bdi,1981,30.19914
bdi,1982,28.81526
bdi,1983,18.21286
bdi,1984,14.13379
bdi,1985,15.47575
bdi,1986,17.74284
bdi,1987,17.96235
bdi,1988,18.46435
bdi,1989,24.68273
bdi,1990,22.20746
bdi,1991,21.76269
bdi,1992,23.01379
bdi,1993,23.69027
bdi,2000,25.22698
bdi,2001,24.51635
bdi,2002,26.33476
bdi,2003,26.48764
bdi,2004,29.07491
bdi,2005,30.40693
bdi,2006,28.83548
bdi,2007,31.95767
bdi,2008,33.75358
bdi,2009,32.31314
bdi,2010,33.69318
bdi,2011,36.22002
bdi,2012,33.06936
bdi,2013,28.98482
bdi,2014,24.25129
bdi,2015,22.60202
bdi,2016,22.03026
bdi,2017,23.89185
bdi,2018,25.72155
bel,1974,23.68428
bel,1975,23.65306
bel,1976,23.93345
bel,1977,23.43482
bel,1978,22.91489
bel,1979,23.09762
bel,1980,22.55955
bel,1981,19.36073
bel,1982,19.00217
bel,1983,20.42778
bel,1984,18.15167
bel,1985,17.69941
bel,1986,16.50595
bel,1987,15.99457
bel,1988,16.16085
bel,1991,15.84507
bel,2006,3.17955
bel,2007,3.16626
bel,2008,3.38939
bel,2009,3.29742
bel,2010,3.26227
bel,2011,3.14131
bel,2012,2.95997
bel,2013,2.60867
bel,2014,2.48738
bel,2015,2.49436
bel,2016,2.28107
bel,2017,2.21264
ben,1971,18.84448
ben,1972,17.43618
ben,1973,19.07698
ben,1974,20.61091
ben,1975,17.60466
ben,1976,21.2298
ben,1977,21.69426
ben,1978,20.91892
ben,1979,18.47688
ben,1980,23.22106
ben,1981,19.57697
ben,1982,18.15918
ben,1983,22.46622
ben,1984,28.51511
ben,1985,25.91956
ben,1986,26.85275
ben,1987,26.1471
ben,1988,26.18223
ben,1989,26.23313
ben,1990,24.56464
ben,1991,21.48353
ben,1992,23.12111
ben,1993,23.8831
ben,1994,24.655
ben,1995,24.45744
ben,1996,25.10534
ben,1997,25.15419
ben,1998,23.73456
ben,2000,19.91026
ben,2001,19.8758
ben,2002,21.58297
ben,2003,19.92558
ben,2004,23.07487
ben,2005,16.78471
ben,2008,14.30238
ben,2010,13.38815
ben,2011,10.8313
ben,2012,11.60815
ben,2013,11.22144
ben,2014,10.84061
ben,2015,10.73499
ben,2016,9.91598
ben,2018,15.11129
bfa,1971,16.14698
bfa,1972,17.43911
bfa,1973,17.5428
bfa,1974,17.44234
bfa,1975,17.03115
bfa,1976,17.45185
bfa,1977,18.52482
bfa,1978,18.75735
bfa,1979,17.9562
bfa,1980,17.9144
bfa,1981,17.09021
bfa,1982,16.42446
bfa,1983,16.57038
bfa,1984,16.51128
bfa,1985,14.08236
bfa,1987,15.50892
bfa,1988,16.51125
bfa,1989,16.95111
bfa,1990,17.30648
bfa,1991,17.74871
bfa,1992,16.70865
bfa,1993,16.63681
bfa,1994,15.99481
bfa,1995,16.25605
bfa,1996,15.95489
bfa,1999,17.71132
bfa,2000,17.03283
bfa,2001,17.6083
bfa,2002,17.5254
bfa,2003,15.08956
bfa,2004,13.03909
bfa,2005,11.92663
bfa,2006,11.97501
bfa,2007,11.75001
bfa,2008,10.51572
bfa,2009,10.56267
bfa,2010,10.12248
bfa,2012,8.18048
bfa,2013,7.37977
bfa,2014,6.87415
bfa,2015,5.5887
bfa,2016,5.65723
bfa,2017,6.35369
bfa,2018,5.70354
bgd,1976,18.5495
bgd,1977,16.42471
bgd,1981,17.77617
bgd,1989,6.82628
bgd,2005,10.24688
bgd,2006,10.93803
bgd,2008,13.15478
bgd,2009,13.25531
bgd,2010,12.46093
bgd,2017,4.74292
bgd,2018,4.14134
bgr,1971,5.80593
bgr,1972,5.70415
bgr,1973,5.17119
bgr,1974,4.48994
bgr,1975,3.14616
bgr,1976,1.99296
bgr,1977,1.94945
bgr,1978,2.18066
bgr,1979,2.05711
bgr,1980,2.11077
bgr,1981,1.99042
bgr,1982,1.89168
bgr,1983,1.77866
bgr,1984,1.83044
bgr,1985,1.8669
bgr,1986,1.96084
bgr,1987,1.96528
bgr,1988,2.241
bgr,1989,2.8167
bgr,1990,3.2753
bgr,1991,4.82355
bgr,1992,5.01391
bgr,1993,5.52894
bgr,1994,4.84076
bgr,1995,3.90631
bgr,1996,3.54231
bgr,1997,3.35001
bgr,1998,3.30097
bgr,1999,3.22326
bgr,2000,3.12592
