global,time,bm_gsr_totl_cd
world,1979,2244936356605.52002
world,1980,2764333846780.00977
world,1981,2865517223406.74023
world,1982,2733129199706.4502
world,1983,2632882353253.62012
world,1984,2792134483726.97021
world,1985,2817508925091
world,1986,3094276673622.22949
world,1987,3611878692176.48975
world,1988,4117789109299.14014
world,1989,4512809916169.25
world,1990,5225874628914.86035
world,1991,5399962912500.66016
world,1992,5761039415055.12012
world,1993,5689261988912.16992
world,1994,6216024750228.50977
world,1995,7404797296787.33008
world,1996,7821151233394.79004
world,1997,8027871248857.21875
world,1998,8058579181933.36914
world,1999,8476304138983.36035
world,2000,9551097642429.85938
world,2001,9175153645704.2207
world,2002,9429691462381.98047
world,2003,10989897373825.69922
world,2004,13431010251809.5
world,2005,15538517388614.09961
world,2006,18127612080114.5
world,2007,21492065583530
world,2008,24099645602195.5
world,2009,18882352191141.10156
world,2010,22173182326657.5
world,2011,26145487588492
world,2012,26309899015491.39844
world,2013,27084732214606.5
world,2014,27681417705184.39844
world,2015,24804180459295.39844
world,2016,24423469380150.60156
world,2017,26937836797760
world,2018,29852315764944.19922
world,2019,29453663471740
world,2020,26277024299246.60156
