geo,time,ny_gds_totl_cn
abw,1995,698650000
abw,1996,652130000
abw,1997,728180000
abw,1998,825530000
abw,1999,807810000
abw,2000,979480000
abw,2001,882000000
abw,2002,780000000
abw,2003,776000000
abw,2004,1009000000
abw,2005,1009000000
abw,2006,994000000
abw,2007,1023000000
abw,2008,1118000000
abw,2009,796000000
abw,2010,530000000
abw,2011,572000000
abw,2012,429000000
abw,2013,733951000
abw,2014,838285064.22787
abw,2015,1135559305.55675
abw,2016,1173679845.27611
abw,2017,1209178944.64378
abw,2018,1189271885.09849
afg,1960,3200002000
afg,1961,3200002100
afg,1962,3600001000
afg,1963,2200002600
afg,1964,1700003800
afg,1965,499998700
afg,1966,-1000001500
afg,1967,-1699995700
afg,1968,99999700
afg,1969,1000001500
afg,1970,2599993300
afg,1971,200007600
afg,1972,2299994100
afg,1973,4299997200
afg,1974,7699996600
afg,1975,8699994100
afg,1976,13799997400
afg,1977,12300001200
afg,1978,16100008000
ago,2000,52540966100
ago,2001,60976840400
ago,2002,261906000000
ago,2003,467688035000
ago,2004,867196431000
ago,2005,1676208000000
ago,2006,2341105000000
ago,2007,2677492000000
ago,2008,3613280030000
ago,2009,2113216621000
ago,2010,3632091421400
ago,2011,5017533012600
ago,2012,5714888136500
ago,2013,5386887559800
ago,2014,5379697218500
ago,2015,4299921491500
ago,2016,4980347158200
ago,2017,6054715139100
ago,2018,8499181574400
ago,2019,11151638000000
ago,2020,8948720000000
alb,1980,4885070300
alb,1981,5322160300
alb,1982,4952879600
alb,1983,5014720400
alb,1984,4348759900
alb,1985,4563289700
alb,1986,4692310100
alb,1987,4279769800
alb,1988,3835690200
alb,1989,4751720200
alb,1990,2942535300
alb,1991,-2707539600
alb,1992,-42529856700
alb,1993,-46565747800
alb,1994,-28132025700
alb,1995,-12013895000
alb,1996,-12006920000
alb,1997,-27738010000
alb,1998,-21015420000
alb,1999,10678500000
alb,2000,37954600000
alb,2001,62906260000
alb,2002,52686730000
alb,2003,58089900000
alb,2004,85455550000
alb,2005,96686800000
alb,2006,103415900000
alb,2007,74882940000
alb,2008,70539070000
alb,2009,92328899999.99988
alb,2010,133054850000
alb,2011,139510140000
alb,2012,149118940000
alb,2013,120764030000
alb,2014,108286510000
alb,2015,117535790000
alb,2016,114406070000
alb,2017,137907280000
alb,2018,157221020000
alb,2019,148118480000
alb,2020,81766420000
are,2001,117452586200
are,2002,114863139200
are,2003,144651779300
are,2004,165533825300
are,2005,237365689400
are,2006,302269570600
are,2007,314177903700
are,2008,397628495100
are,2009,348979727200
are,2010,507946412000
are,2011,665142246800
are,2012,799663597800
are,2013,789080360400
are,2014,781681950500
are,2015,686019980800
are,2016,672382817200
are,2017,700720446800
are,2018,773415779300
are,2019,742474190969.81604
arg,1960,0.02757
arg,1961,0.04987
arg,1962,0.04423
arg,1963,0.04559
arg,1964,0.08663
arg,1965,0.11807
arg,1966,0.13351
arg,1967,0.18982
arg,1968,0.2107
arg,1969,0.26245
arg,1970,0.30372
arg,1971,0.3914
arg,1972,0.67386
arg,1973,1.07806
arg,1974,1.49122
arg,1975,5.6822
arg,1976,34.7781
arg,1977,94.345
arg,1978,217.49503
arg,1979,503.08997
arg,1980,915.3999
arg,1981,1662.2998
arg,1982,5315.5
arg,1983,26500
arg,1984,180310
arg,1985,1222900
arg,1986,1926900
arg,1987,4632000
arg,1988,24389000
arg,1989,713479936
arg,1990,13595000832
arg,1991,29367009300
arg,1992,34376007700
arg,1993,40876713000
arg,1994,43484681200
arg,1995,46677313000
arg,1996,51639312000
arg,1997,54505788900
arg,1998,55161538900
arg,1999,45745085000
arg,2000,47984383900
arg,2001,45495038800
arg,2002,80852970700
arg,2003,95346199800
arg,2004,119114520700
arg,2005,144636926900
arg,2006,173967577100
arg,2007,219575752200
arg,2008,267774455300
arg,2009,263537148500
arg,2010,342350526000
arg,2011,437781679400
arg,2012,486725786100
arg,2013,576116543800
