global,time,st_int_dprt
world,1997,930066023.11942
world,1998,982125955.07135
world,1999,1043185310.63002
world,2000,1122419166.95385
world,2001,1121398703.97991
world,2002,1127808612.10395
world,2003,1130457013.89048
world,2004,1201164309.27279
world,2005,1254803571.94802
world,2006,1383150801.52998
world,2007,1425571395.95709
world,2008,1453143997.14176
world,2009,1397423333.50426
world,2010,1457015079.9153
world,2011,1504559275.56247
world,2012,1564352744.61604
world,2013,1641229335.67586
world,2014,1651310269.20368
world,2015,1744980358.24725
world,2016,1820356515.25154
world,2017,1934268135.44766
world,2018,1991161436.61296
world,2019,2034431899.10226
