geo,time,fm_ast_doms_cn
abw,1986,234945000
abw,1987,347761000
abw,1988,464808000
abw,1989,546526000
abw,1990,615469000
abw,1991,682864000
abw,1992,744685000
abw,1993,756790000
abw,1994,904862000
abw,1995,931933000
abw,1996,1072328000
abw,1997,1160807000
abw,1998,1227219000
abw,1999,1373971000
abw,2000,1478961000
abw,2001,1540655000
abw,2002,1706137000
abw,2003,1969561000
abw,2004,2061564000
abw,2005,2259793000
abw,2006,2313773000
abw,2007,2412872000
abw,2008,2364339000
abw,2009,2380279000
abw,2010,2541109000
abw,2011,2591796000
abw,2012,2854135000
abw,2013,2963489000
abw,2014,3139582000
abw,2015,3165732000
abw,2016,3307622000
abw,2017,3532188000
abw,2018,3677911000
abw,2019,3936193000
abw,2020,3909423000
afg,1960,3806000000
afg,1961,4958000000
afg,1962,5234000000
afg,1963,5748000000
afg,1964,7353000000
afg,1965,6957000000
afg,1966,6825000000
afg,1967,7468000000
afg,1968,8949000000
afg,1969,9698740212.39063
afg,1970,10711736612.3594
afg,1971,11670336612.375
afg,1972,13556437512.375
afg,1973,13941837512.375
afg,1974,15681237512.375
afg,1975,15551937512.375
afg,1976,18480537512.375
afg,1977,18389137512.375
afg,1978,22958201152.75
afg,1979,29175933325.75
afg,1980,20670156124.625
afg,1981,28082804542.375
afg,1982,33011440000
afg,1984,65588760000
afg,1985,81928920000
afg,1986,102757080000
afg,1987,153595510000
afg,1988,208570810000
afg,1989,299791679000
afg,1990,446045310000
afg,2006,-16995662870.245
afg,2007,2624544132.29044
afg,2008,25571784726.4217
afg,2009,29530504595.7601
afg,2010,34723129849.7
afg,2011,-21915682324.89
afg,2012,-20389805049.0932
afg,2013,-23583440411.3963
afg,2014,-7152743282.76889
afg,2015,-5027250038.18679
afg,2016,-15599247246.7319
afg,2017,-33963024586.5945
afg,2018,-74582578900.6225
afg,2019,-73369344998.6559
afg,2020,-79378053336.8846
ago,1995,7908350.6237
ago,1996,39890162.9
ago,1997,175656174.732
ago,1998,449041422.532
ago,1999,1239737418.013
ago,2000,-13525732196.59
ago,2001,-629065766.21
ago,2002,27223038305.378
ago,2003,70146641948.474
ago,2004,110514707947.52499
ago,2005,60553776418.58
ago,2006,-168212539663.67999
ago,2007,86875010209.44998
ago,2008,596857564610.43994
ago,2009,1747767490168.87988
ago,2010,1460323050818.23999
ago,2011,1627396878739.33008
ago,2012,1705104062556.72998
ago,2013,2261542854907.18945
ago,2014,3015869196467.97021
ago,2015,3821200483572.5
ago,2016,4523815654480.91016
ago,2017,6000198834886.99023
ago,2018,6371088920364.26953
ago,2019,7205333616305.04004
ago,2020,10521384394868.59961
alb,1994,94525200000
alb,1995,89758510000
alb,1996,129859100000
alb,1997,187105800000
alb,1998,231738142000
alb,1999,236318246000
alb,2000,256278880900
alb,2001,274610000000
alb,2002,293881573839.61603
alb,2003,319847018254.90698
alb,2004,348203647106.04901
alb,2005,406489831967.66602
alb,2006,488350000000
alb,2007,600700000000
alb,2008,718760000000
alb,2009,782250000000
alb,2010,827150000000
alb,2011,904180000000
alb,2012,909340000000
alb,2013,913490000000
alb,2014,948470000000
alb,2015,902980000000
alb,2016,905130000000
alb,2017,902790000000
alb,2018,874950000000
alb,2019,950360000000
alb,2020,1047820000000
are,1973,819370821.4258
are,1974,717948853.93735
are,1975,-417617104.8226
are,1976,2550189779.05534
are,1977,15291315077.6262
are,1978,18700142254.2545
are,1979,19460027674.8124
are,1980,20740710227.8012
are,1981,22638077351.4933
are,1982,27923793415.6549
are,1983,33593226325.6245
are,1984,34250315629.3549
are,1985,39574753251.4592
are,1986,40132050398.7027
are,1987,38405099037.914
are,1988,41232368229.699
are,1989,44518709865.2112
are,1990,43133813119.462
are,1991,45492782294.2042
are,1992,51117959928.75
are,1993,53986384640.2254
are,1994,65022744033.0033
are,1995,69728351730.51891
are,1996,78082620250.56979
are,1997,90514778663.54482
are,1998,102143765557.43201
are,1999,111426957358.311
are,2000,110883942710.75301
are,2001,111804000000
are,2002,125007000000
are,2003,153524000000
are,2004,194643000000
are,2005,283503000000
are,2006,399614000000
are,2007,570235000000
are,2008,847103000000
are,2009,959995000000
are,2010,990054000000
are,2011,1057928000000
are,2012,1055304000000
are,2013,1177533000000
are,2014,1219634000000
are,2015,1362575000000
are,2016,1410811000000
are,2017,1415987000000
are,2018,1388469000000
are,2019,1459654000000
are,2020,1505140000000
arg,1960,0.0283
arg,1961,0.0311
arg,1962,0.0366
arg,1963,0.0451
arg,1964,0.0622
arg,1965,0.0764
arg,1966,0.1022
arg,1967,0.1429
arg,1968,0.1846
arg,1969,0.2164
arg,1970,0.2525
arg,1971,0.4
arg,1972,0.62
arg,1973,1.35
arg,1974,2.1
arg,1975,5.57
arg,1976,20.25
arg,1977,67.11
arg,1978,184.53
arg,1979,540.49
arg,1980,1141
arg,1981,3109
arg,1982,10073.18
arg,1983,50443.7
arg,1984,331834.7
arg,1990,22272000000
arg,1991,40987000000
arg,1992,50479000000
arg,1993,60811000000
arg,1994,67553838000
arg,1995,71147700000
arg,1996,75873964000
arg,1997,87758867000
arg,1998,95371523000
arg,1999,98427256000
arg,2000,95789603657.64999
arg,2001,98231071000
arg,2002,193573361000
arg,2003,189196245000
arg,2004,201949821000
arg,2005,202006555000
arg,2006,198798947000
arg,2007,227226162000
arg,2008,246755773000
arg,2009,315068829677.34998
arg,2010,414120532000
arg,2011,566177216000
arg,2012,792987594000
arg,2013,1092922448000
arg,2014,1559533924000
arg,2015,2387271166383.49023
arg,2016,3084657818025.31006
arg,2017,4080573405335.85986
arm,1992,193274615.33
arm,1993,1861436450.155
arm,1994,28622605066.5
arm,1995,47610038000
arm,1996,59975493051.9
arm,1997,64121132987.9
arm,1998,102516384609.88
arm,1999,106149981017.2
arm,2000,119093801483.10001
arm,2001,109766643840.39999
arm,2002,100523179175.10001
arm,2003,90321659014
arm,2004,127530862042.7
arm,2005,197126370536
arm,2006,214196413828.39999
arm,2007,382143126957.09998
arm,2008,663450324039.5
arm,2009,673231933381.20093
arm,2010,959087582162.79871
arm,2011,1368801565425.5
arm,2012,1757478157580.71997
arm,2013,1957922532059.91992
arm,2014,2472321755989.0498
arm,2015,2429435068245.89014
arm,2016,2753153940188.99023
arm,2017,3249369291774.54004
arm,2018,3769084724322.5498
arm,2019,4300322157926.54004
arm,2020,5184433141048.83008
atg,1975,82020000
atg,1976,114772000
atg,1977,111872000
atg,1978,119569000
atg,1979,130687000
atg,1980,153109000
atg,1981,177749000
atg,1982,197817000
atg,1983,232213000
atg,1984,258771000
atg,1985,301568000
atg,1986,352461000
atg,1987,468173000
atg,1988,546339000
atg,1989,621005000
atg,1990,662139000
atg,1991,694883000
