global,time,ne_gdi_totl_cd
world,1970,817160890919.02197
world,1971,895944972769.06494
world,1972,1039555192847.38
world,1973,1327476403239.72998
world,1974,1538236993485.5
world,1975,1570931008438.69995
world,1976,1764526221450.3501
world,1977,2012743388780.47998
world,1978,2401306539244.93994
world,1979,2808876280315.62012
world,1980,3102516652635.18945
world,1981,3104982749566.31982
world,1982,2901040937824.20947
world,1983,2872493673944.3999
world,1984,3072103170937.75977
world,1985,3168279676217.37012
world,1986,3727795304051.00977
world,1987,4282631026723.02002
world,1988,4970323490894.16992
world,1989,5261164780498.67969
world,1990,5859163043277.33984
world,1991,5922295219012.12988
world,1992,6192491160186.48926
world,1993,6153764907471.45996
world,1994,6801950205566.87012
world,1995,7610310150373.2002
world,1996,7738675840484.92969
world,1997,7670091485822.58887
world,1998,7551743706851.25
world,1999,7831937774983.75879
world,2000,8219357877369.75879
world,2001,7877565196614.60938
world,2002,7967507370951
world,2003,9027458912353.88867
world,2004,10494067775561.30078
world,2005,11551008352783.19922
world,2006,12815615447411.80078
world,2007,14715042479162.69922
world,2008,16168115957780.59961
world,2009,14116644109811
world,2010,16232588387198.59961
world,2011,18553467019617.89453
world,2012,19106804568068.60156
world,2013,19719158609060.80078
world,2014,20490346836475.19922
world,2015,19374809299338.39844
world,2016,19432832891691.89453
world,2017,21041042245305.30078
world,2018,22760147163072.60156
world,2019,23184500769382.89453
world,2020,22336438373323.60156
