global,time,eg_cft_accs_ur_zs
world,2000,76.21362
world,2001,76.44361
world,2002,76.71041
world,2003,77.02983
world,2004,77.41891
world,2005,77.79097
world,2006,78.29239
world,2007,78.90831
world,2008,79.57175
world,2009,80.26373
world,2010,81.02344
world,2011,81.67707
world,2012,82.30625
world,2013,82.96532
world,2014,83.54394
world,2015,84.12204
world,2016,84.71005
world,2017,85.16356
world,2018,85.67823
world,2019,86.09169
world,2020,86.47127
