global,time,ag_prd_crel_mt
world,1961,744320361
world,1962,794735013
world,1963,840846650
world,1964,853601798
world,1965,877550674
world,1966,907140817
world,1967,973139653
world,1968,991786147
world,1969,1006134810
world,1970,1007671970
world,1971,1115215163
world,1972,1087195614
world,1973,1137462946
world,1974,1127199866
world,1975,1210443643
world,1976,1238538558
world,1977,1254554130
world,1978,1343389391
world,1979,1350873051
world,1980,1353568870
world,1981,1463008229
world,1982,1496445993
world,1983,1426699487
world,1984,1605516213
world,1985,1622898714
world,1986,1616900332
world,1987,1560806624
world,1988,1526191864
world,1989,1655849580
world,1990,1716847663
world,1991,1701262880
world,1992,1953419126
world,1993,1896266524
world,1994,1942777627
world,1995,1889253508
world,1996,2051155348
world,1997,2083479578
world,1998,2073216799
world,1999,2072935659
world,2000,2052236042
world,2001,2092333018
world,2002,2043524367
world,2003,2063505222
world,2004,2273990004
world,2005,2252079376
world,2006,2251391927
world,2007,2342481223
world,2008,2517239224
world,2009,2487936013
world,2010,2465408342
world,2011,2584333349
world,2012,2566124436
world,2013,2770739457
world,2014,2822322838
world,2015,2851573171
world,2016,2940242868
world,2017,3022177937
world,2018,2964932598
