global,time,gc_tax_gsrv_rv_zs
world,2002,32.46466
world,2003,32.99331
world,2004,34.27139
world,2005,34.29493
world,2006,33.25584
world,2007,33.74648
world,2008,31.94847
world,2009,31.1391
world,2010,31.86187
world,2011,33.10308
world,2012,32.84558
world,2013,32.84133
world,2014,33.20064
world,2015,33.72491
world,2016,34.22478
world,2017,33.04332
world,2018,33.34822
world,2019,32.32659
