geo,time,se_pre_enrr_fe
abw,1999,93.53479
abw,2000,93.3564
abw,2001,97.70674
abw,2002,96.81881
abw,2003,98.74913
abw,2004,100.56338
abw,2005,99.78402
abw,2006,107.98817
abw,2007,108.45176
abw,2008,102.26757
abw,2009,99.92378
abw,2010,102.9703
abw,2011,104.37736
abw,2012,106.31179
abw,2013,104.35447
abw,2014,104.60829
abw,2015,102.26033
afg,1970,0.27786
afg,1975,0.48608
afg,1977,0.8235
afg,1980,0.99268
afg,1981,1.09196
afg,1982,1.06664
afg,1984,2.99536
afg,1985,4.02683
afg,1986,5.19376
afg,1988,5.14358
afg,2003,2.70386
ago,1981,34.1878
ago,1982,34.63921
ago,1986,19.05412
ago,1987,17.67432
ago,1988,16.48969
ago,1989,15.75567
ago,1990,14.09652
ago,1991,8.53654
ago,1992,13.02809
ago,1998,13.39592
ago,1999,18.69383
ago,2007,147.24496
ago,2008,87.58959
ago,2009,86.6285
ago,2010,85.95368
ago,2011,86.67011
ago,2016,37.31461
alb,1991,60.13219
alb,1992,49.74459
alb,1993,36.89129
alb,1994,36.7243
alb,1995,37.882
alb,1996,41.04627
alb,1997,41.8483
alb,1999,44.13239
alb,2001,47.69427
alb,2003,49.97567
alb,2004,50.45775
alb,2005,51.67176
alb,2006,54.22335
alb,2007,55.07026
alb,2008,59.34159
alb,2009,62.33791
alb,2010,65.87016
alb,2011,71.29201
alb,2012,79.0621
alb,2013,83.41867
alb,2014,84.95201
alb,2015,87.83136
alb,2016,88.9765
alb,2017,84.93973
alb,2018,80.79098
alb,2019,75.58107
alb,2020,75.13714
and,1975,120.25518
and,1983,173.5294
are,1973,20.64474
are,1976,33.92857
are,1977,30.44783
are,1978,29.11503
are,1979,24.51452
are,1980,30.71679
are,1981,34.50226
are,1982,46.99724
are,1983,52.45564
are,1984,47.67588
are,1985,46.60475
are,1986,48.68275
are,1987,50.15943
are,1988,51.97751
are,1989,55.06438
are,1990,56.02035
are,1991,53.75904
are,1992,54.61122
are,1993,56.14286
are,1994,58.8158
are,1995,59.42106
are,1996,58.75184
are,1997,56.2083
are,1998,57.64893
are,1999,60.28268
are,2000,59.30938
are,2001,59.60188
are,2002,65.36397
are,2003,71.09935
are,2004,75.2928
are,2005,78.4205
are,2006,79.85636
are,2007,85.06575
are,2009,86.3017
are,2010,86.25108
are,2011,84.43757
are,2012,81.15038
are,2013,82.36396
are,2014,88.52049
are,2015,80.40561
are,2019,98.27786
are,2020,94.26618
arg,1970,24.07057
arg,1971,25.45336
arg,1972,26.96269
arg,1973,29.48508
arg,1974,32.0394
arg,1975,36.41927
arg,1976,38.73334
arg,1977,40.10039
arg,1981,43.34813
arg,1982,45.14556
arg,1983,46.16392
arg,1984,48.95035
arg,1985,51.93057
arg,1986,53.92786
arg,1987,57.52997
arg,1988,61.94078
arg,1996,53.4963
arg,1997,54.1629
arg,1998,55.47662
arg,1999,56.20615
arg,2000,59.26259
arg,2001,60.06647
arg,2002,60.73181
arg,2003,60.96454
arg,2004,62.72365
arg,2005,64.33495
arg,2006,64.16373
arg,2007,65.23495
arg,2008,67.29656
arg,2009,68.68739
arg,2010,69.42294
arg,2011,69.43131
arg,2012,71.24271
arg,2013,72.84581
arg,2014,73.85748
arg,2015,75.2564
arg,2016,75.90074
arg,2017,76.63153
arg,2018,77.81889
arg,2019,78.35579
arm,2015,37.76326
arm,2016,36.44927
arm,2017,39.16865
arm,2018,39.65969
arm,2019,40.22616
arm,2020,46.7622
asm,1981,66.49254
asm,1984,66.16595
asm,1985,67.83747
asm,1986,62.35918
asm,1987,66.29073
asm,1988,65.04451
asm,1989,81.49406
asm,1990,80.33149
atg,1975,17.88301
atg,1976,28.53894
atg,1977,26.69393
atg,1978,33.65155
atg,1979,30.58252
atg,1984,24.26862
