geo,time,en_co2_bldg_zs
ago,1971,7.40741
ago,1972,5.83333
ago,1973,6.36364
ago,1974,5.77778
ago,1975,6.12245
ago,1976,4.63918
ago,1977,6.62252
ago,1978,3.87597
ago,1979,3.93701
ago,1980,2.25564
ago,1981,2.77778
ago,1982,2.27273
ago,1983,2.58621
ago,1984,21.07623
ago,1985,18.79433
ago,1986,19.49458
ago,1987,19.64912
ago,1988,21.49533
ago,1989,20.60606
ago,1990,16.07143
ago,1991,16.70823
ago,1992,15.68123
ago,1993,12.08531
ago,1994,15.07177
ago,1995,16.8798
ago,1996,21.47971
ago,1997,21.01617
ago,1998,26.80965
ago,1999,26.37131
ago,2000,22.67819
ago,2001,23.26044
ago,2002,21.81818
ago,2003,17.70538
ago,2004,17.43243
ago,2005,16.09756
ago,2006,23.39394
ago,2007,23.85892
ago,2008,24.80948
ago,2009,25.01802
ago,2010,24.65301
ago,2011,25.5597
ago,2012,28.55354
ago,2013,31.08407
ago,2014,28.70466
alb,1971,1.29534
alb,1972,1.79775
alb,1973,2.80612
alb,1974,2.91971
alb,1975,2.76498
alb,1976,3.20513
alb,1977,3.83065
alb,1978,3.38078
alb,1979,3.28358
alb,1980,3.67107
alb,1981,4.44444
alb,1982,4.58265
alb,1983,4.35435
alb,1984,3.4626
alb,1985,2.44957
alb,1986,2.44253
alb,1987,2.34807
alb,1988,2.64993
alb,1989,3.07018
alb,1990,5.46737
alb,1991,9.44882
alb,1992,13.08411
alb,1993,8.58586
alb,1994,7.88177
alb,1995,13.51351
alb,1996,18.27957
alb,1997,23.07692
alb,1998,13.63636
alb,1999,8.21918
alb,2000,8.44156
alb,2001,8.69565
alb,2002,16.53333
alb,2003,11.51832
alb,2004,9.72569
alb,2005,9.42408
alb,2006,10.55409
alb,2007,7.40741
alb,2008,8.89488
alb,2009,9.54907
alb,2010,8.14249
alb,2011,7.48792
alb,2012,7.18391
alb,2013,8.79121
alb,2014,8.49515
are,1971,0
are,1972,0
are,1973,0
are,1974,0
are,1975,0
are,1976,0
are,1977,0
are,1978,0
are,1979,0
are,1980,0
are,1981,0
are,1982,0
are,1983,0.40502
are,1984,0.34504
are,1985,0.39304
are,1986,0.37481
are,1987,0.36183
are,1988,0.70407
are,1989,0.5965
are,1990,0.57837
are,1991,0.49028
are,1992,0.47745
are,1993,0.43631
are,1994,0.44228
are,1995,0.41643
are,1996,0.34383
are,1997,0.3392
are,1998,0.33159
are,1999,0.33495
are,2000,0.40085
are,2001,0.508
are,2002,0.12693
are,2003,0.12149
are,2004,0.12382
are,2005,0.117
are,2006,0.11302
are,2007,0.13693
are,2008,0.20481
are,2009,0.33333
are,2010,0.36244
are,2011,0.42101
are,2012,0.32372
are,2013,0.50153
are,2014,0.52443
arg,1971,11.51655
arg,1972,10.59373
arg,1973,12.75767
arg,1974,12.918
arg,1975,13.93192
arg,1976,14.32889
arg,1977,15.01075
arg,1978,14.37236
arg,1979,13.65829
arg,1980,13.89093
arg,1981,15.058
arg,1982,14.28417
arg,1983,15.63556
arg,1984,16.77579
arg,1985,16.2849
arg,1986,16.00829
arg,1987,16.28597
arg,1988,16.39298
arg,1989,15.99007
arg,1990,17.53874
arg,1991,16.23711
arg,1992,15.53908
arg,1993,15.62616
arg,1994,14.5866
arg,1995,14.45136
arg,1996,13.65967
arg,1997,12.75994
arg,1998,12.62559
arg,1999,13.28787
arg,2000,13.95349
arg,2001,14.41546
arg,2002,14.44783
arg,2003,14.18852
arg,2004,13.19866
arg,2005,13.69872
arg,2006,14.37843
arg,2007,14.61617
arg,2008,13.98811
arg,2009,14.44898
arg,2010,15.00691
arg,2011,13.79291
arg,2012,14.27879
arg,2013,15.25527
arg,2014,14.46391
arm,1990,32.10685
arm,1991,21.22824
arm,1992,17.65258
arm,1993,11.99187
arm,1994,29.47761
arm,1995,34.42136
arm,1996,10.41667
arm,1997,10.44304
arm,1998,10.36585
arm,1999,9.55631
arm,2000,9.06433
arm,2001,9.82659
arm,2002,13.40206
arm,2003,14.6789
arm,2004,18.49711
arm,2005,17.67554
arm,2006,18.07229
arm,2007,22.29167
arm,2008,22.7704
arm,2009,26.22951
arm,2010,23.95062
arm,2011,24.197
arm,2012,23.16176
arm,2013,23.66412
arm,2014,31.03448
aus,1960,1.7411
aus,1961,1.7414
aus,1962,1.63141
aus,1963,1.62957
aus,1964,1.61351
aus,1965,1.56306
aus,1966,1.432
aus,1967,1.32294
aus,1968,1.22907
aus,1969,1.37067
aus,1970,3.17729
aus,1971,3.29939
aus,1972,3.62509
aus,1973,3.37307
aus,1974,4.93827
aus,1975,5.07662
aus,1976,4.90433
aus,1977,4.7726
aus,1978,4.66796
aus,1979,4.5496
aus,1980,3.92764
aus,1981,3.60226
aus,1982,3.53784
aus,1983,3.6178
aus,1984,3.47496
aus,1985,3.37497
aus,1986,3.38118
aus,1987,3.36439
aus,1988,3.18482
aus,1989,3.09858
aus,1990,3.31883
aus,1991,3.32478
aus,1992,3.39885
aus,1993,3.48327
aus,1994,3.33164
aus,1995,3.40634
aus,1996,3.41063
aus,1997,3.35159
aus,1998,3.21186
aus,1999,3.13203
aus,2000,3.15805
aus,2001,3.17861
aus,2002,3.19189
aus,2003,3.2024
aus,2004,3.06559
aus,2005,3.05442
aus,2006,3.06082
aus,2007,3.05072
aus,2008,3.0568
aus,2009,3.16903
aus,2010,3.25255
aus,2011,3.34022
aus,2012,3.37389
aus,2013,3.46628
aus,2014,3.72144
aut,1960,23.18316
aut,1961,21.85971
aut,1962,24.31866
aut,1963,26.41714
aut,1964,23.43418
aut,1965,24.48313
aut,1966,22.86717
aut,1967,26.12493
aut,1968,28.16901
aut,1969,27.96275
aut,1970,31.81231
aut,1971,28.04527
aut,1972,27.53968
aut,1973,28.64312
aut,1974,26.72144
aut,1975,27.56669
aut,1976,27.15981
aut,1977,27.82541
aut,1978,27.82852
aut,1979,29.44544
aut,1980,28.57932
