global,time,ic_tax_prft_cp_zs
world,2005,18.71656
world,2006,17.99581
world,2007,17.40765
world,2008,17.09357
world,2009,16.42849
world,2010,15.97965
world,2011,15.77759
world,2012,15.62416
world,2013,16.1672
world,2014,16.15291
world,2015,16.05767
world,2016,16.19841
world,2017,16.22698
world,2018,16.07421
world,2019,16.01895
