geo,time,se_sec_enrr_ma
abw,1999,96.00127
abw,2000,94.93946
abw,2001,95.7395
abw,2002,97.87996
abw,2003,96.74229
abw,2004,97.26375
abw,2005,95.76503
abw,2006,97.93049
abw,2007,101.04794
abw,2008,91.41897
abw,2009,94.41884
abw,2010,93.45269
abw,2011,94.43586
abw,2012,110.20621
afg,1970,14.17277
afg,1971,16.03545
afg,1972,17.95744
afg,1973,18.63505
afg,1974,18.92496
afg,1975,19.68187
afg,1976,21.04857
afg,1977,22.11887
afg,1978,23.13186
afg,1981,30.3147
afg,1982,14.52211
afg,1984,16.77855
afg,1985,17.81379
afg,1986,15.99293
afg,1988,17.52587
afg,1991,20.37459
afg,1993,21.88371
afg,1994,32.58155
afg,1995,29.61773
afg,2001,23.60304
afg,2003,18.22733
afg,2004,28.35129
afg,2005,27.59325
afg,2006,40.82196
afg,2007,40.86763
afg,2008,52.95837
afg,2009,59.38227
afg,2010,66.89291
afg,2011,66.09835
afg,2012,68.35678
afg,2013,68.53373
afg,2014,67.09694
afg,2015,65.8758
afg,2016,65.29603
afg,2017,67.91249
afg,2018,70.05276
ago,1971,6.36066
ago,1972,6.91344
ago,1982,13.05335
ago,1983,11.66985
ago,1998,12.15488
ago,1999,12.24466
ago,2000,13.4935
ago,2001,15.56637
ago,2002,16.38222
ago,2008,24.14043
ago,2009,25.82407
ago,2010,31.33055
ago,2011,32.33523
ago,2016,61.77439
alb,1976,89.00242
alb,1978,90.74045
alb,1979,92.1776
alb,1980,95.25093
alb,1981,96.455
alb,1982,91.46954
alb,1983,84.81445
alb,1984,85.19788
alb,1985,89.32848
alb,1986,92.68635
alb,1987,91.4183
alb,1988,91.97591
alb,1989,92.12369
alb,1990,93.96477
alb,1991,94.59364
alb,1992,77.26655
alb,1993,68.5599
alb,1994,67.99666
alb,1995,68.88116
alb,1996,67.94305
alb,1997,70.23986
alb,1999,72.88942
alb,2000,72.27474
alb,2001,73.493
alb,2004,76.13671
alb,2005,79.24535
alb,2006,80.17894
alb,2007,82.50895
alb,2008,84.16939
alb,2009,84.40454
alb,2010,87.87483
alb,2011,90.16002
alb,2012,93.36662
alb,2013,98.15081
alb,2014,100.36199
alb,2015,99.47831
alb,2016,97.06753
alb,2017,95.76336
alb,2018,95.19122
alb,2019,94.58517
alb,2020,93.36831
and,1971,15.27778
and,1972,13.41991
and,1973,14.01475
and,1974,14.10702
and,1975,24.42589
and,1976,23.34864
and,1983,46.99887
are,1973,22.79714
are,1974,17.78908
are,1975,20.93576
are,1976,31.44927
are,1977,31.54162
are,1978,31.69754
are,1979,37.42975
are,1980,45.48929
are,1981,55.07857
are,1982,56.83372
are,1983,60.67589
are,1984,65.9758
are,1985,68.47646
are,1986,68.98901
are,1987,57.76993
are,1988,53.97491
are,1989,53.74967
are,1990,55.89851
are,1991,60.70388
are,1992,63.49744
are,1993,67.97635
are,1994,74.55598
are,1995,79.6336
are,1997,75.29597
are,1998,74.74735
are,2016,97.33269
are,2017,109.28052
are,2019,102.82505
are,2020,102.74834
arg,1970,41.97435
arg,1971,43.3274
arg,1972,45.57003
arg,1973,47.74415
arg,1974,50.42842
arg,1975,51.67322
arg,1976,52.8999
arg,1977,52.37835
arg,1978,52.01879
arg,1979,51.96324
arg,1980,52.57218
arg,1981,53.58768
arg,1982,56.37478
arg,1983,58.03904
arg,1984,62.55983
arg,1985,66.88609
arg,1986,67.33873
arg,1987,67.80544
arg,1988,68.11915
arg,1996,75.24929
arg,1997,72.38459
arg,1998,79.42217
arg,1999,89.90618
arg,2000,93.62153
arg,2001,94.40511
arg,2002,93.48537
arg,2003,92.18127
arg,2004,91.04692
arg,2005,88.82039
arg,2006,87.36027
arg,2007,87.02944
arg,2008,87.90687
arg,2009,91.4523
arg,2010,94.99504
arg,2011,96.61754
arg,2012,99.12242
arg,2013,101.233
arg,2014,102.59281
arg,2015,103.84397
arg,2016,106.08818
arg,2017,106.51183
arg,2018,105.4239
arg,2019,106.12972
arm,2000,87.84934
arm,2007,96.2131
arm,2008,95.35155
arm,2009,101.23321
arm,2010,105.62041
arm,2011,92.98737
arm,2013,84.31731
arm,2014,83.66435
arm,2015,83.9992
arm,2018,81.72561
arm,2019,84.38041
arm,2020,85.4816
asm,1989,94.33045
asm,1990,93.12142
asm,1991,91.77403
asm,1992,93.96841
atg,1972,93.3069
atg,1974,83.09824
atg,1975,74.84165
atg,1977,86.1483
atg,1978,87.44715
atg,1992,96.4191
atg,2000,82.9646
atg,2007,107.49369
atg,2008,118.76209
atg,2009,113.49293
