geo,time,sp_pop_0014_ma_in
abw,1960,11871
abw,1961,12026
abw,1962,12100
abw,1963,12103
abw,1964,12050
abw,1965,11957
abw,1966,11881
abw,1967,11746
abw,1968,11575
abw,1969,11400
abw,1970,11228
abw,1971,10941
abw,1972,10694
abw,1973,10441
abw,1974,10140
abw,1975,9770
abw,1976,9537
abw,1977,9211
abw,1978,8824
abw,1979,8454
abw,1980,8161
abw,1981,8019
abw,1982,7957
abw,1983,7961
abw,1984,7970
abw,1985,7931
abw,1986,8001
abw,1987,7968
abw,1988,7881
abw,1989,7863
abw,1990,8016
abw,1991,8160
abw,1992,8476
abw,1993,8889
abw,1994,9269
abw,1995,9527
abw,1996,9914
abw,1997,10181
abw,1998,10361
abw,1999,10516
abw,2000,10676
abw,2001,10751
abw,2002,10821
abw,2003,10863
abw,2004,10847
abw,2005,10782
abw,2006,10795
abw,2007,10804
abw,2008,10815
abw,2009,10819
abw,2010,10816
abw,2011,10669
abw,2012,10494
abw,2013,10293
abw,2014,10100
abw,2015,9940
abw,2016,9751
abw,2017,9646
abw,2018,9592
abw,2019,9535
abw,2020,9444
afg,1960,1902313
afg,1961,1954538
afg,1962,2006726
afg,1963,2059858
afg,1964,2114429
afg,1965,2170492
afg,1966,2238496
afg,1967,2305178
afg,1968,2372337
afg,1969,2442186
afg,1970,2515913
afg,1971,2604219
afg,1972,2692232
afg,1973,2777921
afg,1974,2857731
afg,1975,2927433
afg,1976,3005221
afg,1977,3075885
afg,1978,3130894
afg,1979,3157837
afg,1980,3147641
afg,1981,3126884
afg,1982,3079367
afg,1983,3016631
afg,1984,2956611
afg,1985,2916223
afg,1986,2876265
afg,1987,2844943
afg,1988,2847594
afg,1989,2917813
afg,1990,3081558
afg,1991,3304777
afg,1992,3605319
afg,1993,3944623
afg,1994,4259146
afg,1995,4497186
afg,1996,4700712
afg,1997,4841218
afg,1998,4943489
afg,1999,5056016
afg,2000,5218183
afg,2001,5411610
afg,2002,5640277
afg,2003,5885568
afg,2004,6114720
afg,2005,6301959
afg,2006,6511422
afg,2007,6688306
afg,2008,6846070
afg,2009,7008078
afg,2010,7192151
afg,2011,7341865
afg,2012,7500396
afg,2013,7657099
afg,2014,7796013
afg,2015,7905639
afg,2016,8024679
afg,2017,8122731
afg,2018,8203122
afg,2019,8271660
afg,2020,8333700
ago,1960,1178884
ago,1961,1210960
ago,1962,1240881
ago,1963,1264730
ago,1964,1279107
ago,1965,1284735
ago,1966,1297018
ago,1967,1301318
ago,1968,1309478
ago,1969,1333758
ago,1970,1378573
ago,1971,1411810
ago,1972,1465224
ago,1973,1529582
ago,1974,1591468
ago,1975,1643983
ago,1976,1709971
ago,1977,1760969
ago,1978,1805108
ago,1979,1855307
ago,1980,1918190
ago,1981,1991047
ago,1982,2076374
ago,1983,2169555
ago,1984,2262134
ago,1985,2349707
ago,1986,2446366
ago,1987,2538265
ago,1988,2626820
ago,1989,2715103
ago,1990,2804453
ago,1991,2905821
ago,1992,3005811
ago,1993,3104966
ago,1994,3203458
