geo,time,sh_dth_injr_zs
afg,2000,8.17559
afg,2010,11.03092
afg,2015,16.38996
afg,2019,17.28846
ago,2000,6.95205
ago,2010,7.54861
ago,2015,8.48618
ago,2019,9.08829
alb,2000,7.7483
alb,2010,6.14152
alb,2015,4.12681
alb,2019,3.036
are,2000,20.84281
are,2010,25.84968
are,2015,21.33353
are,2019,15.80869
arg,2000,6.99253
arg,2010,5.90791
arg,2015,6.21245
arg,2019,5.70904
arm,2000,5.73462
arm,2010,4.75484
arm,2015,4.41769
arm,2019,4.67775
atg,2000,6.64654
atg,2010,6.80746
atg,2015,5.20889
atg,2019,5.3728
aus,2000,5.86113
aus,2010,5.58862
aus,2015,5.85702
aus,2019,5.94459
aut,2000,5.6705
aut,2010,5.43325
aut,2015,5.37756
aut,2019,5.44531
aze,2000,5.18282
aze,2010,4.80118
aze,2015,4.37324
aze,2019,3.76364
bdi,2000,17.29073
bdi,2010,9.74186
bdi,2015,11.92503
bdi,2019,12.0613
bel,2000,6.49793
bel,2010,6.22277
bel,2015,6.20056
bel,2019,6.12096
ben,2000,7.22864
ben,2010,8.40497
ben,2015,8.99444
ben,2019,9.19147
bfa,2000,5.73058
bfa,2010,7.88334
bfa,2015,9.92549
bfa,2019,11.12997
bgd,2000,6.64089
bgd,2010,7.5904
bgd,2015,7.48849
bgd,2019,7.13149
bgr,2000,3.93881
bgr,2010,2.73246
bgr,2015,2.70872
bgr,2019,2.47492
bhr,2000,11.91993
bhr,2010,10.50582
bhr,2015,9.96067
bhr,2019,8.89232
bhs,2000,10.77089
bhs,2010,11.98064
bhs,2015,12.45353
bhs,2019,13.85577
bih,2000,6.26656
bih,2010,4.53122
bih,2015,4.19807
bih,2019,3.76659
blr,2000,10.28602
blr,2010,8.72222
blr,2015,6.40338
blr,2019,5.71451
blz,2000,18.37274
blz,2010,18.66335
blz,2015,18.8572
blz,2019,18.84553
bol,2000,8.53088
bol,2010,9.36408
bol,2015,8.87878
bol,2019,8.70178
bra,2000,12.851
bra,2010,13.15749
bra,2015,12.45394
bra,2019,11.55366
brb,2000,3.42378
brb,2010,4.90213
brb,2015,4.84171
brb,2019,4.30923
brn,2000,10.37206
brn,2010,6.46352
brn,2015,5.81397
brn,2019,4.98999
btn,2000,12.20212
btn,2010,9.12144
btn,2015,9.08779
btn,2019,9.04574
bwa,2000,7.42785
bwa,2010,9.42622
bwa,2015,9.53532
bwa,2019,9.38522
caf,2000,6.15031
caf,2010,7.29433
caf,2015,9.06562
caf,2019,9.02071
can,2000,5.68095
can,2010,6.04906
can,2015,5.7782
can,2019,5.41911
che,2000,6.14507
che,2010,5.67378
che,2015,5.6968
che,2019,5.69827
chl,2000,10.0778
chl,2010,8.38281
chl,2015,7.80546
chl,2019,7.76326
chn,2000,9.50515
chn,2010,8.45468
chn,2015,7.52589
chn,2019,6.81721
civ,2000,6.48466
civ,2010,8.18791
civ,2015,9.14746
civ,2019,10.03468
cmr,2000,6.7307
cmr,2010,8.30511
cmr,2015,9.62902
cmr,2019,10.45752
cod,2000,6.64006
cod,2010,7.96675
cod,2015,8.77127
cod,2019,9.68515
cog,2000,7.82537
cog,2010,8.69584
cog,2015,8.5249
cog,2019,9.45928
col,2000,27.79498
col,2010,20.64326
col,2015,16.22133
col,2019,14.01451
com,2000,9.04589
com,2010,10.22139
com,2015,10.77298
com,2019,11.24678
cpv,2000,12.87194
cpv,2010,15.14792
cpv,2015,16.10559
cpv,2019,14.05037
cri,2000,12.14192
cri,2010,11.8361
cri,2015,11.59661
cri,2019,10.87851
cub,2000,9.91828
cub,2010,7.74989
cub,2015,7.89808
cub,2019,7.47764
cyp,2000,6.37649
cyp,2010,5.72467
cyp,2015,4.81593
cyp,2019,5.34663
cze,2000,6.56205
cze,2010,5.51108
cze,2015,4.98469
cze,2019,4.77548
deu,2000,4.11736
deu,2010,3.86786
deu,2015,3.94693
deu,2019,4.64168
dji,2000,8.2681
dji,2010,8.90104
dji,2015,9.27471
dji,2019,10.81155
dnk,2000,5.62113
dnk,2010,3.56556
dnk,2015,3.49101
dnk,2019,3.51602
dom,2000,13.60124
dom,2010,13.8255
dom,2015,11.82614
dom,2019,15.48989
dza,2000,12.32792
dza,2010,9.1759
dza,2015,8.26364
dza,2019,7.66004
ecu,2000,14.48963
ecu,2010,15.51291
ecu,2015,12.76847
ecu,2019,11.45971
egy,2000,5.01745
egy,2010,5.24199
egy,2015,4.98903
egy,2019,4.76371
eri,2000,11.98642
eri,2010,10.65732
eri,2015,11.21307
eri,2019,11.87731
esp,2000,4.47984
esp,2010,3.60993
esp,2015,3.41633
esp,2019,3.6221
est,2000,9.59249
est,2010,5.94473
est,2015,4.38723
est,2019,4.22251
eth,2000,10.85095
eth,2010,9.70056
eth,2015,10.76875
eth,2019,12.08698
fin,2000,7.36967
fin,2010,6.61701
fin,2015,5.46862
fin,2019,5.64301
fji,2000,7.23772
