geo,time,hd_hci_ovrl_lb_ma
afg,2017,0.378
afg,2018,0.38912
afg,2020,0.39479
ago,2017,0.326
ago,2018,0.32979
ago,2020,0.33141
alb,2010,0.50961
alb,2017,0.589
alb,2018,0.58283
alb,2020,0.59543
are,2010,0.58448
are,2018,0.65075
are,2020,0.64789
arg,2010,0.55413
arg,2017,0.578
arg,2018,0.59378
arg,2020,0.5782
arm,2017,0.536
arm,2018,0.54642
arm,2020,0.54423
atg,2018,0.54612
atg,2020,0.55367
aus,2010,0.73091
aus,2017,0.768
aus,2018,0.75451
aus,2020,0.74582
aut,2010,0.71262
aut,2017,0.773
aut,2018,0.74642
aut,2020,0.72029
aze,2010,0.47258
aze,2018,0.59249
aze,2020,0.54992
bdi,2010,0.32396
bdi,2017,0.351
bdi,2018,0.35085
bdi,2020,0.34665
bel,2010,0.73033
bel,2017,0.735
bel,2018,0.74269
bel,2020,0.7384
ben,2010,0.34895
ben,2017,0.377
ben,2018,0.36942
ben,2020,0.37217
bfa,2010,0.30994
bfa,2017,0.335
bfa,2018,0.35421
bfa,2020,0.35717
bgd,2017,0.454
bgd,2018,0.437
bgd,2020,0.44151
bgr,2010,0.5945
bgr,2017,0.622
bgr,2018,0.63819
bgr,2020,0.58365
bhr,2010,0.57163
bhr,2017,0.624
bhr,2018,0.6272
bhr,2020,0.61401
bih,2017,0.596
bih,2018,0.60054
bih,2020,0.55757
blr,2020,0.6535
brn,2020,0.59968
btn,2020,0.44255
bwa,2010,0.3164
bwa,2017,0.363
bwa,2018,0.35432
bwa,2020,0.35556
can,2010,0.75711
can,2017,0.78
can,2018,0.78015
can,2020,0.77567
che,2010,0.75016
che,2017,0.74
che,2018,0.74967
che,2020,0.73712
chl,2010,0.60246
chl,2017,0.624
chl,2018,0.63861
chl,2020,0.62295
chn,2017,0.648
chn,2018,0.62646
chn,2020,0.63263
civ,2010,0.29381
civ,2017,0.303
civ,2018,0.35337
civ,2020,0.36116
cmr,2010,0.36435
cmr,2017,0.369
cmr,2018,0.37103
cmr,2020,0.37416
cod,2017,0.344
cod,2018,0.3382
cod,2020,0.33892
cog,2010,0.38929
cog,2017,0.361
cog,2018,0.3814
cog,2020,0.38158
col,2010,0.56442
col,2017,0.539
col,2018,0.57103
col,2020,0.57864
com,2017,0.359
com,2018,0.34666
com,2020,0.34663
cri,2010,0.57793
cri,2017,0.585
cri,2018,0.58175
cri,2020,0.60501
cyp,2010,0.65565
cyp,2017,0.733
cyp,2018,0.73497
cyp,2020,0.73623
cze,2010,0.69091
cze,2017,0.752
cze,2018,0.73678
cze,2020,0.72013
deu,2010,0.73494
deu,2017,0.769
deu,2018,0.73618
deu,2020,0.72133
dma,2018,0.51075
dma,2020,0.50048
dnk,2010,0.72954
dnk,2017,0.745
dnk,2018,0.74552
dnk,2020,0.72727
dom,2017,0.459
dom,2018,0.47169
dom,2020,0.46721
dza,2010,0.51303
dza,2017,0.495
dza,2018,0.50628
dza,2020,0.50736
ecu,2010,0.50229
ecu,2017,0.576
ecu,2018,0.56775
ecu,2020,0.56536
egy,2010,0.45828
egy,2017,0.451
egy,2018,0.45817
egy,2020,0.45923
esp,2010,0.68528
esp,2017,0.72
esp,2018,0.71335
esp,2020,0.70971
est,2010,0.67343
est,2017,0.695
est,2018,0.72522
est,2020,0.72859
eth,2017,0.368
eth,2018,0.37091
eth,2020,0.36888
fin,2010,0.77572
fin,2017,0.772
fin,2018,0.77523
fin,2020,0.75279
fji,2020,0.47331
fra,2010,0.72546
fra,2018,0.72824
fra,2020,0.73425
fsm,2018,0.41589
fsm,2020,0.4509
gab,2017,0.409
gab,2018,0.41453
gab,2020,0.415
gbr,2010,0.74686
gbr,2017,0.764
gbr,2018,0.75834
gbr,2020,0.76496
geo,2010,0.48662
geo,2017,0.524
geo,2018,0.55594
geo,2020,0.52116
gha,2017,0.416
gha,2018,0.42301
gha,2020,0.42797
gin,2017,0.352
gin,2018,0.36247
gin,2020,0.36203
gmb,2010,0.34739
gmb,2018,0.3622
gmb,2020,0.37754
grc,2010,0.67951
grc,2017,0.643
grc,2018,0.66012
grc,2020,0.65659
grd,2018,0.49781
grd,2020,0.52243
gtm,2010,0.42811
gtm,2017,0.433
gtm,2018,0.43588
gtm,2020,0.43946
guy,2017,0.453
guy,2018,0.45566
guy,2020,0.45614
hkg,2010,0.74929
hkg,2017,0.796
hkg,2018,0.7837
hkg,2020,0.76773
hnd,2017,0.458
hnd,2018,0.45386
hnd,2020,0.45443
hrv,2010,0.64704
hrv,2017,0.683
hrv,2018,0.69605
hrv,2020,0.67045
hti,2017,0.408
hti,2018,0.41208
hti,2020,0.41286
hun,2010,0.6464
hun,2017,0.659
hun,2018,0.66799
hun,2020,0.64789
idn,2010,0.4721
idn,2017,0.503
idn,2018,0.51167
idn,2020,0.5122
ind,2017,0.421
ind,2018,0.47397
ind,2020,0.4823
irl,2010,0.7321
irl,2018,0.79243
irl,2020,0.76898
irn,2010,0.54215
irn,2017,0.542
irn,2018,0.56099
irn,2020,0.562
irq,2017,0.371
irq,2018,0.38098
irq,2020,0.38778
isl,2010,0.73227
isl,2017,0.712
isl,2018,0.71507
isl,2020,0.71546
isr,2010,0.68365
isr,2018,0.73109
isr,2020,0.68874
ita,2010,0.7275
ita,2017,0.752
ita,2018,0.73641
ita,2020,0.70804
jam,2017,0.477
jam,2018,0.49238
jam,2020,0.48979
jor,2010,0.51786
