geo,time,sh_svr_wast_ma_zs
afg,2004,2.9
afg,2013,4.5
afg,2018,1.7
ago,1996,1.8
ago,2007,4.3
ago,2015,1.3
alb,2000,6.9
alb,2005,3.3
alb,2009,7.5
alb,2017,0.4
arg,2005,0.2
arm,1998,1.3
arm,2000,1
arm,2005,2.9
arm,2010,2.4
arm,2016,1.6
aze,2000,4.1
aze,2006,3.2
aze,2011,3.1
aze,2013,1.4
bdi,2000,2.2
bdi,2010,1.3
bdi,2016,1.2
bdi,2018,1
bdi,2019,1.2
bel,2014,0
ben,2001,3.8
ben,2008,1.4
ben,2014,1
ben,2018,1.3
bfa,1993,6.6
bfa,1999,6.8
bfa,2009,3
bfa,2010,6.4
bfa,2011,2.5
bfa,2012,2.3
bfa,2013,1.9
bfa,2014,1.9
bfa,2015,2.4
bfa,2016,1.7
bfa,2017,2.1
bfa,2018,2.1
bfa,2019,1.3
bgd,1997,7.8
bgd,2000,2.4
bgd,2004,3.7
bgd,2007,3.3
bgd,2011,4.3
bgd,2013,5.3
bgd,2014,3.9
bgd,2018,1.6
bgd,2019,2.5
bgr,2007,1.1
bgr,2014,1.2
bih,2000,3.7
bih,2006,1.9
bih,2012,1.8
blr,2005,0.6
blz,2006,1.5
blz,2011,0.9
blz,2015,0.6
bol,1998,0.8
bol,2003,0.7
bol,2008,0.6
bol,2012,0.6
bol,2016,1.1
bra,1989,1.2
bra,1996,0.9
bra,2007,0.3
brb,2012,2.2
brn,2009,0.4
btn,1999,0.9
btn,2008,1.7
btn,2010,2.2
bwa,2000,2.9
bwa,2007,2.5
caf,2000,5.5
caf,2006,5.2
caf,2010,2.2
caf,2012,2
caf,2014,1.6
caf,2018,1.9
caf,2019,1.2
chn,1990,1.4
chn,1992,1.4
chn,1995,2.2
chn,1998,0.6
chn,2000,0.5
chn,2002,1
chn,2005,1
chn,2010,0.8
civ,1986,3.3
civ,1998,1.9
civ,2007,6.5
civ,2012,2.3
civ,2016,1.5
cmr,1991,0.9
cmr,2004,2.5
cmr,2006,3.2
