global,time,eg_elc_nucl_zs
world,1971,2.00393
world,1972,2.51893
world,1973,3.11957
world,1974,3.95645
world,1975,5.3394
world,1976,5.75485
world,1977,6.78174
world,1978,7.5599
world,1979,7.45576
world,1980,7.8103
world,1981,9.03965
world,1982,9.64136
world,1983,10.49596
world,1984,11.95945
world,1985,13.65464
world,1986,14.42641
world,1987,14.80579
world,1988,15.29351
world,1989,14.90436
world,1990,16.92028
world,1991,17.3079
world,1992,17.30394
world,1993,17.43042
world,1994,17.41537
world,1995,17.51159
world,1996,17.59344
world,1997,17.05653
world,1998,16.98501
world,1999,17.09444
world,2000,16.713
world,2001,16.88743
world,2002,16.39339
world,2003,15.66492
world,2004,15.56045
world,2005,15.07976
world,2006,14.64082
world,2007,13.67004
world,2008,13.48281
world,2009,13.35159
world,2010,12.7941
world,2011,11.61067
world,2012,10.81755
world,2013,10.58607
world,2014,10.60738
world,2015,8.11798
