geo,time,hd_hci_ovrl
afg,2017,0.389
afg,2018,0.39349
afg,2020,0.40028
ago,2017,0.361
ago,2018,0.36019
ago,2020,0.36241
alb,2010,0.5436
alb,2017,0.621
alb,2018,0.62867
alb,2020,0.63425
are,2010,0.62127
are,2017,0.659
are,2018,0.676
are,2020,0.67301
arg,2010,0.58856
arg,2017,0.611
arg,2018,0.61737
arg,2020,0.60214
arm,2017,0.572
arm,2018,0.58173
arm,2020,0.579
atg,2018,0.57822
atg,2020,0.5957
aus,2010,0.75484
aus,2017,0.803
aus,2018,0.78083
aus,2020,0.77024
aut,2010,0.73778
aut,2017,0.793
aut,2018,0.76867
aut,2020,0.74674
aze,2010,0.49746
aze,2017,0.597
aze,2018,0.62931
aze,2020,0.57777
bdi,2010,0.34288
bdi,2017,0.38
bdi,2018,0.38957
bdi,2020,0.38617
bel,2010,0.75273
bel,2017,0.757
bel,2018,0.76276
bel,2020,0.76042
ben,2010,0.36558
ben,2017,0.406
ben,2018,0.39695
ben,2020,0.40029
bfa,2010,0.31972
bfa,2017,0.369
bfa,2018,0.37828
bfa,2020,0.38369
bgd,2017,0.479
bgd,2018,0.45855
bgd,2020,0.46404
bgr,2010,0.63662
bgr,2017,0.676
bgr,2018,0.67028
bgr,2020,0.6139
bhr,2010,0.60491
bhr,2017,0.668
bhr,2018,0.6639
bhr,2020,0.65247
bih,2017,0.618
bih,2018,0.61927
bih,2020,0.57968
blr,2020,0.70008
bra,2010,0.53295
bra,2017,0.56
bra,2018,0.54572
bra,2020,0.5515
brn,2020,0.62639
btn,2020,0.4753
bwa,2010,0.36771
bwa,2017,0.424
bwa,2018,0.41252
bwa,2020,0.41403
caf,2020,0.29163
can,2010,0.7741
can,2017,0.799
can,2018,0.80009
can,2020,0.79752
che,2010,0.76814
che,2017,0.767
che,2018,0.76611
che,2020,0.75612
chl,2010,0.62636
chl,2017,0.674
chl,2018,0.66527
chl,2020,0.6516
chn,2017,0.673
chn,2018,0.6471
chn,2020,0.6531
civ,2010,0.30384
civ,2017,0.353
civ,2018,0.36997
civ,2020,0.37989
cmr,2010,0.37978
cmr,2017,0.394
cmr,2018,0.39332
cmr,2020,0.3974
cod,2017,0.369
cod,2018,0.36453
cod,2020,0.36637
cog,2010,0.40927
cog,2017,0.42
cog,2018,0.41784
cog,2020,0.41927
