global,time,sl_tlf_acti_fe_zs
world,1990,56.03195
world,1991,56.02108
world,1992,56.04283
world,1993,55.89992
world,1994,56.06841
world,1995,55.99431
world,1996,55.91053
world,1997,55.86677
world,1998,55.77532
world,1999,55.82336
world,2000,55.74639
world,2001,55.49337
world,2002,55.3287
world,2003,55.21836
world,2004,55.11578
world,2005,55.0421
world,2006,54.70492
world,2007,54.51097
world,2008,54.16532
world,2009,53.9026
world,2010,53.49475
world,2011,53.1885
world,2012,52.94315
world,2013,52.76342
world,2014,52.61416
world,2015,52.58316
world,2016,52.55546
world,2017,52.5867
world,2018,52.5721
world,2019,52.6378
