geo,time,ne_imp_gnfs_kd
abw,2015,2162351876.27325
ago,2000,5515084821.8643
ago,2001,14139174160.7319
ago,2002,29506251261.5555
ago,2003,32365407008.8002
ago,2004,34673060526.8548
ago,2005,38816491258.2274
ago,2006,41281338452.2603
ago,2007,44418720177.17049
ago,2008,52489601632.4445
ago,2009,52240572797.0489
ago,2010,46108449986.0982
ago,2011,51157344535.99809
ago,2012,51111580145.0405
ago,2013,53349577142.8115
ago,2014,50597548667.0016
ago,2015,38499512246.7219
ago,2016,28975155992.2979
ago,2017,29398187273.0747
ago,2018,24427059864.2544
ago,2019,24422645335.3632
ago,2020,18687988367.0812
alb,1996,1227048505.47614
alb,1997,1120407419.19345
alb,1998,1333014464.87244
alb,1999,1538629121.6977
alb,2000,2300872129.7111
alb,2001,2651107711.46209
alb,2002,2911350528.50968
alb,2003,3060633195.42537
alb,2004,3312101590.71962
alb,2005,3848503241.66053
alb,2006,4183558823.22671
alb,2007,4994570118.32032
alb,2008,5175492730.60324
alb,2009,5116479392.16449
alb,2010,5087164545.17695
alb,2011,5401870344.80725
alb,2012,5040261182.90304
alb,2013,5007820581.75114
alb,2014,5221093227.56102
alb,2015,5070976018.90098
alb,2016,5421893718.48744
alb,2017,5874936823.41274
alb,2018,6015756951.17272
alb,2019,6153496253.89482
alb,2020,4929187052.54492
are,2001,72781954967.15849
are,2002,82198726792.40511
are,2003,95341250345.2084
are,2004,123693773080.91299
are,2005,142166998995.28
are,2006,168034699742.564
are,2007,225940310475.061
are,2008,274287267411.21301
are,2009,231349528804.57697
are,2010,184192813904.44501
are,2011,219203327873.05399
are,2012,237976452445.927
are,2013,257076830927.82599
are,2014,282436925002.86798
are,2015,266276378488.76801
are,2016,273340750431.564
are,2017,281412208802.16498
are,2018,312187483405.46503
are,2019,323272501610.70599
arg,1960,5781578754.61813
arg,1961,6832490129.87028
arg,1962,6832490129.87028
arg,1963,5255319314.10564
arg,1964,6307034461.83407
arg,1965,6307034461.83407
arg,1966,5781586316.30896
arg,1967,5781586316.30896
arg,1968,6307034461.83407
arg,1969,7883389281.04185
