geo,time,ic_bus_nreg
sgp,2020,42217
sle,2006,333
sle,2007,375
sle,2008,555
sle,2009,688
sle,2010,905
sle,2011,831
sle,2012,1069
sle,2013,1046
sle,2014,682
sle,2015,986
sle,2016,1082
sle,2017,1233
sle,2018,1980
slv,2006,1873
slv,2007,2030
slv,2008,1828
slv,2009,1772
slv,2010,1858
slv,2011,1781
slv,2012,1856
slv,2013,1989
slv,2014,2082
slv,2015,2158
slv,2016,2218
slv,2017,2149
slv,2018,2361
slv,2019,2617
slv,2020,1771
srb,2006,11021
srb,2007,11337
srb,2008,10958
srb,2009,9814
srb,2010,9333
srb,2011,8319
srb,2012,8505
srb,2013,8558
srb,2014,8081
srb,2015,7929
srb,2016,8288
srb,2017,8671
srb,2018,8671
srb,2019,9034
srb,2020,9030
ssd,2006,333
ssd,2007,1176
ssd,2008,3221
ssd,2009,2505
ssd,2010,937
ssd,2011,4459
ssd,2012,4430
ssd,2013,3627
ssd,2014,1961
ssd,2015,759
ssd,2016,1765
stp,2013,292
stp,2014,316
stp,2015,315
stp,2016,360
stp,2017,298
stp,2018,266
stp,2019,264
stp,2020,268
sur,2006,114
sur,2007,109
sur,2008,169
sur,2009,142
sur,2010,214
sur,2011,400
sur,2012,583
sur,2013,592
sur,2014,495
sur,2015,412
sur,2016,523
sur,2017,860
sur,2018,890
sur,2019,946
sur,2020,892
svk,2006,13499
svk,2007,16004
svk,2008,17603
svk,2009,15805
svk,2010,17519
svk,2011,19003
svk,2012,19950
svk,2013,26749
svk,2014,12884
svk,2015,12445
svk,2016,18072
svk,2017,19813
svk,2018,19723
svk,2019,20566
svk,2020,18969
svn,2006,3892
svn,2007,4957
svn,2008,6091
svn,2009,5837
svn,2010,5441
svn,2011,5754
svn,2012,6177
svn,2013,6107
svn,2014,6243
svn,2015,5478
svn,2016,4239
svn,2017,4512
svn,2018,4118
svn,2019,3911
svn,2020,3265
swe,2006,23894
swe,2007,27994
swe,2008,27554
swe,2009,24350
swe,2010,34709
swe,2011,43964
swe,2012,39262
swe,2013,39137
swe,2014,42068
swe,2015,45568
swe,2016,49751
swe,2017,48543
swe,2018,45590
swe,2019,46377
swe,2020,57682
swz,2006,2068
swz,2007,1642
swz,2008,1549
swz,2009,1613
swz,2010,1559
swz,2011,1454
swz,2012,1587
swz,2013,1946
swz,2014,2402
swz,2015,2380
swz,2016,2472
swz,2017,2213
swz,2018,2626
swz,2019,2871
swz,2020,2961
syc,2006,113
syc,2007,369
syc,2008,384
syc,2009,143
syc,2010,127
syc,2011,115
syc,2012,165
syc,2013,124
syc,2014,111
syc,2015,142
syc,2016,111
syc,2017,102
syc,2018,167
syc,2019,157
syc,2020,109
tcd,2012,805
tcd,2013,904
tcd,2014,927
tcd,2015,768
tcd,2016,702
tcd,2017,780
tcd,2018,878
tgo,2009,515
tgo,2010,560
tgo,2011,615
tgo,2012,723
tgo,2013,737
tgo,2014,1082
tgo,2015,1704
tgo,2016,1660
tgo,2017,1767
tgo,2018,2587
tgo,2019,3393
tgo,2020,4410
tha,2006,30119
tha,2007,25156
tha,2008,27655
tha,2009,27520
tha,2010,31707
tha,2011,33704
tha,2012,40900
tha,2013,44482
tha,2014,43589
tha,2015,44809
tha,2016,48907
tha,2017,55525
tha,2018,72109
tha,2019,71485
tha,2020,63340
tjk,2006,878
tjk,2007,885
tjk,2008,1080
tjk,2009,1855
tjk,2010,2178
tjk,2011,1242
tjk,2012,1272
tjk,2013,5555
tjk,2014,1514
tjk,2015,1218
tjk,2016,984
tjk,2017,793
tjk,2018,831
tls,2008,409
tls,2009,1170
tls,2010,4445
tls,2011,2212
tls,2012,1686
tls,2013,3571
tls,2014,2889
ton,2006,107
ton,2007,144
ton,2008,103
ton,2009,105
ton,2010,139
ton,2011,116
ton,2012,115
ton,2013,112
ton,2014,65
ton,2015,71
ton,2016,49
ton,2017,27
ton,2018,32
ton,2019,42
ton,2020,45
tto,2006,3421
tto,2007,3520
tto,2008,3470
tto,2009,2693
tto,2010,3372
tto,2011,3825
tto,2012,3446
tto,2013,4334
tto,2014,4682
tto,2015,5165
tto,2016,4341
tto,2017,3877
tto,2018,4115
tto,2019,4511
tto,2020,4344
tun,2006,6368
tun,2007,8997
tun,2008,8297
tun,2009,9138
tun,2010,11317
tun,2011,11307
tun,2012,12556
tun,2013,12691
tun,2014,11973
tun,2015,11661
tun,2016,12450
tun,2017,11647
tun,2018,13134
tun,2019,15715
tur,2014,53375
tur,2015,65324
tur,2016,62674
tur,2017,71468
tur,2018,83397
tur,2019,82762
tur,2020,100409
tza,2006,3745
tza,2007,4234
tza,2008,5099
tza,2009,5020
tza,2010,6800
tza,2011,7606
tza,2012,8126
tza,2013,8662
tza,2014,8768
tza,2015,8890
tza,2016,8326
tza,2017,6504
tza,2018,5276
uga,2006,7104
uga,2007,7479
uga,2008,8376
uga,2009,9486
uga,2010,10490
uga,2011,14661
uga,2012,16686
uga,2013,15409
uga,2014,16757
uga,2015,18387
uga,2016,18050
uga,2017,17423
uga,2018,18862
ukr,2006,30934
ukr,2007,38141
ukr,2008,31385
ukr,2009,21567
ukr,2010,31450
ukr,2011,34468
ukr,2012,29619
ukr,2013,35203
ukr,2014,33406
ukr,2015,38088
ukr,2016,48138
ukr,2017,51349
ury,2006,4123
ury,2007,4731
ury,2008,4393
ury,2009,3210
ury,2010,4433
ury,2011,5002
ury,2012,7888
ury,2013,6106
ury,2014,6282
ury,2015,4592
ury,2016,3935
ury,2017,4069
ury,2018,3369
ury,2019,3364
ury,2020,5139
uzb,2006,8994
uzb,2007,9677
uzb,2008,9753
uzb,2009,13780
uzb,2010,15097
uzb,2011,16622
uzb,2012,13261
uzb,2013,17346
uzb,2014,17469
uzb,2015,18955
uzb,2016,21893
uzb,2017,26186
uzb,2018,35801
uzb,2019,60814
uzb,2020,61677
vct,2006,159
vct,2007,210
vct,2008,167
vct,2009,131
vct,2010,139
vct,2011,134
vct,2012,127
vct,2013,133
vct,2014,125
vct,2015,119
vct,2016,118
vct,2017,175
vct,2018,414
vct,2019,284
vct,2020,323
vnm,2011,54756
vnm,2012,51382
vnm,2013,56370
vnm,2014,56928
vnm,2015,73817
vnm,2016,87346
vnm,2017,102447
vnm,2018,106931
vnm,2019,111338
vnm,2020,111477
vut,2006,53
vut,2007,72
vut,2008,66
vut,2009,23
vut,2010,87
vut,2011,74
vut,2012,70
vut,2013,54
vut,2014,88
vut,2015,83
vut,2016,130
vut,2017,168
vut,2018,258
wsm,2006,44
wsm,2007,37
wsm,2008,56
wsm,2009,81
wsm,2010,94
wsm,2011,100
wsm,2012,88
wsm,2013,95
wsm,2014,117
wsm,2015,129
wsm,2016,110
wsm,2017,138
wsm,2018,126
wsm,2019,125
wsm,2020,82
zaf,2006,306082
zaf,2007,326303
zaf,2008,287704
zaf,2009,279397
zaf,2010,206826
zaf,2011,180877
zaf,2012,220910
zaf,2013,239596
zaf,2014,235602
zaf,2015,315677
zaf,2016,376727
zaf,2019,409536
zaf,2020,486900
zmb,2006,3715
zmb,2007,5541
zmb,2008,6026
zmb,2009,5172
zmb,2010,6355
zmb,2011,7774
zmb,2012,8849
zmb,2013,9403
zmb,2014,9402
zmb,2015,9137
zmb,2016,8874
zmb,2017,9399
zmb,2018,10239
zmb,2019,9606
zmb,2020,10640
zwe,2011,8541
zwe,2012,9491
zwe,2013,9782
zwe,2014,9465
zwe,2015,9055
zwe,2016,8124
zwe,2017,9518
zwe,2018,16810
zwe,2019,25028
zwe,2020,20273
