geo,time,ic_bus_nreg
chn,2018,228559
chn,2019,211960
chn,2020,232064
civ,2013,1342
civ,2014,3664
civ,2015,5758
civ,2016,7881
civ,2017,8043
civ,2018,10233
civ,2019,11210
civ,2020,11451
cod,2015,1701
cod,2016,1565
cod,2017,1464
cod,2018,2102
cod,2019,1480
cod,2020,1795
col,2013,61559
col,2014,69841
col,2015,61033
col,2016,68460
col,2017,66780
col,2018,67983
col,2019,74706
col,2020,68749
com,2018,78
cpv,2008,462
cpv,2009,782
cpv,2010,916
cpv,2011,1197
cpv,2012,949
cpv,2013,1011
cpv,2014,1022
cpv,2015,1281
cpv,2016,3206
cpv,2017,4349
cpv,2018,5868
cpv,2019,6023
cpv,2020,4869
cri,2013,10273
cri,2014,10965
cri,2015,13154
cri,2016,20693
cri,2017,17573
cri,2018,20758
cri,2019,16427
cri,2020,12686
cyp,2006,20280
cyp,2007,29016
cyp,2008,24453
cyp,2009,16101
cyp,2010,19278
cyp,2011,19538
cyp,2012,17999
cyp,2013,10847
cyp,2014,11169
cyp,2015,11270
cyp,2016,13645
cyp,2017,13677
cyp,2018,14526
cyp,2019,12781
cyp,2020,11053
cze,2006,16395
cze,2007,20938
cze,2008,22633
cze,2009,21717
cze,2010,22456
cze,2011,21173
cze,2012,21571
cze,2013,22227
cze,2014,24366
cze,2015,26068
cze,2016,27881
cze,2017,31195
cze,2018,30336
cze,2019,28758
cze,2020,26024
deu,2006,65447
deu,2007,65292
deu,2008,65812
deu,2009,74055
deu,2010,73966
deu,2011,71190
deu,2012,69332
deu,2013,68526
deu,2014,67458
deu,2015,69384
deu,2016,70720
deu,2017,71801
deu,2018,72844
deu,2019,73991
deu,2020,72774
dji,2020,1142
dma,2009,802
dma,2010,792
dma,2011,884
dma,2012,898
dma,2013,755
dma,2014,874
dma,2015,748
dma,2016,609
dma,2017,339
dma,2018,371
dma,2019,319
dma,2020,268
dnk,2006,26508
dnk,2007,29233
dnk,2008,26228
dnk,2009,17576
dnk,2010,18814
dnk,2011,18386
dnk,2012,17218
dnk,2013,16992
dnk,2014,25933
dnk,2015,30282
dnk,2016,33645
dnk,2017,36341
dnk,2018,36982
dom,2011,3257
dom,2012,7219
dom,2013,8131
dom,2014,8059
dom,2015,8367
dom,2016,9363
dom,2017,9597
dom,2018,10204
dza,2006,4218
dza,2007,3622
dza,2008,4651
dza,2009,4574
dza,2010,4122
dza,2011,4711
dza,2012,7724
dza,2013,7698
dza,2014,8426
dza,2015,8093
dza,2016,8841
dza,2017,9885
dza,2018,9472
egy,2006,1055
egy,2007,1533
egy,2008,2029
egy,2009,2094
egy,2010,2515
egy,2011,2331
egy,2012,2785
egy,2013,2867
egy,2014,3334
egy,2015,4109
egy,2016,4682
egy,2017,5702
egy,2018,10877
egy,2019,13920
egy,2020,14768
esp,2006,141830
esp,2007,138879
esp,2008,99473
esp,2009,74333
esp,2010,75885
esp,2011,81027
esp,2012,84399
esp,2013,90373
esp,2014,91544
esp,2015,91750
esp,2016,98824
esp,2017,92613
esp,2018,93560
esp,2019,92010
esp,2020,77541
est,2006,12070
est,2007,11599
est,2008,9661
est,2009,8183
est,2010,9212
est,2011,13141
est,2012,13524
est,2013,14242
est,2014,13867
est,2015,15005
est,2016,16572
est,2017,18461
est,2018,19950
est,2019,20899
est,2020,20329
eth,2016,10693
eth,2017,34912
eth,2018,31198
fin,2006,10247
fin,2007,13948
fin,2008,14091
fin,2009,12254
fin,2010,12391
fin,2011,12744
fin,2012,12506
fin,2013,12441
fin,2014,11965
fin,2015,12625
fin,2016,13584
fin,2017,13848
fin,2018,14700
fin,2019,18100
fin,2020,20020
fji,2019,1121
fji,2020,1320
fra,2006,136033
fra,2007,160375
fra,2008,161808
fra,2009,152302
fra,2010,163650
fra,2011,166653
fra,2012,159521
fra,2013,158875
fra,2014,165722
fra,2015,171984
fra,2016,188843
fra,2017,197899
fra,2018,201087
fra,2019,218426
fra,2020,218054
fsm,2018,25
gab,2006,729
gab,2007,1019
gab,2008,1069
gab,2009,1009
gab,2010,1248
gab,2011,1251
gab,2012,1258
gab,2013,1421
gab,2014,1620
gab,2015,1544
gab,2016,1175
gab,2017,1192
gab,2018,1218
gab,2019,1475
gab,2020,1275
gbm,2006,3694
gbm,2007,4112
gbm,2008,4164
gbm,2009,2136
gbm,2010,2480
gbm,2011,2265
gbm,2012,2019
gbm,2013,2202
gbm,2014,2092
gbm,2015,1960
gbm,2016,1832
gbr,2006,403860
gbr,2007,452135
gbr,2008,362322
gbr,2009,364131
gbr,2010,400867
gbr,2011,453898
gbr,2012,492754
gbr,2013,522439
gbr,2014,585672
gbr,2015,611478
gbr,2016,663616
gbr,2017,632517
gbr,2018,664974
gbr,2019,684874
gbr,2020,774854
geo,2006,6073
geo,2007,7627
geo,2008,8658
geo,2009,7725
geo,2010,11265
geo,2011,14091
geo,2012,15004
geo,2013,17761
geo,2014,17608
geo,2015,18432
geo,2016,21299
geo,2017,25554
geo,2018,25238
geo,2019,22588
geo,2020,17905
gha,2006,7651
gha,2007,9624
gha,2008,14485
gha,2009,15324
gha,2010,13760
gha,2011,15649
gha,2012,13154
gin,2014,792
gin,2015,1427
gin,2016,1852
gin,2017,2346
gin,2018,2630
gin,2019,3121
gin,2020,3192
grc,2011,2257
grc,2012,3473
grc,2013,4894
grc,2014,5072
grc,2015,4746
grc,2016,5750
grc,2017,7733
grc,2018,9921
grc,2019,11980
grc,2020,12047
grd,2006,201
grd,2007,207
grd,2008,186
grd,2009,120
grd,2010,147
grd,2011,136
grd,2012,123
grd,2013,164
grd,2014,175
grd,2015,228
grd,2016,228
grd,2017,273
grd,2018,247
grd,2019,257
grd,2020,217
gtm,2006,4830
gtm,2007,4945
gtm,2008,5490
gtm,2009,5112
gtm,2010,5049
gtm,2011,5088
gtm,2012,4182
gtm,2013,4540
gtm,2014,4708
gtm,2015,4936
gtm,2016,4878
gtm,2017,5675
gtm,2018,5497
gtm,2019,6404
gtm,2020,6229
guy,2006,116
guy,2007,23
guy,2008,30
guy,2009,142
guy,2010,119
guy,2011,229
guy,2012,327
guy,2013,348
guy,2014,316
guy,2015,227
guy,2016,440
guy,2017,469
guy,2018,589
guy,2019,885
guy,2020,819
hkg,2006,81974
hkg,2007,100761
hkg,2008,98645
hkg,2009,109424
hkg,2010,139530
hkg,2011,148329
hkg,2012,150165
hkg,2013,174031
hkg,2014,167280
hkg,2015,139209
hkg,2016,144883
hkg,2017,160229
hkg,2018,151739
hkg,2019,124741
hkg,2020,99405
hrv,2006,9913
hrv,2007,10603
hrv,2008,10156
hrv,2009,7806
hrv,2010,7139
hrv,2011,7116
hrv,2012,7949
hrv,2013,14186
hrv,2014,12964
hrv,2015,12558
hrv,2016,13502
hrv,2017,14918
hrv,2018,15585
hrv,2019,14633
hrv,2020,11539
hti,2006,190
hti,2007,201
hti,2008,199
hti,2009,301
hti,2010,383
hun,2006,22008
hun,2007,27335
hun,2008,43598
hun,2009,42046
hun,2010,44269
hun,2011,52217
hun,2012,32311
hun,2013,28207
hun,2014,24479
hun,2015,21048
