global,time,bx_gsr_mrch_cd
world,1982,1839301818258.86011
world,1983,1779276382793.75
world,1984,1870109920463.11011
world,1985,1870516726351.53003
world,1986,2021059272447.30005
world,1987,2405620395969.45996
world,1988,2756530085772.04004
world,1989,2985116696678.10938
world,1990,3447260721228.50977
world,1991,3504992631213.52002
world,1992,3741256928690.64941
world,1993,3678855607150.62012
world,1994,4170963754052.33984
world,1995,5055215617291.56934
world,1996,5363801308227.48047
world,1997,5455113569366.21973
world,1998,5365166465599.29004
world,1999,5550666078618.34961
world,2000,6257569807937.36914
world,2001,5985148934545.95996
world,2002,6210654938024.09961
world,2003,7404069909157.88965
world,2004,9029722440728.44727
world,2005,10308408507244.80078
world,2006,11918969028457.40039
world,2007,13781922627260.5
world,2008,15861570063090.5
world,2009,12304457268744
world,2010,14991381455569
world,2011,17995357732768.10156
world,2012,18248502124986
world,2013,18663157726796.89453
world,2014,18729034405077.80078
world,2015,16301986399409.90039
world,2016,15805741956197.69922
world,2017,17547710448684.90039
world,2018,19250503306229.60156
world,2019,18730338059521.80078
world,2020,17414153710297.90039
