geo,time,it_mlt_main
arg,1964,914656
arg,1965,1100000
arg,1966,1100000
arg,1967,1100000
arg,1968,1100000
arg,1969,1100000
arg,1970,1287000
arg,1971,1287000
arg,1972,1287000
arg,1973,1287000
arg,1974,1287000
arg,1975,1651000
arg,1976,1678000
arg,1977,1692000
arg,1978,1728000
arg,1979,1797000
arg,1980,1879000
arg,1981,2199000
arg,1982,2361350
arg,1983,2271525
arg,1984,2599607
arg,1985,2710894
arg,1986,2859209
arg,1987,2965970
arg,1988,3175756
arg,1989,3084000
arg,1990,3026732
arg,1991,3131235
arg,1992,3594533
arg,1993,3982435
arg,1994,4986887
arg,1995,5714158
arg,1996,6262637
arg,1997,6826799
arg,1998,7095464
arg,1999,7223168
arg,2000,7894205
arg,2001,8131435
arg,2002,7708568
arg,2003,8603869
arg,2004,8760566
arg,2005,9441673
arg,2006,9459794
arg,2007,9500000
arg,2008,9742833
arg,2009,9768135
arg,2010,9914208
arg,2011,9722525
arg,2012,9455639
arg,2013,9662084
arg,2014,9822465
arg,2015,10073125
arg,2016,10164849
arg,2017,9744368
arg,2018,9764014
arg,2019,7757243
arg,2020,7356165
arm,1975,190000
arm,1976,210000
arm,1977,250000
arm,1978,270000
arm,1979,290000
arm,1980,300000
arm,1981,340000
arm,1982,360000
arm,1983,380000
arm,1984,400000
arm,1985,420000
arm,1986,440000
arm,1987,470000
arm,1988,501000
arm,1989,530000
arm,1990,560000
arm,1991,572100
arm,1992,578400
arm,1993,583460
arm,1994,587113
arm,1995,582800
arm,1996,579500
arm,1997,567800
arm,1998,556600
arm,1999,544197
arm,2000,533387
arm,2001,531456
arm,2002,542846
arm,2003,563679
arm,2004,578973
arm,2005,594404
arm,2006,603900
arm,2007,624700
arm,2008,626600
arm,2009,599900
arm,2010,592300
arm,2011,586943
arm,2012,583685
arm,2013,578450
arm,2014,572772
arm,2015,551366
arm,2016,531624
arm,2017,501013
arm,2018,477932
arm,2019,451571
arm,2020,427539
asm,1982,4600
asm,1983,4600
asm,1984,4650
asm,1985,4700
asm,1986,4750
asm,1987,4800
asm,1988,4850
asm,1989,4900
asm,1990,5500
asm,1991,5500
asm,1992,6000
asm,1993,8000
asm,1994,9500
asm,1995,9800
asm,1996,10000
asm,1997,10100
asm,1998,10200
asm,1999,10200
asm,2000,10252
asm,2001,12587
asm,2002,14053
asm,2003,10713
asm,2004,10354
asm,2005,10400
asm,2006,10400
asm,2007,10400
asm,2008,10400
asm,2009,10400
asm,2010,10400
asm,2012,10000
asm,2013,10000
asm,2014,9900
asm,2015,10000
asm,2019,10000
asm,2020,10000
atg,1970,1700
atg,1971,1700
atg,1972,1700
atg,1973,1700
atg,1974,1700
atg,1975,1900
atg,1976,1900
atg,1981,3500
atg,1982,4000
atg,1983,5000
atg,1984,5796
atg,1985,7000
atg,1986,8000
atg,1987,9500
atg,1988,11000
atg,1989,13000
atg,1990,15980
atg,1991,13670
atg,1992,16820
atg,1993,19210
atg,1994,24284
atg,1995,25890
atg,1996,28000
atg,1997,31000
atg,1998,34000
atg,1999,36500
atg,2000,38300
atg,2001,37264
atg,2002,38046
atg,2003,38000
atg,2004,38000
atg,2005,36480
atg,2006,37500
atg,2007,37900
atg,2008,38000
atg,2009,37350
atg,2010,36322
atg,2011,35484
atg,2012,33159
atg,2013,33133
atg,2014,19915
atg,2015,20000
atg,2016,22504
atg,2017,24000
atg,2019,27000
atg,2020,27000
aus,1960,1561968
aus,1961,1561970
aus,1962,1561970
aus,1963,1561970
aus,1964,1561970
aus,1965,2010000
aus,1966,2010000
aus,1967,2010000
aus,1968,2010000
aus,1969,2010000
aus,1970,2704000
aus,1971,2704000
aus,1972,2704000
aus,1973,2704000
aus,1974,2704000
aus,1975,3539000
aus,1976,3700000
aus,1977,3907000
aus,1978,4165945
aus,1979,4449468
aus,1980,4742662
aus,1981,5069342
aus,1982,5356572
aus,1983,5591667
aus,1984,5850594
aus,1985,6186835
aus,1986,6501468
aus,1987,6816301
aus,1988,7091549
aus,1989,7419982
aus,1990,7786889
aus,1991,8046029
aus,1992,8257000
aus,1993,8540000
aus,1994,8850000
aus,1995,8900000
aus,1996,9170000
aus,1997,9350000
aus,1998,9540000
aus,1999,9760000
aus,2000,10050000
aus,2001,10060000
aus,2002,10400000
aus,2003,10460000
aus,2004,10370000
aus,2005,10120000
aus,2006,9940000
aus,2007,9760000
aus,2008,9370000
aus,2009,10709000
aus,2010,10625000
aus,2011,10573000
aus,2012,10471000
aus,2013,10350000
aus,2014,9190000
aus,2015,8500000
aus,2016,8480000
aus,2017,8460000
aus,2018,8200000
aus,2019,6200000
aus,2020,6200000
aut,1960,428807
aut,1961,428807
aut,1962,428807
aut,1963,428807
aut,1964,428807
aut,1965,655000
aut,1966,655000
aut,1967,655000
aut,1968,655000
aut,1969,655000
aut,1970,969000
aut,1971,969000
aut,1972,969000
aut,1973,969000
aut,1974,969000
aut,1975,1505000
aut,1976,1623000
aut,1977,1747000
aut,1978,1885000
aut,1979,2033000
aut,1980,2191000
aut,1981,2323000
aut,1982,2438672
aut,1983,2547908
aut,1984,2640843
aut,1985,2729389
aut,1986,2818437
aut,1987,2906736
aut,1988,3001319
aut,1989,3102814
aut,1990,3223161
aut,1991,3344179
aut,1992,3466493
aut,1993,3579900
aut,1994,3691800
aut,1995,3796900
aut,1996,3901600
aut,1997,3969400
aut,1998,4008000
aut,1999,3939000
aut,2000,3997000
aut,2001,3997000
aut,2002,3883000
aut,2003,3877000
aut,2004,3821000
aut,2005,3739000
aut,2006,3605000
aut,2007,3407000
aut,2008,3285000
aut,2009,3253000
aut,2010,3398000
aut,2011,3388000
aut,2012,3380000
aut,2013,3334000
aut,2014,3518900
aut,2015,3609900
aut,2016,3567200
aut,2017,3711200
aut,2018,3735346
aut,2019,3722128
aut,2020,3786725
aze,1975,210000
aze,1976,230000
aze,1977,270000
aze,1978,290000
aze,1979,320000
aze,1980,340000
aze,1981,390000
aze,1982,410000
aze,1983,430000
aze,1984,450000
aze,1985,470000
aze,1986,500000
aze,1987,530000
aze,1988,559000
aze,1989,590000
aze,1990,620000
aze,1991,620150
aze,1992,620300
aze,1993,620390
aze,1994,635237
aze,1995,639532
aze,1996,645068
aze,1997,658296
aze,1998,680200
aze,1999,730000
aze,2000,801200
aze,2001,864800
aze,2002,926000
aze,2003,941366
aze,2004,1013400
aze,2005,1094200
aze,2006,1176976
aze,2007,1253300
aze,2008,1310500
aze,2009,1401100
aze,2010,1506585
aze,2011,1683876
aze,2012,1724004
aze,2013,1757855
aze,2014,1795448
aze,2015,1796027
aze,2016,1700233
aze,2017,1688325
aze,2018,1681407
aze,2019,1673211
aze,2020,1652688
bdi,1965,1400
bdi,1966,1400
bdi,1967,1400
bdi,1968,1400
bdi,1969,1400
bdi,1970,2000
bdi,1971,2000
bdi,1972,2000
bdi,1973,2000
bdi,1974,2000
bdi,1975,2700
bdi,1976,2600
bdi,1981,2000
bdi,1982,2200
bdi,1983,2430
bdi,1984,3810
bdi,1985,5310
bdi,1986,6631
bdi,1987,7107
bdi,1988,7346
bdi,1989,7666
bdi,1990,7950
bdi,1991,10236
bdi,1992,12888
bdi,1993,15550
bdi,1994,15788
bdi,1995,17255
bdi,1996,15181
bdi,1997,15867
bdi,1998,17849
bdi,1999,18993
bdi,2000,20000
bdi,2001,20543
bdi,2002,22084
bdi,2003,23895
bdi,2004,27744
bdi,2005,27800
bdi,2006,27886
bdi,2007,28500
bdi,2008,30411
bdi,2009,31121
bdi,2010,34972
bdi,2011,30010
bdi,2012,17394
bdi,2013,21253
bdi,2014,21669
bdi,2015,21774
bdi,2016,19540
bdi,2017,23409
bdi,2018,24810
bdi,2019,20936
bdi,2020,18300
bel,1960,779262
bel,1961,779262
bel,1962,779262
bel,1963,779262
bel,1964,779262
bel,1965,1049970
bel,1966,1049970
bel,1967,1049970
bel,1968,1049970
bel,1969,1049970
bel,1970,1343541
bel,1971,1343540
bel,1972,1343540
bel,1973,1343540
bel,1974,1343540
bel,1975,1849960
bel,1976,1941000
bel,1977,2050000
bel,1978,2178000
bel,1979,2317000
bel,1980,2441993
bel,1981,2587107
bel,1982,2722107
bel,1983,2818084
bel,1984,2924966
bel,1985,3032418
bel,1986,3227160
bel,1987,3367192
bel,1988,3525140
bel,1989,3711641
bel,1990,3912629
bel,1991,4096071
bel,1992,4264342
bel,1993,4395695
bel,1994,4543468
bel,1995,4682086
bel,1996,4623685
bel,1997,4768235
bel,1998,4856502
bel,1999,5008640
bel,2000,5036422
bel,2001,5131694
bel,2002,4931600
bel,2003,4875000
bel,2004,4801000
bel,2005,4794583
bel,2006,4727800
bel,2007,4847263
bel,2008,4734517
bel,2009,4636079
bel,2010,4639780
bel,2011,4634252
bel,2012,4634782
bel,2013,4586500
bel,2014,4532475
bel,2015,4488711
bel,2016,4371055
bel,2017,4281818
bel,2018,4106864
bel,2019,3930410
bel,2020,3634639
ben,1960,2176
ben,1961,2176
ben,1962,2176
ben,1963,2176
ben,1964,2176
ben,1965,2300
ben,1966,2300
ben,1967,2300
ben,1968,2300
ben,1969,2300
ben,1970,3500
ben,1971,3500
ben,1972,3500
ben,1973,3500
ben,1974,3500
ben,1975,5313
ben,1976,5861
ben,1977,6371
ben,1978,7032
ben,1979,7692
ben,1980,8515
ben,1981,9409
ben,1982,9680
ben,1983,9950
ben,1984,10581
ben,1985,10882
ben,1986,12033
ben,1987,13184
ben,1988,13596
ben,1989,14236
ben,1990,14778
ben,1991,15011
ben,1992,15760
ben,1993,20409
ben,1994,23945
ben,1995,28206
ben,1996,32679
ben,1997,36453
ben,1998,38354
ben,1999,43656
ben,2000,51644
ben,2001,59298
ben,2002,62669
ben,2003,66511
ben,2004,72789
ben,2005,76267
ben,2006,77342
ben,2007,110765
ben,2008,115289
ben,2009,127149
ben,2010,133427
ben,2011,152715
ben,2012,156715
ben,2013,159443
ben,2014,195662
ben,2015,194666
ben,2016,124883
ben,2017,56787
ben,2018,48508
ben,2019,35917
ben,2020,32386
bfa,1970,1500
bfa,1971,1500
bfa,1972,1500
bfa,1973,1500
bfa,1974,1500
bfa,1975,2400
bfa,1976,2600
bfa,1977,4000
bfa,1978,4000
bfa,1979,4000
bfa,1980,4000
bfa,1981,6670
bfa,1982,7180
bfa,1983,7488
bfa,1984,7797
bfa,1985,7950
bfa,1986,9582
bfa,1987,11556
bfa,1988,12804
bfa,1989,14493.5
bfa,1990,16183
bfa,1991,17844
bfa,1992,19784
bfa,1993,21873
bfa,1994,26328
bfa,1995,30043
bfa,1996,34055
bfa,1997,36258
bfa,1998,41218
bfa,1999,47338
bfa,2000,53217
bfa,2001,58036
bfa,2002,61908
bfa,2003,66639
bfa,2004,85225
bfa,2005,91191
bfa,2006,94758
bfa,2007,116746
bfa,2008,148157
bfa,2009,152461
bfa,2010,143963
bfa,2011,141529
bfa,2012,141358
bfa,2013,137421
bfa,2014,124595
bfa,2015,75075
bfa,2016,75727
bfa,2017,76000
bfa,2018,76760
bfa,2019,75291
bfa,2020,75039
bgd,1970,45000
bgd,1971,45000
bgd,1972,45000
bgd,1973,45000
bgd,1974,45000
bgd,1975,60000
bgd,1976,68000
bgd,1977,76000
bgd,1978,86000
bgd,1979,89000
bgd,1980,95000
bgd,1981,101000
bgd,1982,108000
bgd,1983,114580
bgd,1984,121100
bgd,1985,151400
bgd,1986,163900
bgd,1987,174400
bgd,1988,187100
bgd,1989,192000
bgd,1990,218000
bgd,1991,221513
bgd,1992,232700
bgd,1993,245947
bgd,1994,262274
bgd,1995,286605
bgd,1996,316081
bgd,1997,368017
bgd,1998,412607
bgd,1999,432968
bgd,2000,491303
bgd,2001,564880
bgd,2002,605931
bgd,2003,742048
bgd,2004,830950
bgd,2005,1070000
bgd,2006,1134000
bgd,2007,1186919
bgd,2008,1344456
bgd,2009,1234895
bgd,2010,1280782
bgd,2011,977700
bgd,2012,961589
bgd,2013,1082348
bgd,2014,974181
bgd,2015,864263
bgd,2016,766183
bgd,2017,707568
bgd,2018,1449646
bgd,2019,1449646
bgd,2020,1390048
bgr,1979,805000
bgr,1980,908000
bgr,1981,1144300
bgr,1982,1130300
bgr,1983,1352700
bgr,1984,1400000
bgr,1985,1500000
bgr,1986,1600000
bgr,1987,1745000
bgr,1988,1886000
bgr,1989,1994000
bgr,1990,2175423
bgr,1991,2205483
bgr,1992,2339668
bgr,1993,2410427
