geo,time,fm_ast_nfrg_cn
abw,1986,130388000
abw,1987,151149000
abw,1988,149566000
abw,1989,231126000
abw,1990,270155000
abw,1991,334854000
abw,1992,396838000
abw,1993,448022000
abw,1994,478100000
abw,1995,517802000
abw,1996,461497000
abw,1997,428176000
abw,1998,578007000
abw,1999,593161000
abw,2000,554172000
abw,2001,700601000
abw,2002,746906000
abw,2003,700915000
abw,2004,722775000
abw,2005,675555000
abw,2006,757019000
abw,2007,858988000
abw,2008,1429124000
abw,2009,1576887000
abw,2010,1472522000
abw,2011,1493405000
abw,2012,1563051000
abw,2013,1216029000
abw,2014,1289640000
abw,2015,1611022000
abw,2016,1892421000
abw,2017,1824166000
abw,2018,1917887000
abw,2019,1928044000
abw,2020,2353836000
afg,1961,817000000
afg,1962,682000000
afg,1963,1901000000
afg,1964,1648000000
afg,1965,1881000000
afg,1966,1641000000
afg,1967,1498000000
afg,1968,1077000000
afg,1969,1143092304.92188
afg,1970,1437493461.4375
afg,1971,2288233403.45313
afg,1972,2550475761.46875
afg,1973,3032389756.46875
afg,1974,3614573954.48438
afg,1975,6748051845.95313
afg,1976,9582834844.5
afg,1977,16667433588.5
afg,1978,20106708078.875
afg,1979,21915226509
afg,1980,39353160286.125
afg,1981,44336215668
afg,1982,39505806722.7473
afg,1984,25661528057.6354
afg,1985,22136334740.9128
afg,1986,17763152851.2463
afg,1987,25090907313.8982
afg,1988,25678118192.0606
afg,1989,20202349519.8055
afg,1990,3856896159.6296
afg,2006,103826593510.62601
afg,2007,147079553704.013
afg,2008,172783865487.51801
afg,2009,214828922326.81296
afg,2010,248098785003.26697
afg,2011,338126323481.63702
afg,2012,428038588436.32495
afg,2013,472282591787.91803
afg,2014,500179635486.138
afg,2015,545987529788.03601
afg,2016,582766040486.69104
afg,2017,651218737337.79895
afg,2018,737860932263.59204
afg,2019,790413851829.56995
afg,2020,871656191935.55701
ago,1995,-7611172.1274
ago,1996,135920959.13107
ago,1997,200101483.36389
ago,1998,168039753.9983
ago,1999,5768914826.14511
ago,2000,30520014540.0519
ago,2001,40414519652.9791
ago,2002,78895935767.50958
ago,2003,106824056203.86
ago,2004,151413220074.12601
ago,2005,386785365401.68597
ago,2006,891290892981.901
ago,2007,1022738046408.34998
ago,2008,1509140912869.17993
ago,2009,1149472788992.08008
ago,2010,1731026190716.53003
ago,2011,2927440616913.64014
ago,2012,3165722382430.37012
ago,2013,3115369450913.87012
ago,2014,3097464364404.93018
ago,2015,3570440897918.47998
ago,2016,3856955661114.10938
ago,2017,2642692411643.70947
ago,2018,4218121505107.22949
ago,2019,7029588595487.95996
ago,2020,7310501025246.75
alb,1994,-21629413795.6946
alb,1995,35443315096.0691
alb,1996,54424371563.4161
alb,1997,68297294555.3213
alb,1998,83030726075.06958
alb,1999,100070450902.13699
alb,2000,130080322627.08
alb,2001,157270000000
alb,2002,164323898702.29001
alb,2003,161812641078.73901
alb,2004,188807245450.91199
alb,2005,210787008285.198
alb,2006,233227456087.32199
alb,2007,232443325345.25296
alb,2008,206635854264.46701
alb,2009,244388336662.246
alb,2010,339374729126.36902
alb,2011,389025936838.888
alb,2012,451173898914.78094
alb,2013,478910256532.32202
alb,2014,524487126241.16199
alb,2015,614841156645.89502
alb,2016,655908394778.172
alb,2017,653746754779.323
alb,2018,680624716479.59998
alb,2019,691446538021.48096
alb,2020,746995285850.37012
are,1973,1524029178.5742
