geo,time,gc_rev_xgrt_cn
afg,2006,31211357279.1595
afg,2007,34023950013.09
afg,2008,41475208370.13
afg,2009,64686944779.1541
afg,2010,80553186894.522
afg,2011,97876338034.42488
afg,2012,104943436736.30299
afg,2013,107112000000
afg,2014,101337910975.90601
afg,2015,123878905460.39
afg,2016,155041523310.59
afg,2017,167614542741.81
ago,1999,7213399391
ago,2000,48389053910
ago,2001,82063850468
ago,2002,177130000000
ago,2003,393108000000
ago,2004,537507183605
ago,2005,787060000000
ago,2006,1940819678795
ago,2007,2252180000000
ago,2008,2834560000000
ago,2009,1241000000000
ago,2010,2695150000000
ago,2011,4682610000000
ago,2012,4428540000000
ago,2013,4711390000000
ago,2014,4423859182072.83984
ago,2015,2619396613663.95996
ago,2016,2601718946314.49023
ago,2017,3315031463724.49023
ago,2018,5634985528039.08984
ago,2019,6609488021182.29004
alb,1995,47649000000
alb,1996,47224580000
alb,1997,53094524000
alb,1998,89099780000
alb,2002,146400976165
alb,2003,164323604000
alb,2004,181100463950
alb,2011,310853290000
alb,2012,307222400000
alb,2013,301128640000
alb,2014,342199920000
alb,2015,354821020000
alb,2016,357496900000
alb,2017,399029600000
alb,2018,416997250000
alb,2019,425367970000
are,1997,18996000000
are,1998,19212000000
are,1999,20217000000
are,2011,43953099958.03
are,2012,44643132234.47
are,2013,44910155882
are,2014,44554348803.15
are,2015,46433708207.33
are,2016,52861553342.6
are,2017,49469867101.84
are,2018,52554413479.29
are,2019,71675458851.83
arg,1990,7159300000
arg,1991,20192000000
arg,1992,27832600000
arg,1993,35711200000
arg,1994,38265500000
arg,1995,36192300000
arg,1996,35490600000
arg,1997,39829700000
arg,1998,41123700000
arg,1999,39724800000
arg,2000,40293300000
arg,2001,37019700000
arg,2002,43936600000
arg,2003,64655313606.83
arg,2004,81182949759.92998
arg,2005,96827500000
arg,2006,123148100000
arg,2007,160829200000
arg,2008,218107800000
arg,2009,251283300000
arg,2010,352971400000
arg,2011,440084600000
arg,2012,558769100000
arg,2013,722072200000
arg,2014,1022615060000
arg,2015,1318869400000
arg,2016,1749035300000
arg,2017,2061381600000
arg,2018,2610192500000
arg,2019,4039254681156.84961
arm,2004,347215205200
arm,2005,432984989443.40002
arm,2006,524951054814
arm,2007,673473567864.09998
arm,2008,815707304285.5
arm,2009,699119440125.59998
arm,2010,783665024196.93982
arm,2011,858592027846.80005
arm,2012,964126383786
arm,2013,1098674916274.30005
arm,2014,1183716332556
arm,2015,1164700627096
arm,2016,1157102732751
arm,2017,1253427996573.33008
arm,2018,1351043083853
arm,2019,1566552441397
aus,1972,9087000000
aus,1973,9691000000
aus,1974,12253000000
aus,1975,15728000000
aus,1976,18818000000
aus,1977,22093000000
aus,1978,24213000000
aus,1979,26380000000
aus,1980,30560000000
aus,1981,36020000000
aus,1982,41858000000
aus,1983,45872000000
aus,1984,50371000000
aus,1985,59095000000
aus,1986,66366000000
aus,1987,74917000000
aus,1988,83163000000
aus,1989,91051000000
aus,1990,98876000000
aus,1991,100534000000
aus,1992,96103000000
aus,1993,97764000000
aus,1994,103661000000
aus,1995,114234000000
aus,1996,125092000000
aus,1997,134579000000
aus,1998,142036000000
aus,1999,156027000000
aus,2000,171523000000
aus,2001,191377000000
aus,2002,196488000000
aus,2003,213494000000
aus,2004,229387000000
aus,2005,249838000000
aus,2006,269292000000
aus,2007,287406000000
aus,2008,313671000000
aus,2009,308778000000
aus,2010,303887000000
aus,2011,322121000000
aus,2012,351695000000
aus,2013,375910000000
aus,2014,389651000000
aus,2015,398062000000
aus,2016,412209000000
aus,2017,436630000000
aus,2018,475891000000
aus,2019,507558000000
aut,1972,10280299121.3854
aut,1973,11861659992.878
aut,1974,13722811275.917
aut,1975,14860141130.644
aut,1976,16394264659.9275
aut,1977,18378233032.71009
aut,1978,20941403893.8105
aut,1979,22923918809.90969
aut,1980,25000181682.08549
aut,1981,27545184334.6438
aut,1982,28671613264.2457
aut,1983,30114169022.4777
aut,1984,32976751960.3498
aut,1985,34340094329.3388
aut,1986,35878578228.6723
aut,1987,37289884668.2122
aut,1988,40209152416.7351
aut,1989,42116814313.6414
aut,1990,45430695551.6958
aut,1991,49131922995.8649
aut,1992,54210300647.515
aut,1993,56458798136.6685
aut,1994,59186209602.9883
aut,1995,75630500000
aut,1996,80235740000
aut,1997,83362680000
aut,1998,86642670000
aut,1999,90411510000
aut,2000,93510910000
aut,2001,100417890000
aut,2002,100947650000
aut,2003,102223930000
aut,2004,106275870000
aut,2005,110627600000
aut,2006,115121780000
aut,2007,122131530000
aut,2008,128512830000
aut,2009,126433640000
aut,2010,128749560000
aut,2011,135122450000
aut,2012,140735950000
aut,2013,145304410000
aut,2014,148939470000
aut,2015,155344530000
aut,2016,155849380000
aut,2017,160879830000
aut,2018,168289260000
aut,2019,174916330000
aze,1994,95940800
aze,1995,384049000
aze,1996,376202800
aze,1997,470006200
aze,1998,615204800
aze,1999,663394400
aze,2008,19788400000
aze,2009,14557400000
aze,2010,19885900000
aze,2011,23687600000
aze,2012,22594900000
aze,2013,23508900000
aze,2014,23544500000
aze,2015,18589100000
aze,2016,21100400000
aze,2017,24671600000
aze,2018,31569566000
aze,2019,35063100000
bdi,1973,2789000000
bdi,1974,3206000000
bdi,1975,3171000000
bdi,1976,4596000000
bdi,1977,7144000000
bdi,1978,9136000000
bdi,1979,10182000000
bdi,1980,11544000000
bdi,1981,11665000000
bdi,1991,38638000000
bdi,1992,40829000000
bdi,1993,41393000000
bdi,1994,44296000000
bdi,1995,48158000000
bdi,1996,46345000000
bdi,1997,46145000000
bdi,1998,66269890000
bdi,1999,71936550000
bel,1995,87076200000
bel,1996,89919700000
bel,1997,94599300000
bel,1998,99528400000
bel,1999,103000200000
bel,2000,108746400000
bel,2001,112055900000
bel,2002,113011900000
bel,2003,113876100000
bel,2004,120256400000
bel,2005,125414800000
bel,2006,130540300000
bel,2007,136463700000
bel,2008,143547500000
bel,2009,138063100000
bel,2010,146546200000
bel,2011,154910600000
bel,2012,163375400000
bel,2013,168212600000
bel,2014,171664100000
bel,2015,168431300000
bel,2016,164985200000
bel,2017,172743600000
bel,2018,180339500000
bel,2019,180347100000
ben,1977,27521000000
ben,1978,29571000000
ben,1979,32629000000
bfa,2002,261305078896
bfa,2003,301921953465.90002
bfa,2004,350835509520.70001
bfa,2005,366670761002
bfa,2006,397619413487
bfa,2007,446535580049
bfa,2008,483826572072
bfa,2009,539091338723
bfa,2010,681279000000
bfa,2011,793620000000
bfa,2012,998809000000
bfa,2013,1117266000000
bfa,2014,1064691891701
bfa,2015,1047644821985.84998
bfa,2016,1230300000000
bfa,2017,1375971867626
bfa,2018,1484790219976.80005
bfa,2019,1747862188878.83008
bgd,2001,249241400000
bgd,2002,278912890000
bgd,2003,303588560000
bgd,2004,331808100000
bgd,2005,382188242000
bgd,2006,423415258000
bgd,2007,484415017000
bgd,2008,598058501000
bgd,2009,679905861000
bgd,2010,777108099000
bgd,2011,958200300000
bgd,2012,1176049200000
bgd,2013,1338047700000
bgd,2014,1460155600000
bgd,2015,1492229170000
bgd,2016,1769180000000
bgr,1990,21400000
bgr,1991,49394000
bgr,1992,71544000
bgr,1993,99622000
bgr,1994,204797000
bgr,2005,16253639000
bgr,2006,17810760000
bgr,2007,23265173000
bgr,2008,26503518000
bgr,2009,23752779000
bgr,2010,22766851000
bgr,2011,23462582000
bgr,2012,25700224000
bgr,2013,27114315000
bgr,2014,28091404000
bgr,2015,30453415000
bgr,2016,30622285000
bgr,2017,33437752000
bgr,2018,38054983000
bgr,2019,43388421000
bhr,1974,115300000
bhr,1975,129000000
bhr,1976,186400000
bhr,1977,227400000
bhr,1978,247500000
bhr,1979,277900000
bhr,1980,388900000
bhr,1981,478300000
bhr,1982,497800000
bhr,1983,443500000
bhr,1984,485400000
bhr,1985,503800000
bhr,1986,422200000
bhr,1987,376400000
bhr,1988,357800000
bhr,1989,403200000
bhr,1990,468600000
bhr,1991,469800000
bhr,1992,464500000
bhr,1993,544500000
bhr,1994,476000000
bhr,1995,525200000
bhr,1996,615200000
bhr,1997,633100000
bhr,1998,516500000
bhr,1999,653400000
bhr,2000,1065600000
bhr,2001,968800000
bhr,2002,987500000
bhr,2003,1126000000
bhr,2004,1314800000
bhs,1990,498300000
bhs,1991,490700000
bhs,1992,533100000
bhs,1993,531500000
bhs,1994,605600000
bhs,1995,656300000
bhs,1996,685200000
bhs,1997,727660000
bhs,1998,760135000
bhs,1999,868758000
bhs,2000,937161000
bhs,2001,919500000
bhs,2002,887624000
bhs,2003,901100000
bhs,2004,944463000
bhs,2005,1103767000
bhs,2006,1280479000
bhs,2007,1336118000
bhs,2008,1428708000
bhs,2009,1316472000
bhs,2010,1293291069.33
bhs,2011,1452023810.06
bhs,2012,1519464148.14
bhs,2013,1383011716.82
bhs,2014,1470009882.33
bhs,2015,1731530527.16
bhs,2016,1989289602.88
bhs,2017,2070254020.71
bhs,2018,2039754000
bhs,2019,2426273000
bih,2005,6267775009.68
bih,2006,7624921959.88
bih,2007,8710785704.82333
bih,2008,9666317147.12
bih,2009,9264138858.4
bih,2010,9732582621.32
bih,2011,10187069050.35
bih,2012,10353060580.27
bih,2013,10296077064.01
bih,2014,10783942838.4
bih,2015,11032190843.77
bih,2016,11405867429.2617
bih,2017,12144269621.81
bih,2018,13009103893.04
bih,2019,13440140314.01
blr,1992,2910
blr,1993,37430
blr,1994,593700
blr,1995,3645320
blr,1996,5857230
blr,1997,11675990
blr,1998,20437410
blr,1999,86883950
blr,2000,261969000
blr,2001,489027000
blr,2002,694435000
blr,2003,1072188640
blr,2004,1571529800
blr,2005,2197873400
blr,2006,2944934800
blr,2007,3716700451.5
blr,2008,5047794472.7
blr,2009,4845246583
blr,2010,5167742833.1
blr,2011,8622330000
blr,2012,15902550000
blr,2013,19263522390
blr,2014,22499252230
blr,2015,26682430999.87
blr,2016,27480754810.51
blr,2017,31161016959
blr,2018,37732346430.5
blr,2019,39882191771.02
blz,1990,209747000
blz,1991,213883000
blz,1992,242434000
blz,1993,245624000
blz,1994,254601000
blz,1995,259900000
blz,1996,285649000
blz,1997,287957000
blz,1998,302143000
blz,1999,337386000
blz,2000,338790000
blz,2001,362348000
blz,2002,397172000
blz,2003,424300000
blz,2004,455430000
blz,2005,524004000
blz,2006,583886000
blz,2007,666013000
blz,2008,685392000
blz,2009,673486000
blz,2010,762287075
blz,2011,784598672
blz,2012,784714816.33929
blz,2013,869628169.62861
blz,2014,955907621.09496
blz,2015,973650577.5553
blz,2016,1003476582.5081
blz,2017,1078950899.24
bol,1985,232500000
bol,1986,1000500000
bol,1987,1163600000
bol,1988,1350400000
bol,1989,1618500000
bol,1990,2111900000
bol,1991,2841300000
bol,1992,3339900000
bol,1993,3923700000
bol,1994,4528600000
bol,1995,5233800000
bol,1996,6444200000
bol,1997,7070100000
bol,1998,8279900000
bol,1999,8619200000
bol,2000,9244300000
bol,2001,9095040000
bol,2002,10416540714.81
bol,2003,11635395868.72
bol,2004,14094000000
bol,2005,17694210367.11
bol,2006,21289078629.731
bol,2007,23965710532.4254
bra,2010,1126891537021.33008
bra,2011,1273568313065.26001
bra,2012,1428349107996.29004
bra,2013,1527591049551.55005
bra,2014,1581798754487.71997
bra,2015,1753866058299.15991
bra,2016,1860127036365.82007
bra,2017,1832431329119.82007
bra,2018,2002056769577.83008
bra,2019,2156420800982.20972
brb,2003,1818418000
brb,2004,1971500000
brb,2005,2137389818.94
brb,2006,2221145657.74
brb,2007,2529372113.81
brb,2008,2614944013
brb,2009,2496171944
brb,2010,2407592738
brb,2011,2582347326
brb,2012,2393472549
brb,2013,2313420378
brb,2014,2339787806
brb,2015,2519142935
brb,2016,2863097499
btn,1982,137300000
btn,1984,274400000
btn,1985,264600000
btn,1986,338500000
btn,1988,831600000
btn,1989,818200000
btn,1990,892800000
btn,1991,976400000
btn,1992,1108900000
btn,1993,1450400000
btn,1994,1562500000
btn,1995,1791200000
btn,1996,2046700000
btn,1997,2357700000
btn,1998,3063804000
btn,1999,3570600000
btn,2000,4514100000
btn,2001,4899613000
btn,2002,5043532000
btn,2003,4746260000
btn,2004,5004099000
btn,2005,6066101000
btn,2006,6902907000
btn,2007,10082155000
btn,2008,12345984000
btn,2009,14049039000
btn,2010,15572506347
btn,2011,17382525127
btn,2012,20294075181
btn,2013,21050400302
btn,2014,23189092829
btn,2015,25225085109.54
btn,2016,27277322653.18
btn,2017,29787727000
btn,2018,37087317722.05
bwa,1990,3581760000
bwa,1991,3957500000
bwa,1992,4476200000
bwa,1993,5045200000
bwa,1994,4334500000
bwa,1995,5364300000
bwa,1996,7225900000
bwa,2006,26916390000
bwa,2007,27957230000
bwa,2008,29724970000
bwa,2009,29150680000
bwa,2010,31509260000
bwa,2011,37847100000
bwa,2012,41084396943.18
bwa,2013,48556366092.5167
bwa,2014,55463380000
bwa,2015,48407600000
bwa,2016,57174690000
bwa,2017,55961397000
bwa,2018,53347300000
bwa,2019,54202520000
caf,2004,55786642457.7154
caf,2008,83518663308.907
caf,2009,88578974194.60001
caf,2010,97611736933.05
caf,2011,99095604172.00009
caf,2012,122441279527
caf,2014,42861467178.693
caf,2015,56778389997
caf,2016,78953155467
caf,2017,86617602604.714
caf,2018,108781783355.584
can,1990,136974000000
can,1991,143343000000
can,1992,148120000000
can,1993,147393000000
can,1994,151100000000
can,1995,161237000000
can,1996,169552000000
can,1997,186843000000
can,1998,194374000000
can,1999,207550000000
can,2000,230744000000
can,2001,230740000000
can,2002,230676000000
can,2003,239218000000
can,2004,249651000000
can,2005,263413000000
can,2006,277342000000
can,2007,294946000000
can,2008,291985000000
can,2009,277239000000
can,2010,281498000000
can,2011,300269000000
can,2012,309169000000
can,2013,322481000000
can,2014,338718000000
can,2015,355312000000
can,2016,361863000000
can,2017,385539000000
can,2018,414146000000
can,2019,433976000000
che,1972,17485000000
che,1973,21031000000
che,1974,24091000000
che,1975,25142000000
che,1976,28006000000
che,1977,28625000000
che,1978,30482000000
che,1979,31056000000
che,1980,33487000000
che,1981,35853000000
che,1982,38841000000
che,1983,40759000000
che,1984,44205000000
che,1990,53547100687.88
che,1991,55917715809.17
che,1992,58397424499.48
che,1993,60744227717.71
che,1994,64082689893.29
che,1995,67374125532.35
che,1996,69415834127.17999
che,1997,70186717691.34
che,1998,75300539420.05998
che,1999,75499252493.19998
che,2000,84983577374.42
che,2001,82809250164.03998
che,2002,82992926704.13
che,2003,82884409337.91
che,2004,83952453770.72998
che,2005,87586574383.63
che,2006,92524492471.45
che,2007,96657393184.74001
che,2008,105927614845.84
che,2009,103924386880.46001
che,2010,106603585753.07001
che,2011,109911267752.19
che,2012,110463849352.23
che,2013,113665084695.08
che,2014,114023632179
che,2015,118534455915.22
che,2016,118274793271.7
che,2017,124268768738.07001
che,2018,125401027423.75999
che,2019,128346307910.13
chl,1972,70000000
chl,1973,320000000
chl,1974,2510000000
chl,1975,11330000000
chl,1976,37790000000
chl,1977,85530000000
chl,1978,147490000000
chl,1979,240750000000
chl,1980,344030000000
chl,1981,388150000000
chl,1982,359580000000
chl,1983,429040000000
chl,1984,544110000000
chl,1985,745900000000
chl,1986,914330000000
chl,1987,1144140000000
chl,1988,1317350000000
chl,1989,1595250000000
chl,1990,1903070000000
chl,1991,2676630000000
chl,1992,3472410000000
chl,1993,4156530000000
chl,1994,4804030000000
chl,1995,5732080000000
chl,1996,6617150000000
chl,1997,7334380000000
chl,1998,7707670000000
chl,1999,7730610000000
chl,2000,8774620000000
chl,2001,9462280000000
chl,2002,9770500000000
chl,2003,10582740000000
chl,2004,12829110000000
chl,2005,15744000000000
chl,2006,20061000000000
chl,2007,23533724278199.60156
chl,2008,22998794000000
chl,2009,18377299854757.69531
