global,time,ne_imp_gnfs_kd_zg
world,1971,5.51896
world,1972,8.23489
world,1973,11.41086
world,1974,6.92696
world,1975,-2.54987
world,1976,8.90448
world,1977,5.41791
world,1978,2.38338
world,1979,6.90214
world,1980,1.7229
world,1981,1.24204
world,1982,-3.26618
world,1983,2.06505
world,1984,6.84323
world,1985,3.78687
world,1986,5.07835
world,1987,6.58624
world,1988,7.74152
world,1989,8.63056
world,1990,6.03318
world,1991,0.59168
world,1992,2.9328
world,1993,1.71263
world,1994,8.68634
world,1995,9.32985
world,1996,6.993
world,1997,9.8419
world,1998,5.14097
world,1999,5.30219
world,2000,12.52232
world,2001,0.83759
world,2002,3.12131
world,2003,5.77877
world,2004,10.26267
world,2005,8.35662
world,2006,9.13778
world,2007,7.63782
world,2008,3.24739
world,2009,-11.56784
world,2010,11.78866
world,2011,6.52814
world,2012,2.2455
world,2013,2.5164
world,2014,3.275
world,2015,2.47456
world,2016,2.0431
world,2017,6.10798
world,2018,4.54425
world,2019,1.72386
world,2020,-9.31133
