global,time,it_net_secr_p6
world,2010,187.28303
world,2011,238.8867
world,2012,324.98262
world,2013,370.53533
world,2014,449.98824
world,2015,572.70726
world,2016,1265.8664
world,2017,3514.24687
world,2018,6163.29646
world,2019,9975.8071
world,2020,11499.74748
