geo,time,bn_kac_eoms_cd
abw,1986,7106145.2514
abw,1987,10893854.7486
abw,1988,-12849162.01117
abw,1989,20391061.45251
abw,1990,-2402234.63687
abw,1991,3575418.99441
abw,1992,2905027.93296
abw,1993,111731.84358
abw,1994,-8882681.56425
abw,1995,1452513.96648
abw,1996,14078212.2905
abw,1997,-2905027.93296
abw,1998,-2960893.85475
abw,1999,-17105099.37011
abw,2000,14283646.92737
abw,2001,-7033519.55307
abw,2002,12435186.59218
abw,2003,19856741.20221
abw,2004,4769267.08534
abw,2005,26711321.22462
abw,2006,3501114.62294
abw,2007,4469273.74302
abw,2008,-8603351.95531
abw,2009,-118996615.11872
abw,2010,10949720.67039
abw,2011,-1117318.43575
abw,2012,12402234.63687
abw,2013,-1196356.42458
abw,2014,-40759133.51955
abw,2015,1207357.5419
abw,2016,-10385242.53304
abw,2017,-12981699.96339
abw,2018,-8116530.06235
abw,2019,-2099717.95828
abw,2020,-14460154.51383
afg,1979,-22700000
afg,1980,-21000000
afg,1981,97400000
afg,1982,-78100000
afg,1983,-100500000
afg,1984,201300000
afg,1985,169500000
afg,1986,217510000
afg,1987,212800000
afg,1988,-46400000
afg,1989,184600000
afg,2008,62590097.39763
afg,2009,-882950635.95769
afg,2010,-214820778.88787
afg,2011,1693461516.38369
afg,2012,3631360717.34302
afg,2013,2881829821.32656
afg,2014,1720134830.08805
afg,2015,2620663333.25993
afg,2016,2108349862.57011
afg,2017,2721680185.58145
afg,2018,3102608524.41844
afg,2019,2657973939.81869
afg,2020,2997399104.44023
ago,1985,-655000000
ago,1986,-204000000
ago,1987,-834000000
ago,1988,-257000000
ago,1989,-678000000
ago,1990,-19200000
ago,1991,26900000
ago,1992,42985000
ago,1993,-377100000
ago,1994,-244500000
ago,1995,-19376000
ago,1996,149157000
ago,1997,-181840000
ago,1998,378220000
ago,1999,-78750000
ago,2000,-50470000
ago,2001,-309130000
ago,2002,-67576614.74
ago,2003,-821891454.5
ago,2004,282215634.53375
