geo,time,nv_ind_manf_kd
afg,2002,1472778213.79333
afg,2003,1527239341.24595
afg,2004,1590784299.46187
afg,2005,1642954664.57704
afg,2006,1695440626.46062
afg,2007,1772366018.37758
afg,2008,1813949897.66742
afg,2009,1910021948.66242
afg,2010,1983374267.98355
afg,2011,2044014572.50041
afg,2012,2167389385.71732
afg,2013,2216932915.364
afg,2014,2176218886.35898
afg,2015,2185128132.42322
afg,2016,2208901005.04735
afg,2017,2609219448.25031
afg,2018,3207280202.0111
afg,2019,3414138115.93866
afg,2020,3293379627.81028
ago,2002,2895911915.0177
ago,2003,3050891579.65875
ago,2004,3556595224.4037
ago,2005,3774447177.18833
ago,2006,4021610427.66519
ago,2007,4102708466.70089
ago,2008,4345367450.52314
ago,2009,4640992851.55721
ago,2010,5084443094.06889
ago,2011,5546166450.8871
ago,2012,6076520286.61527
ago,2013,6545886125.54146
ago,2014,5896734125.78068
ago,2015,6605777275.99456
ago,2016,7374564946.18631
ago,2017,7461550299.23414
ago,2018,7817043329.46732
ago,2019,7878253262.79066
ago,2020,8105146005.92511
alb,1996,215765607.57252
alb,1997,146053245.08325
alb,1998,206509632.45275
alb,1999,233271826.84542
alb,2000,249456756.63998
alb,2001,263819453.31635
alb,2002,274842391.16058
alb,2003,327893415.82994
alb,2004,347636702.96964
alb,2005,395908297.33643
alb,2006,447489505.3595
alb,2007,504116941.30531
alb,2008,478764221.95454
alb,2009,492619220.63839
alb,2010,549646956.5762
alb,2011,607200206.63449
alb,2012,512129343.21114
alb,2013,562549543.74353
alb,2014,615279813.52233
alb,2015,645807416.06377
alb,2016,675133790.66812
alb,2017,759059707.51481
alb,2018,806570989.95835
alb,2019,851083649.06448
alb,2020,802335733.02119
are,2001,18834711805.5135
are,2002,19380315340.70169
are,2003,20211268635.7144
are,2004,21811317992.5276
are,2005,23244846287.8924
are,2006,24932553296.7543
are,2007,25399506151.2365
are,2008,28007447132.1188
are,2009,24071650149.7965
are,2010,24647332031.128
are,2011,26720423281.67369
are,2012,27231712816.4725
are,2013,28866711052.3121
are,2014,29969539600.4921
are,2015,31635125936.01089
are,2016,33227174922.385
are,2017,35944465683.1262
are,2018,35638278871.3677
are,2019,36418165687.53169
are,2020,36488071117.19
arg,1965,37807838779.5161
arg,1966,38138148570.4963
arg,1967,40252123967.6316
arg,1968,42520068232.4657
arg,1969,47430479719.198
arg,1970,46210706132.7971
arg,1971,49060049838.3294
arg,1972,51019792312.3899
arg,1973,53043360354.68089
arg,1974,56159185564.3205
arg,1975,54725565936.2878
arg,1976,53065336240.4343
arg,1977,57211695369.5956
arg,1978,51191524616.1685
arg,1979,56282357419.246
arg,1980,57530318238.6855
arg,1981,50585920820.1659
arg,1982,49161817405.1974
arg,1983,52513621577.2941
arg,1984,53813287125.2344
arg,1985,48727968695.2818
arg,1986,53625751966.0194
arg,1987,54204387632.9678
arg,1988,51551148679.0844
arg,1989,47691380171.8608
arg,1990,45112679993.1416
arg,1991,49793646467.2034
arg,1992,54866978634.7719
arg,1993,56804377641.0399
arg,1994,59360367902.77609
arg,1995,55107442936.30409
arg,1996,58662907786.2065
arg,1997,64031404788.7967
arg,1998,65215189236.8529
arg,1999,60044363410.4194
arg,2000,57748736303.0067
arg,2001,53497281607.2143
arg,2002,47636536297.7045
arg,2003,55242751606.904
arg,2004,61858654534.9825
arg,2005,66450520964.1895
arg,2006,72497376415.56281
arg,2007,77959305197.549
arg,2008,80782289948.48689
arg,2009,74917637563.82649
arg,2010,83089610067.77631
arg,2011,89459765618.19478
arg,2012,86853510751.1501
arg,2013,88159380793.3244
arg,2014,83703763913.6824
arg,2015,84344878153.7785
arg,2016,79620603665.3784
arg,2017,81670094128.59579
arg,2018,77745909363.68689
arg,2019,72909811952.31812
arg,2020,67251536416.1581
arm,1990,840702427.77005
arm,1991,807074358.07069
arm,1992,325250954.80576
arm,1993,354198306.25578
arm,1994,388201346.39406
arm,1995,398294580.02741
arm,1996,402674287.29434
arm,1997,407909773.5527
arm,1998,398828243.97149
arm,1999,420364970.83732
arm,2000,448109058.76611
arm,2001,492217502.94644
arm,2002,577121203.41954
arm,2003,675134573.80159
arm,2004,657963579.31886
arm,2005,716116081.17703
arm,2006,712812232.34971
arm,2007,724180245.129
arm,2008,730697867.29126
arm,2009,678732571.33532
arm,2010,760859212.36096
arm,2011,865096924.50592
arm,2012,900565898.33295
arm,2013,969909472.50459
arm,2014,1028104040.78319
arm,2015,971558318.64986
arm,2016,1079401291.91764
arm,2017,1206770644.38722
arm,2018,1341928956.51559
arm,2019,1469412207.38457
arm,2020,1416513367.91872
asm,2002,112800000
asm,2003,111009523.80952
asm,2004,105638095.2381
asm,2005,117276190.47619
asm,2006,113695238.09524
asm,2007,118171428.57143
asm,2008,118171428.57143
asm,2009,94000000
asm,2010,83257142.85714
asm,2011,76095238.09524
asm,2012,79676190.47619
asm,2013,78780952.38095
asm,2014,81466666.66667
asm,2015,94000000
asm,2016,93104761.90476
asm,2017,74304761.90476
asm,2018,86838095.2381
asm,2019,82361904.7619
atg,1977,9327954.33032
atg,1978,11217462.87224
atg,1979,12971437.45036
atg,1980,15411055.80794
atg,1981,18783470.41627
atg,1982,18783470.41627
atg,1983,19190073.47587
atg,1984,19963416.80197
atg,1985,20561362.20298
atg,1986,21382541.11443
atg,1987,22235610.61081
atg,1988,22705994.84027
atg,1989,23383666.41157
atg,1990,24087762.09434
atg,1991,22761883.82193
atg,1992,21400960.30884
atg,1993,20332080.46809
atg,1994,20735100.73592
atg,1995,19701266.13584
atg,1996,20495624.9246
atg,1997,21728049.22186
atg,1998,22919587.40499
atg,1999,23947581.13162
atg,2000,24666008.56557
atg,2001,25133278.44131
atg,2002,26470838.46061
atg,2003,26856336.1081
atg,2004,28147169.13982
atg,2005,29519774.39981
atg,2006,33187842.92436
atg,2007,36219256.24321
atg,2008,32913321.87236
atg,2009,36406164.19351
atg,2010,33199524.67125
atg,2011,34116541.80239
atg,2012,29391275.18398
atg,2013,34005565.2069
atg,2014,35325602.60586
atg,2015,35862962.96296
atg,2016,38158426.22753
atg,2017,37223886.47605
atg,2018,39688735.07058
atg,2019,38210994.08855
atg,2020,31581602.72651
aus,1975,54464010293.2922
aus,1976,53883088442.7199
aus,1977,55214182912.0339
aus,1978,54975458029.4196
aus,1979,57238540353.1506
aus,1980,59705610502.2734
aus,1981,60929537454.6243
aus,1982,62440229900.642
aus,1983,57304319035.9762
aus,1984,58174223639.187
aus,1985,61146089747.5222
aus,1986,61534849153.8848
aus,1987,63218487799.6912
aus,1988,67434975277.4461
aus,1989,71318873909.4534
aus,1990,70479271845.5219
aus,1991,68927190565.3667
aus,1992,66882138707.1813
aus,1993,68310792571.2479
aus,1994,71358045484.6192
aus,1995,72873911534.9041
aus,1996,74515422260.24921
aus,1997,75655832458.0013
aus,1998,78148031542.13609
aus,1999,79981704711.69078
aus,2000,81030468205.2814
aus,2001,82894443914.11539
aus,2002,85142005425.0448
aus,2003,88719183232.6405
aus,2004,89948283789.25859
aus,2005,89155244163.73169
aus,2006,88562496931.9772
aus,2007,90271264512.7957
aus,2008,93897222017.7677
aus,2009,88980080704.97139
aus,2010,89365144679.71461
aus,2011,89137506091.9585
aus,2012,90163357909.50867
aus,2013,87218098908.8333
aus,2014,86405843038.88541
aus,2015,85083617605.45798
aus,2016,83273595198.2675
aus,2017,82817578936.4315
aus,2018,84651991192.31009
aus,2019,83884080501.79518
aus,2020,82734062181.8326
aut,1976,23921504003.5929
aut,1977,25020669577
aut,1978,25488348122.1175
aut,1979,26777448988.2449
aut,1980,27711939548.91249
aut,1981,27713852349.13589
aut,1982,27692949126.2765
aut,1983,28853293240.4726
aut,1984,28989534766.364
aut,1985,30684701817.2797
aut,1986,31838918091.7808
aut,1987,31446431235.26089
aut,1988,32998035084.71989
aut,1989,34194963167.4586
aut,1990,36387905410.1629
aut,1991,37368038002.6121
aut,1992,37176822332.016
aut,1993,36381222814.0226
aut,1994,37730604625.0105
aut,1995,39933099773.7031
aut,1996,40299250122.7383
aut,1997,41413067923.3789
aut,1998,42585523480.289
aut,1999,44467656767.4297
aut,2000,47342382476.7812
aut,2001,48634854043.0703
aut,2002,47978455121.8476
aut,2003,48298205641.7969
aut,2004,49761042912.4414
aut,2005,51984251557.289
aut,2006,56105282001.5508
aut,2007,60473068112.68751
aut,2008,61130709688.3476
aut,2009,52128410567.16791
aut,2010,56360625298.1992
aut,2011,60435644242.8867
aut,2012,61667658451.7656
aut,2013,61828149491.39449
aut,2014,63211401402.39449
aut,2015,63751123948.039
aut,2016,66528445520.7226
aut,2017,68673966072.9687
aut,2018,71645629923.5742
aut,2019,72107242761.7187
aut,2020,67061843842.8906
aze,1992,5464674876.07791
aze,1993,4389657007.33142
aze,1994,3135469138.81888
aze,1995,2508375098.07012
aze,1996,2239620843.86849
aze,1997,2257537779.9496
aze,1998,1993405938.92591
aze,1999,1812005986.34351
aze,2000,1048557252.88746
aze,2001,1091548059.57571
aze,2002,1181001754.21411
aze,2003,1346491089.29515
aze,2004,1487700135.83148
aze,2005,1730290036.29133
aze,2006,1886016139.55755
aze,2007,2078242696.74956
aze,2008,2225858944.89507
aze,2009,1945136966.45804
aze,2010,2076935247.16198
aze,2011,2218157346.57633
aze,2012,2321739699.07871
aze,2013,2370338436.85767
aze,2014,2458375713.27553
aze,2015,2648740972.08667
aze,2016,2616956080.42163
aze,2017,2588169563.53699
aze,2018,2753812415.60335
aze,2019,3040208906.82611
aze,2020,3356390633.13603
bdi,1997,339565108.26706
bdi,1998,334166023.04653
bdi,1999,349504243.58496
bdi,2000,327729598.65743
bdi,2001,307311547.19337
bdi,2002,288165571.20455
bdi,2003,270212418.7334
bdi,2004,253377774.86633
bdi,2005,247861942.87337
bdi,2006,263725107.21727
bdi,2007,271636860.43379
bdi,2008,252622280.27246
bdi,2009,254643258.52569
bdi,2010,251254805.56615
bdi,2011,248742257.35859
bdi,2012,242772443.2607
bdi,2013,267049687.5695
bdi,2014,288413662.54054
bdi,2015,269320542.93843
bdi,2016,272575189.28513
bel,1995,43851277976.1718
bel,1996,45100700442.3046
bel,1997,47931289728.8671
bel,1998,49373878389.2578
bel,1999,49736356250.62489
bel,2000,52551301405.4296
bel,2001,52924097736.6796
bel,2002,53145556509.6484
bel,2003,53039376126.0156
bel,2004,55739264794.06249
bel,2005,57214805987.3046
bel,2006,55886830008.5156
bel,2007,59431834645.3515
bel,2008,57446028473.7109
bel,2009,52440128213.789
bel,2010,55636745802.9687
bel,2011,55708642238.2812
bel,2012,54832459908.5546
bel,2013,55400419557.2656
bel,2014,57127154468.9453
bel,2015,58685798177.6953
bel,2016,57720854816.7187
bel,2017,58606689908.5937
bel,2018,58534904424.5703
bel,2019,60647084114.4531
bel,2020,58410749932.1093
ben,1971,323934799.38296
ben,1972,339847367.45459
ben,1973,318251583.92411
ben,1974,383038795.6015
ben,1975,336437536.56401
ben,1976,279606761.38442
ben,1977,348940157.91975
ben,1978,320524827.67017
ben,1979,286426562.84289
ben,1980,283016708.10032
ben,1981,265967506.32506
ben,1982,433049443.02725
ben,1983,384175172.46678
ben,1984,360306634.06085
ben,1985,403497712.06039
ben,1986,386448510.47595
ben,1987,416000473.28426
ben,1988,454645319.67594
ben,1989,460845558.92682
ben,1990,501019957.22866
ben,1991,522559507.87172
ben,1992,624720286.65874
ben,1993,585335716.29249
ben,1994,632522423.017
ben,1995,659028584.00806
ben,1996,743444891.22932
ben,1997,774893141.15401
ben,1998,780391256.63447
ben,1999,811349657.99899
ben,2000,897354737.22864
ben,2001,980003664.67714
ben,2002,1005546017.78009
ben,2003,1016423144.70434
ben,2004,1017052017.06935
ben,2005,1084413411.64256
ben,2006,1117752582.87344
ben,2007,1071702139.18297
ben,2008,938044247.94029
ben,2009,945427570.86844
ben,2010,941843132.33314
ben,2011,945311635.57825
ben,2012,948527107.29507
ben,2013,990273225.81742
ben,2014,1075686889.31562
ben,2015,1142878261.71234
ben,2016,1216384926.0764
ben,2017,1209537780.62917
ben,2018,1255414742.46873
ben,2019,1396734307.5247
ben,2020,1443765376.26031
bfa,1970,193890169.00359
bfa,1971,199689855.40773
bfa,1972,218353915.35083
bfa,1973,229549531.97534
bfa,1974,233281313.13707
bfa,1975,244481830.30071
bfa,1976,253813733.59377
bfa,1977,257545475.42915
bfa,1978,266877652.09988
bfa,1979,276438289.5642
bfa,1980,301967785.07334
bfa,1981,277119631.81857
bfa,1982,307699329.41061
bfa,1983,309611230.38373
bfa,1984,306745633.87277
bfa,1985,311810577.61441
bfa,1986,327418790.20533
bfa,1987,349131551.54642
bfa,1988,342954174.69758
bfa,1989,346134786.42485
bfa,1990,398224615.53709
bfa,1991,386088346.35715
bfa,1992,409514557.30663
bfa,1993,436069326.26672
bfa,1994,403624118.90698
bfa,1995,424894542.85157
bfa,1996,417747128.31292
bfa,1997,511003211.03253
bfa,1998,536080294.08078
bfa,1999,681098907.71783
bfa,2000,635409777.07309
bfa,2001,678143700.80971
bfa,2002,719555802.76913
bfa,2003,796870401.92202
bfa,2004,816400503.74511
bfa,2005,854924984.23154
bfa,2006,926309750.805
bfa,2007,1001111231.3914
bfa,2008,972135552.79775
bfa,2009,1007938547.22429
bfa,2010,1029942530.569
bfa,2011,1107576137.61703
bfa,2012,1103676861.43559
bfa,2013,1141859330.76088
bfa,2014,1291187282.66034
bfa,2015,1375053978.12662
bfa,2016,1411311717.95145
bfa,2017,1351301311.86511
bfa,2018,1448491864.58928
bfa,2019,1507133759.70063
bfa,2020,1553661348.88738
bgd,1960,1485025196.31215
bgd,1961,1607237832.3297
bgd,1962,1719818886.34123
bgd,1963,1813881851.65345
bgd,1964,1903501503.07068
bgd,1965,1984979478.86143
bgd,1966,2105119649.0974
bgd,1967,2104516729.02557
bgd,1968,2414118181.95142
bgd,1969,2490216372.08091
bgd,1970,2578576919.26761
bgd,1971,2158683936.80872
bgd,1972,1175523174.06044
bgd,1973,1939187349.35465
bgd,1974,2765033482.27017
bgd,1975,2463126999.67498
bgd,1976,2446110155.29272
bgd,1977,2731325475.96541
bgd,1978,2763486498.28313
bgd,1979,3072720806.46188
bgd,1980,3144162382.31898
bgd,1981,3279952922.73128
bgd,1982,3305147964.55653
bgd,1983,3409905653.493
bgd,1984,3728803306.32586
bgd,1985,3933583286.93832
bgd,1986,4226155476.93179
bgd,1987,4568800614.96455
