geo,time,sh_sgr_crsk_zs
ago,2003,67.5
ago,2004,68.6
ago,2005,63.1
ago,2006,53.9
ago,2007,49.7
ago,2008,30.3
ago,2009,21.6
ago,2010,27.2
ago,2011,23.6
ago,2012,20.2
ago,2013,25.1
ago,2014,28.1
ago,2015,36.4
ago,2016,35.9
ago,2017,35.1
ago,2018,46.3
ago,2019,45.6
ago,2020,49.4
are,2014,4
are,2015,5.7
are,2016,7.1
are,2017,6.3
are,2018,5.6
are,2019,4.2
are,2020,2.8
arg,2003,17.8
arg,2004,13
arg,2005,15
arg,2006,11.1
arg,2007,9.7
arg,2008,6.1
arg,2009,5.2
arg,2010,4.2
arg,2011,2.8
arg,2012,1.6
arg,2013,1.6
arg,2014,1.7
arg,2015,1.7
arg,2016,2.1
arg,2017,1.6
arg,2018,1.8
arg,2019,1.8
arg,2020,2.2
arm,2003,61.6
arm,2004,54
arm,2005,43.1
arm,2006,33.9
arm,2007,30.7
arm,2008,34.1
arm,2009,39
arm,2010,42.7
arm,2011,36.9
arm,2012,34.4
arm,2013,37.5
arm,2014,38.1
arm,2015,42
arm,2016,41.5
arm,2017,38.2
arm,2018,35.7
arm,2019,32.9
arm,2020,25.3
aus,2003,0.8
aus,2004,0.6
aus,2005,0.7
aus,2006,0.6
aus,2007,0.5
aus,2008,0.7
aus,2009,0.9
aus,2010,0.6
aus,2011,0.7
aus,2012,0.6
aus,2013,0.6
aus,2014,0.6
aus,2015,0.6
aus,2016,0.5
aus,2017,0.5
aus,2018,0.5
aus,2019,0.5
aus,2020,0.4
aut,2003,0.3
aut,2004,0.4
aut,2005,0.2
aut,2006,0.3
aut,2007,0.4
aut,2008,0.4
aut,2009,0.4
aut,2010,0.3
aut,2011,0.3
aut,2012,0.3
aut,2013,0.3
aut,2014,0.3
aut,2015,0.4
aut,2016,0.4
aut,2017,0.3
aut,2018,0.3
aut,2019,0.2
aut,2020,0.2
aze,2003,77.9
aze,2004,75.6
aze,2005,69
aze,2006,59.4
aze,2007,38.1
aze,2008,37.6
aze,2009,28.7
aze,2010,42.9
aze,2011,31.5
aze,2012,27.2
aze,2013,30.8
aze,2014,24.8
aze,2015,30.2
aze,2016,29.9
aze,2017,31.8
aze,2018,33.1
aze,2019,29.8
aze,2020,28.1
bdi,2003,97
bdi,2004,95.9
bdi,2005,96.1
bdi,2006,96.3
bdi,2007,96.2
bdi,2008,96.2
bdi,2009,93.9
bdi,2010,90.6
bdi,2011,89.6
bdi,2012,85.9
bdi,2013,80
bdi,2014,91
bdi,2015,92.1
bdi,2016,88.5
bdi,2017,89.1
bdi,2018,90.3
bdi,2019,90.6
bel,2003,0.1
bel,2004,0.2
bel,2005,0.1
bel,2006,0.1
bel,2007,0.1
bel,2008,0.1
bel,2009,0.1
bel,2010,0.1
bel,2011,0.1
bel,2012,0
bel,2013,0
bel,2014,0.1
bel,2015,0
bel,2016,0
bel,2017,0
bel,2018,0
bel,2019,0
bel,2020,0
ben,2003,56.2
ben,2004,53.9
ben,2005,52.9
ben,2006,54.5
ben,2007,49.2
ben,2008,49
ben,2009,48.6
ben,2010,46.9
ben,2011,48.1
ben,2012,45.7
ben,2013,48.5
ben,2014,48.6
ben,2015,47.6
