global,time,se_prm_nenr_fe
world,1970,64.21323
world,1971,63.8255
world,1972,64.85866
world,1973,67.83525
world,1974,68.7001
world,1975,70.24341
world,1976,70.8253
world,1977,70.58396
world,1978,68.86952
world,1979,69.03861
world,1980,70.41066
world,1981,71.56029
world,1982,72.06261
world,1983,72.47761
world,1984,72.94341
world,1985,74.01937
world,1986,75.27758
world,1987,75.79281
world,1988,76.60216
world,1989,77.56444
world,1990,77.24896
world,1991,77.75459
world,1992,77.6501
world,1993,77.9925
world,1994,78.25015
world,1995,77.97821
world,1996,77.91187
world,1997,78.14253
world,1998,78.88847
world,1999,79.89925
world,2000,80.68304
world,2001,81.01112
world,2002,81.39747
world,2003,83.53928
world,2004,84.72136
world,2005,85.44083
world,2006,86.01105
world,2007,87.16241
world,2008,87.62318
world,2009,87.85407
world,2010,87.88409
world,2011,88.06601
world,2012,88.19405
world,2013,88.20248
world,2014,88.33011
world,2015,88.17368
world,2016,88.33632
world,2017,88.17059
world,2018,88.2163
