global,time,se_prm_prsl_fe_zs
world,1970,67.92916
world,1971,67.35225
world,1972,67.10001
world,1973,66.52049
world,1974,66.78481
world,1975,67.45071
world,1976,68.52588
world,1977,69.89248
world,1978,69.59438
world,1979,69.73465
world,1980,69.31217
world,1981,69.61713
world,1982,70.10188
world,1983,70.4194
world,1984,70.2962
world,1985,71.02513
world,1986,71.94078
world,1987,73.3252
world,1988,73.37179
world,1989,73.42581
world,1990,74.65724
world,1991,74.83966
world,1992,75.15144
world,1993,75.73604
world,1994,76.01854
world,1995,76.96169
world,1996,77.00183
world,1997,77.23243
world,1998,77.54778
world,1999,77.4208
world,2000,77.14865
world,2001,78.67763
world,2002,77.22023
world,2003,76.19992
world,2004,75.82623
world,2005,75.13858
world,2006,75.68631
world,2007,76.49633
world,2008,78.47264
world,2009,78.30449
world,2010,78.08559
world,2011,78.32672
world,2012,76.91178
world,2013,76.94849
world,2014,81.69045
world,2015,82.2725
world,2016,81.00314
world,2017,82.86436
world,2018,82.36841
world,2019,84.54655
