global,time,sl_emp_totl_sp_ne_zs
world,2000,61.65415
world,2005,61.23
world,2010,58.70963
world,2011,60.60714
world,2012,58.90838
world,2013,60.85522
world,2014,60.5096
world,2015,60.93241
world,2017,60.01767
world,2018,57.2561
world,2019,57.03369
