geo,time,si_pov_mdim_ma
alb,2017,51.3
alb,2018,48
alb,2019,45.5
alb,2020,42.3
arm,2018,21.9
arm,2020,18.5
aut,2010,17.3
aut,2011,17.9
aut,2012,17.3
aut,2013,17.4
aut,2014,17.7
aut,2015,17.5
aut,2016,16.9
aut,2017,16.8
aut,2018,16.2
aut,2019,15.4
aut,2020,17
bel,2010,20
bel,2011,20.4
bel,2012,20.9
bel,2013,20.4
bel,2014,20.9
bel,2015,20
bel,2016,19.5
bel,2017,19.4
bel,2018,19
bel,2019,18.9
bel,2020,18.4
bgr,2010,47.3
bgr,2011,47.7
bgr,2012,47.6
bgr,2013,46.5
bgr,2014,38.8
bgr,2015,39.5
bgr,2016,38.5
bgr,2017,37.2
bgr,2018,30.8
bgr,2019,30.5
bgr,2020,29.8
chl,2011,24.7
chl,2013,21
chl,2015,21.4
chl,2017,21.3
col,2019,17.9
col,2020,18.3
cri,2010,32.19217
cri,2011,29.86519
cri,2012,23.08831
cri,2013,26.31938
cri,2014,26.69275
cri,2015,27.14384
cri,2016,26.1708
cri,2017,24.18169
cri,2018,24.528
cri,2019,21.41395
cyp,2010,22.8
cyp,2011,22.8
cyp,2012,25.1
cyp,2013,26.8
cyp,2014,26
cyp,2015,28.1
cyp,2016,26.6
cyp,2017,24
cyp,2018,23.1
cyp,2019,21.2
cyp,2020,20.2
cze,2010,12.7
cze,2011,13.7
cze,2012,13.7
cze,2013,13.1
cze,2014,13.3
cze,2015,12.3
cze,2016,12
cze,2017,10.5
cze,2018,10
cze,2019,10.4
cze,2020,9.5
deu,2010,18.6
deu,2011,18.5
deu,2012,18.1
deu,2013,18.8
deu,2014,19.5
deu,2015,18.8
deu,2016,18.1
deu,2017,17.6
deu,2018,17.6
deu,2019,16.3
deu,2020,23.2
dnk,2010,17.7
dnk,2011,17.2
dnk,2012,17.4
dnk,2013,18.1
dnk,2014,17.6
dnk,2015,17.5
dnk,2016,16.4
dnk,2017,17.8
dnk,2018,17.1
dnk,2019,16.6
dnk,2020,15.6
dom,2010,36.4
dom,2011,35.01
dom,2012,35.8
dom,2013,34.7
dom,2014,30.2
dom,2015,26.4
dom,2016,23.7
dom,2017,22.1
dom,2018,19.6
dom,2019,17.2
esp,2010,25.5
esp,2011,26.1
esp,2012,27.3
esp,2013,27.9
esp,2014,29.4
esp,2015,29
esp,2016,28
esp,2017,26
esp,2018,25.1
esp,2019,24.6
esp,2020,25.6
est,2010,21.5
est,2011,23.2
est,2012,22.3
est,2013,22.5
est,2014,24.5
est,2015,22.2
est,2016,21.9
est,2017,21
est,2018,21.8
est,2019,22
est,2020,21.6
fin,2010,16
fin,2011,17.3
fin,2012,17
fin,2013,15.7
fin,2014,16.9
fin,2015,16.8
fin,2016,16.6
fin,2017,15.6
fin,2018,16.2
fin,2019,15.4
fin,2020,16.2
fra,2010,18.4
fra,2011,18.6
fra,2012,18.4
fra,2013,17.3
fra,2014,17.5
fra,2015,17.1
fra,2016,17.3
fra,2017,16.5
fra,2018,17.2
fra,2019,17.3
fra,2020,17.7
grc,2010,26
grc,2011,29.6
grc,2012,33.9
grc,2013,34.6
grc,2014,35.3
grc,2015,34.8
grc,2016,34.4
grc,2017,33.9
grc,2018,30.9
grc,2019,29.2
grc,2020,28
gtm,2014,62.64
hrv,2010,30.1
hrv,2011,31.7
hrv,2012,31.8
hrv,2013,29.6
hrv,2014,28.6
hrv,2015,28.4
hrv,2016,27.3
hrv,2017,25.5
hrv,2018,23.6
hrv,2019,22.1
hrv,2020,22.2
hun,2010,29.4
hun,2011,31.1
hun,2012,32.9
hun,2013,34.4
hun,2014,31.4
hun,2015,28
hun,2016,26
hun,2017,24.9
hun,2018,18.9
hun,2019,18
hun,2020,17.7
irl,2010,26.5
irl,2011,29
irl,2012,29.9
irl,2013,29.4
irl,2014,27.4
irl,2015,25.7
irl,2016,23.3
irl,2017,21.8
irl,2018,19.6
irl,2019,19.6
irl,2020,19.9
isl,2010,13.5
isl,2011,13.3
isl,2012,12.6
isl,2013,12.8
isl,2014,10.9
isl,2015,11.9
isl,2016,11.8
isl,2017,12
isl,2018,10.8
ita,2010,23.1
ita,2011,26.3
ita,2012,27.8
ita,2013,27.1
ita,2014,27
ita,2015,27.7
ita,2016,29.1
ita,2017,27.8
ita,2018,26.1
ita,2019,24.5
kos,2018,57.3
