global,time,sh_hiv_incd_yg
world,1990,670000
world,1991,750000
world,1992,820000
world,1993,860000
world,1994,920000
world,1995,950000
world,1996,960000
world,1997,960000
world,1998,950000
world,1999,920000
world,2000,890000
world,2001,850000
world,2002,820000
world,2003,780000
world,2004,760000
world,2005,740000
world,2006,720000
world,2007,700000
world,2008,680000
world,2009,670000
world,2010,650000
world,2011,630000
world,2012,620000
world,2013,590000
world,2014,560000
world,2015,530000
world,2016,510000
world,2017,480000
world,2018,450000
world,2019,430000
world,2020,400000
