geo,time,bx_gsr_trvl_zs
abw,1986,72.90057
abw,1987,82.53491
abw,1988,83.62733
abw,1989,87.19987
abw,1990,85.03466
abw,1991,82.17705
abw,1992,77.88537
abw,1993,77.25886
abw,1994,72.5971
abw,1995,80.55676
abw,1996,80.42186
abw,1997,84.44688
abw,1998,83.02867
abw,1999,75.31344
abw,2000,51.51951
abw,2001,45.00182
abw,2002,68.11175
abw,2003,53.41951
abw,2004,84.33789
abw,2005,83.91654
abw,2006,81.27749
abw,2007,82.41504
abw,2008,84.29692
abw,2009,79.42255
abw,2010,80.18334
abw,2011,80.38818
abw,2012,79.57644
abw,2013,79.40433
abw,2014,78.6734
abw,2015,78.39256
abw,2016,85.27868
abw,2017,85.42721
abw,2018,86.01306
abw,2019,86.55032
abw,2020,79.08513
afg,1979,9.32091
afg,1980,2.80899
afg,1981,14.42006
afg,1982,3.06122
afg,1983,3.21932
afg,1984,2.39521
afg,1985,1.75
afg,2008,1.2916
afg,2009,2.10664
afg,2010,3.52069
afg,2011,3.27847
afg,2012,5.48855
afg,2013,15.69217
afg,2014,8.10478
afg,2015,9.45957
afg,2016,9.34396
afg,2017,0.43661
afg,2018,3.80407
afg,2019,11.11838
afg,2020,9.2268
ago,1990,12.25806
ago,1996,0.56938
ago,2002,17.86685
ago,2003,24.37805
ago,2004,20.38297
ago,2005,49.89993
ago,2006,5.04656
ago,2007,72.39726
ago,2008,86.4849
ago,2009,85.69859
ago,2010,83.91712
ago,2011,88.28442
ago,2012,90.5713
ago,2013,93.76878
ago,2014,94.50942
ago,2015,92.56077
ago,2016,87.61053
ago,2017,89.41948
ago,2018,86.18463
ago,2019,84.48296
ago,2020,24.19567
alb,1980,6.42202
alb,1981,8.33333
alb,1982,3.78788
alb,1983,3.84615
alb,1984,3.8961
alb,1985,4
alb,1986,6.875
alb,1987,8.96861
alb,1988,10.13514
alb,1989,8.20896
alb,1990,11.11111
alb,1991,1.08696
alb,1992,59.1133
alb,1993,73.32474
alb,1994,73.83059
alb,1995,65.89069
alb,1996,59.44272
alb,1997,319.57547
alb,1998,147.75096
alb,1999,70.85292
alb,2000,84.78119
alb,2001,81.35593
alb,2002,83.65636
alb,2003,69.97986
alb,2004,66.79878
alb,2005,67.41538
alb,2006,61.49041
alb,2007,65.49245
alb,2008,62.65924
alb,2009,68.79059
alb,2010,62.31641
alb,2011,58.00477
alb,2012,60.15563
alb,2013,64.54808
alb,2014,68.20076
alb,2015,66.68001
alb,2016,63.85716
alb,2017,59.92942
alb,2018,60.36185
alb,2019,61.15572
alb,2020,44.43808
and,2019,86.03896
arg,1976,25.21008
arg,1977,22.29232
arg,1978,25.66697
arg,1979,19.50329
arg,1980,18.33689
arg,1981,24.0676
arg,1982,38.75476
arg,1983,31.13402
arg,1984,29.11979
arg,1985,31.67777
arg,1986,35.19098
arg,1987,34.28094
arg,1988,31.46402
arg,1989,36.02371
arg,1990,36.91742
arg,1991,32.47508
arg,1992,49.81474
arg,1993,56.07959
arg,1994,58.06549
arg,1995,58.24988
arg,1996,59.69266
arg,1997,60.60611
arg,1998,62.40214
arg,1999,61.53283
arg,2000,59.26257
arg,2001,57.5712
arg,2002,44.88363
arg,2003,45.72864
arg,2004,43.23869
arg,2005,42.25882
arg,2006,42.36211
arg,2007,43.055
arg,2008,40.82641
arg,2009,37.82834
arg,2010,38.92607
arg,2011,37.46265
arg,2012,35.19122
arg,2013,33.07513
arg,2014,37.02529
arg,2015,37.28725
arg,2016,36.99828
arg,2017,34.62884
arg,2018,36.2583
arg,2019,35.49402
arg,2020,17.18785
arm,1995,4.8951
arm,1996,15.19488
arm,1997,19.30184
arm,1998,18.91753
arm,1999,22.3198
arm,2000,26.89533
arm,2001,33.678
arm,2002,32.78154
arm,2003,28.31298
arm,2004,49.44819
