geo,time,sl_tlf_0714_sw_fe_tm
afg,2011,9.2
ago,2001,12.5
alb,2010,12.6
arm,2010,3.5
aze,2005,13.4
bdi,2010,10.6
ben,2012,10.2
bfa,2010,15.9
bgd,2006,8.7
bgd,2013,31.69773
bih,2006,4
blr,2012,2.1
bol,2009,17.2
bol,2013,21.13202
bol,2015,22.89
bra,2011,18.2
bra,2013,16.15627
bra,2014,14.9604
bra,2015,13.04
caf,2010,14.3
chl,2012,7.7
civ,2012,9.1
cmr,2011,10.1
cod,2010,9.1
cod,2014,7.26804
cog,2012,6.8
col,2012,14.4
col,2014,12.52242
col,2015,13.3
cri,2011,7.6
cri,2016,8.9
dom,2009,10.7
dom,2012,16.64041
dom,2014,5.3475
dza,2013,2.9
ecu,2011,14.1
ecu,2015,10.63699
egy,2009,20.9
eth,2011,15.7
gab,2012,7.8
geo,2006,4.4
gha,2006,12.9
gin,2012,12.9
gmb,2008,13.5
gmb,2015,9.36
gnb,2006,12.4
gnb,2014,5.21654
gtm,2012,17.6
gtm,2014,26.94339
gtm,2015,17.91962
hnd,2013,16.4
hnd,2014,15.76629
hti,2012,5.5
idn,2010,14.9
irq,2011,7.4
jam,2011,1.9
jor,2007,15.9
jor,2016,12.38
kaz,2006,6.5
ken,2000,8.7
ken,2009,32.50059
kgz,2007,13.8
kgz,2014,13.17867
khm,2012,17.6
lao,2010,34.7
lbr,2010,22.6
lka,2009,7.6
lso,2000,8
mda,2009,6.5
mdg,2007,18.2
mex,2011,15
mex,2013,13.16137
mkd,2011,2.3
mli,2013,17
mng,2012,13.8
mng,2013,11.98012
moz,2008,12.7
mrt,2007,11.8
mrt,2011,16.23154
mwi,2011,9.3
mwi,2014,5.23668
mwi,2015,10.62
nam,1999,41.1
ner,2012,6.9
nga,2010,27.4
nga,2011,6.80526
nic,2010,15.1
nic,2012,12.29603
npl,2008,16.5
npl,2014,9.44932
pak,2011,21.7
pan,2012,14.7
pan,2014,8.44998
per,2015,10.76081
phl,2011,7
pry,2005,35.9
pry,2014,29.24757
rou,2000,10.7
rwa,2010,14
rwa,2011,11.90007
rwa,2014,11.5
sdn,2014,8.36009
sen,2011,36.8
sen,2015,14.307
sle,2013,8.2
slv,2012,20.7
slv,2013,19.06682
som,2006,26.8
srb,2005,3.7
srb,2014,3.67506
swz,2010,3.8
syr,2006,11.3
tcd,2010,6.3
tcd,2015,6.89756
tgo,2010,15.8
tgo,2014,8.14123
tha,2005,7.9
tjk,2005,13.1
tls,2007,21.9
tto,2006,6.3
tun,2012,5
tur,2006,12.5
tza,2014,13.72715
uga,2012,10.5
ukr,2012,3
ury,2009,9
uzb,2005,4.1
ven,2006,18.6
ven,2013,12.09874
vnm,2012,11.3
yem,2010,16.1
zmb,2008,4.3
