geo,time,se_ter_cuat_ba_zs
afg,2021,3.06798
ago,2014,2.6339
alb,2011,12.00263
alb,2012,12.89966
and,2004,16.31159
and,2005,17.19767
and,2006,17.99234
and,2014,21.25065
and,2015,21.12911
and,2016,21.04655
are,2016,31.69048
are,2017,46.56201
are,2018,47.29303
are,2019,46.63146
arm,2001,20.35655
arm,2011,24.42338
arm,2015,27.31002
arm,2017,24.38006
arm,2020,24.20972
aus,2013,26.74379
aus,2014,28.61513
aus,2015,29.78425
aus,2016,30.02981
aus,2017,31.39119
aus,2018,31.74933
aus,2019,33.09478
aus,2020,35.02341
aut,2014,11.87339
aut,2015,13.08167
aut,2016,13.45572
aut,2017,14.24863
aut,2019,15.36363
aze,1999,13.27771
aze,2007,24.92385
aze,2008,25.04154
aze,2013,15.66409
aze,2014,15.68145
aze,2015,15.68779
aze,2016,15.7419
aze,2017,15.71702
aze,2019,15.72203
bdi,2014,0.8055
bdi,2017,0.90862
bel,2013,30.24835
bel,2014,31.25902
bel,2015,31.70948
bel,2016,32.16696
bel,2017,34.68994
bel,2019,35.30401
bfa,2014,0
bfa,2018,2.14627
bgd,2011,5.69386
bgd,2012,5.87042
bgd,2013,5.50232
bgd,2014,5.85214
bgd,2015,8.23714
bgd,2016,8.5096
bgd,2017,8.97688
bgd,2018,9.36174
bgd,2019,9.76055
bgd,2020,14.10168
bgr,1975,5.48692
bgr,1992,15.03911
bgr,2001,18.04557
bgr,2006,19.50465
bgr,2007,19.81607
bgr,2008,20.18866
bgr,2009,20.53099
bgr,2010,20.71765
bgr,2011,20.80996
bgr,2012,21.51112
bgr,2013,22.91971
bgr,2014,24.06306
bgr,2015,24.47098
bgr,2016,24.62815
bgr,2017,24.71288
bgr,2020,26.05347
bhr,2001,11.21361
bhr,2010,9.47933
bhr,2016,14.282
bhr,2017,14.33981
bhr,2018,21.60513
bhr,2020,23.33376
bhs,2000,0.34115
bhs,2010,15.22788
bih,2010,5.72868
bih,2011,6.17053
bih,2014,7.82537
bih,2015,7.54916
bih,2016,8.37728
bih,2018,7.74765
bih,2020,10.59021
blr,1989,12.48125
blr,2009,21.95938
blr,2019,28.30354
blz,2020,7.88256
bmu,2000,27.55559
bmu,2010,28.32615
bmu,2016,31.10838
bol,2015,22.33324
bol,2019,24.7053
bra,2016,15.34518
bra,2017,15.73458
bra,2018,16.54339
brb,2000,1.05823
brn,2011,11.11403
btn,2012,4.54776
btn,2017,10.19937
can,2016,25.75444
chl,2011,10.36458
chl,2013,11.71538
chl,2015,13.10314
chl,2017,14.64373
chn,2010,3.57765
cod,2013,1.7356
cod,2016,3.47718
col,2007,9.69026
col,2008,9.9589
col,2009,9.19365
col,2010,9.47193
col,2011,9.52341
col,2012,9.46428
col,2013,10.07541
col,2014,10.51145
col,2015,10.30488
col,2016,10.90172
col,2018,11.7553
col,2019,12.06796
col,2020,12.84636
cpv,2015,6.92616
cri,2014,22.78627
cri,2015,21.30458
cri,2016,20.63399
cri,2018,21.30972
cri,2020,21.60569
cub,2012,14.1818
cym,2014,32.15751
cym,2015,29.86387
cyp,2013,24.88777
cyp,2014,25.96552
cyp,2015,25.54672
cyp,2016,26.61527
cyp,2018,28.56136
cyp,2020,29.79526
cze,2014,18.82673
cze,2015,19.3418
cze,2016,20.07845
cze,2017,20.73165
cze,2019,20.9109
deu,2014,24.18295
deu,2015,24.74205
deu,2016,25.58012
deu,2018,25.14988
dma,1970,1.1
dma,1981,1.70909
dma,2001,5.03387
dnk,2014,28.97827
dnk,2015,30.38373
dnk,2016,30.97983
dnk,2018,32.35884
dnk,2020,33.0905
dom,2016,18.12312
ecu,2007,10.16508
ecu,2008,9.77863
ecu,2009,9.97227
ecu,2010,10.26979
ecu,2011,9.62137
ecu,2012,10.94832
ecu,2013,11.51803
ecu,2014,10.42981
ecu,2015,12.08024
ecu,2016,11.71864
ecu,2017,12.16327
ecu,2020,11.94242
esp,2016,20.93539
esp,2018,21.93634
esp,2020,23.57801
est,2020,30.84651
fin,2012,21.13881
fin,2013,21.89092
fin,2014,22.50554
fin,2015,23.032
fin,2017,24.33615
fin,2019,25.93509
fji,2017,5.16891
fra,2014,16.39295
fra,2015,17.66307
fra,2016,17.4037
fra,2017,18.00167
fra,2019,19.70054
gbr,2013,28.38829
gbr,2014,29.33262
gbr,2017,33.92213
gbr,2020,37.27647
geo,2012,30.17271
geo,2014,30.86433
geo,2016,32.84663
geo,2017,34.01822
geo,2019,33.66769
gin,1996,2.12466
gin,2010,2.80615
gin,2014,4.42658
gin,2018,6.20742
gmb,2015,2.0478
grc,1981,7.6
grc,1991,8.7
grc,2010,20.03332
grc,2014,22.18606
grc,2015,22.92907
grc,2016,20.13872
grc,2020,26.04354
grl,2012,10.13577
grl,2014,10.3921
grl,2015,10.56648
grl,2018,10.80074
grl,2019,10.44041
gtm,2012,1.93862
gtm,2013,2.37331
gtm,2014,6.89062
gtm,2019,4.32202
hnd,2007,4.23246
hnd,2011,5.11813
hnd,2012,4.24901
hnd,2014,6.2695
hnd,2015,9.34937
hnd,2016,10.50295
hnd,2018,9.58257
hnd,2019,9.63499
hun,2013,19.42598
hun,2014,19.90176
hun,2015,20.67309
hun,2016,20.40754
hun,2020,24.08249
idn,2014,7.9665
idn,2015,8.48301
idn,2016,8.79403
idn,2018,9.37423
idn,2020,10.51708
ind,2011,9.13629
irl,2010,33.12117
irl,2011,26.8378
irl,2017,31.16192
irn,2012,14.8149
irn,2013,16.32008
irn,2014,16.86667
irn,2016,18.17661
isl,2019,36.14288
isl,2020,36.61831
isr,2013,31.39369
isr,2014,32.79112
isr,2015,33.20592
ita,2020,16.54598
jam,2011,6.81113
jor,2003,0.52524
jor,2018,22.84366
jor,2020,22.68585
jpn,2010,19.91314
kaz,1999,14.37341
kaz,2007,25.48385
kaz,2009,22.81248
kaz,2018,34.0811
kgz,2009,16.20259
kor,2010,24.35774
kor,2015,28.68217
kwt,2005,8.46145
kwt,2006,8.29893
kwt,2007,8.06836
kwt,2008,8.2803
kwt,2012,9.51938
kwt,2013,8.71184
kwt,2015,9.59108
kwt,2017,10.66725
kwt,2018,11.11633
lka,2016,4.06073
lka,2017,4.23796
lka,2018,4.38589
lka,2019,4.5188
ltu,2013,26.38527
ltu,2014,31.4951
ltu,2015,33.09735
ltu,2016,33.94253
ltu,2017,34.53947
ltu,2020,38.10346
lva,2013,27.69491
lva,2014,26.63438
lva,2015,27.69739
lva,2016,29.10619
lva,2018,30.02828
lva,2019,30.93531
mda,2013,19.03649
mda,2014,20.08584
mda,2015,19.37272
mda,2018,20.12304
mda,2019,20.05254
mdg,2018,2.755
mdv,2006,1.7416
mex,2010,12.76122
mex,2013,14.32261
mex,2014,13.95713
mex,2015,14.77965
mex,2016,14.71039
mex,2017,15.37426
mex,2018,16.01606
mex,2020,17.12847
mhl,2011,3.66325
mkd,2020,21.6757
mli,2015,3.21204
mli,2016,1.58951
mli,2018,2.24836
mli,2020,1.55984
mlt,2013,13.08807
mlt,2014,13.45735
mlt,2015,13.28486
mlt,2016,13.48767
mlt,2018,18.42499
mlt,2020,21.84101
mmr,2019,9.34653
mng,2000,12.2273
mng,2010,23.71332
mng,2020,32.60437
moz,1980,0.1
moz,2017,1.82752
mrt,2013,2.54436
mwi,1998,0.488
mys,2016,11.30654
mys,2019,12.38611
ner,2012,1.02336
nga,2006,9.03849
nld,2013,27.21899
nld,2014,28.01171
nld,2015,28.86907
nld,2016,29.40674
nld,2018,31.09321
nld,2020,34.77363
nld_curacao,2020,30.16695
nor,2014,25.72669
nor,2015,26.65009
nor,2016,27.32572
nor,2017,28.06982
nor,2019,29.28993
npl,2011,4.56312
nzl,2014,26.14629
nzl,2015,25.86413
nzl,2016,28.09575
nzl,2020,32.28327
omn,2010,12.32282
omn,2015,12.45843
omn,2020,17.09663
pan,2010,16.09158
pan,2019,19.62982
phl,2010,16.43481
phl,2013,16.99506
phl,2017,16.02393
phl,2019,24.41179
pol,2013,22.63151
pol,2014,23.7002
pol,2016,24.94622
pol,2020,28.01268
pri,2012,14.70888
pri,2017,7.58663
prt,1970,1.64108
prt,1981,3.47295
prt,1991,7.66813
prt,1998,6.87264
prt,1999,7.12214
prt,2000,7.25665
prt,2001,7.57332
prt,2002,7.69954
prt,2003,8.94607
prt,2004,10.2277
prt,2005,10.44759
prt,2006,11.07161
prt,2007,11.20875
prt,2008,11.59382
prt,2009,11.98344
prt,2010,12.66298
prt,2011,14.11663
prt,2012,15.23539
prt,2013,15.87279
prt,2014,17.48499
prt,2015,18.18253
prt,2016,18.99614
prt,2017,19.24945
prt,2018,18.65403
prt,2019,20.72377
prt,2020,22.5077
pry,2012,9.23254
pry,2013,12.1797
pry,2014,11.71026
pry,2015,12.80041
pry,2016,12.3527
pry,2018,13.02304
pry,2019,13.99211
pry,2020,14.18513
pse,2013,16.25624
pse,2014,16.59915
pse,2015,17.12459
pse,2016,17.58828
pse,2017,18.01772
pse,2018,19.08676
pse,2020,21.70869
qat,2004,20.86467
qat,2007,25.13266
qat,2008,21.15921
qat,2009,19.27185
qat,2011,18.79969
qat,2012,20.88371
qat,2013,20.51388
qat,2014,20.30606
qat,2016,18.88419
qat,2017,19.0258
rou,2014,13.01408
rus,2010,59.26088
rwa,2012,2.09758
rwa,2014,2.29277
rwa,2018,4.13283
sau,2004,14.92904
sau,2013,19.93607
sau,2017,25.97522
sau,2020,31.0515
sen,2011,2.0494
sen,2013,3.11661
sen,2017,2.76171
sgp,2006,19.59645
sgp,2007,20.09313
sgp,2008,21.80306
sgp,2009,22.54012
sgp,2010,23.68023
sgp,2011,24.5494
sgp,2012,25.67773
sgp,2013,27.33845
sgp,2014,27.74241
sgp,2015,28.21053
sgp,2016,29.12792
sgp,2017,30.70518
sgp,2018,31.59559
sgp,2019,32.36965
sle,2004,0.85118
slv,2013,6.05945
slv,2016,7.11731
slv,2017,6.6721
slv,2019,8.33702
smr,2018,15.76002
srb,2002,7.86825
srb,2011,11.80171
srb,2013,11.45818
srb,2014,12.64971
srb,2015,13.58381
srb,2016,14.51091
srb,2017,14.89724
srb,2019,15.51527
ssd,2008,3.77482
stp,1981,0.29424
stp,2012,3.25908
sur,2012,9.18143
svk,2011,18.56544
svk,2014,18.0584
svk,2015,18.92215
svk,2016,19.63664
svk,2017,20.68239
svk,2018,21.89076
svk,2019,22.85792
svn,2014,18.21731
svn,2015,18.81123
svn,2016,19.64331
svn,2017,20.68121
svn,2019,21.5091
swe,2013,22.03985
swe,2014,22.53532
swe,2015,22.99885
swe,2016,23.47823
swe,2017,23.93692
swe,2019,25.07959
tcd,2009,0.86416
tha,2013,13.12546
tha,2016,14.80998
tha,2018,14.939
tha,2019,15.62793
tjk,1989,11.7
tjk,2000,10.64699
tjk,2017,12.00837
tto,2008,9.83334
tto,2009,9.61272
tto,2011,5.79492
tza,2002,0.93039
tza,2012,1.92836
uga,2008,1.84215
uga,2010,2.95724
uga,2012,1.69885
ukr,2001,16.74689
ury,2013,7.1976
ury,2014,7.40842
ury,2015,10.50246
ury,2016,10.46406
ury,2017,11.33565
ury,2018,11.47318
ury,2019,11.84128
usa,2013,31.66066
usa,2014,31.9558
usa,2015,32.50076
usa,2016,33.43969
usa,2018,34.99247
usa,2020,37.52429
uzb,2013,15.42068
uzb,2014,15.67679
uzb,2015,15.80406
uzb,2016,16.31752
uzb,2018,16.30342
uzb,2019,16.4321
ven,2011,18.50633
ven,2015,21.54465
ven,2016,25.14617
vnm,2019,10.2479
wsm,2001,3.93854
zaf,2015,6.06522
zaf,2017,8.24519
zaf,2019,8.01776
zwe,2017,3.25141
