geo,time,ne_dab_totl_kd
abw,2015,2966692905.74598
ago,2000,41144962081.2059
ago,2001,49855368378.8222
ago,2002,50776054817.19589
ago,2003,55375482250.5423
ago,2004,59694032900.92351
ago,2005,64569217085.9759
ago,2006,68636914289.0742
ago,2007,74590786950.7177
ago,2008,86301517169.50409
ago,2009,89571069077.9182
ago,2010,88618244272.6436
ago,2011,100569350995.72701
ago,2012,107594958401.185
ago,2013,116674597456.08501
ago,2014,121061607285.696
ago,2015,120120206438.077
ago,2016,113836969372.56799
ago,2017,116704326487.84599
ago,2018,112323246038.23599
ago,2019,110729298494.24899
ago,2020,105379353947.106
alb,1997,5813275457.48896
alb,1998,5960667185.40649
alb,1999,6421584530.22389
alb,2000,7445348101.94395
alb,2001,8184510088.12149
alb,2002,8725298851.68551
alb,2003,9070505702.19205
alb,2004,9464767645.92184
alb,2005,10034092124.8449
alb,2006,10535587778.5836
alb,2007,11462837154.6843
alb,2008,12740502814.9194
alb,2009,12881990502.855
alb,2010,12813097267.3895
alb,2011,13167470325.7683
alb,2012,12915669870.6693
alb,2013,13054623416.3996
alb,2014,13210012687.8126
alb,2015,13393719122.5587
alb,2016,13657642283.329
alb,2017,14057682863.7157
alb,2018,14394539963.5059
alb,2019,14802633563.0264
are,2001,195426221918.63199
are,2002,207003959521.68497
are,2003,213439199927.65897
are,2004,231158246129.99496
are,2005,240744093706.948
are,2006,272470642123.00296
are,2007,316484767866.35797
are,2008,345954510027.95001
are,2009,291522280890.88293
are,2010,234090486699.733
are,2011,251599821894.423
are,2012,234070161528.62296
are,2013,250811340972.48801
are,2014,283412318418.06201
are,2015,263158770129.34
are,2016,268189590685.556
are,2017,294833501866.17401
are,2018,288903749364.953
are,2019,295086722383.62201
are,2020,278002737090.065
arg,1960,138759047067.02899
arg,1961,152223625850.73499
arg,1962,146372373270.29501
arg,1963,137812687542.418
arg,1964,156700615604.867
arg,1965,168743936325.75201
arg,1966,166077097545.198
arg,1967,171375764337.966
arg,1968,180667726662.79599
arg,1969,197975446869.77896
arg,1970,202150119345.00296
arg,1971,215120275354.70001
arg,1972,218073435241.88
arg,1973,223425086765.29199
arg,1974,236487427843.52399
arg,1975,237302838698.45999
arg,1976,227684822541.871
arg,1977,242527951293.35501
arg,1978,230537813320.94501
arg,1979,259985432832.112
arg,1980,277583064091.09698
arg,1981,260472609094.513
arg,1982,240333416980.76999
arg,1983,248873453123.52802
arg,1984,255660652606.21896
arg,1985,232594555339.76401
arg,1986,254771324845.80096
arg,1987,263615052621.078
arg,1988,253001172183.01599
arg,1989,231145663086.263
arg,1990,222348950489.37399
arg,1991,259448675765.40897
arg,1992,300760119040.315
arg,1993,319156998663.68494
arg,1994,339710495664.151
arg,1995,321949893457.39502
arg,1996,342395621916.06
arg,1997,375224964691.77502
arg,1998,389226480659.00403
arg,1999,372474595995.93597
arg,2000,368663341546.992
arg,2001,345595976291.74902
arg,2002,288205091932.698
arg,2003,319215212606.05798
arg,2004,355669679630.177
arg,2005,387460357031.966
arg,2006,423641898311.47699
arg,2007,470512374449.12701
arg,2008,502910115341.79901
arg,2009,465338991074.01898
arg,2010,529451800306.59601
arg,2011,582496170675.81006
arg,2012,576512267970.85291
arg,2013,599646835686.58398
arg,2014,576772680412.31482
arg,2015,601142376256.01794
arg,2016,592282620115.08704
arg,2017,626611560652.45203
arg,2018,604365618819.203
arg,2019,555624769111.22302
arg,2020,489369352000.62598
arm,1994,4534384468.24187
arm,1995,4695118521.86194
arm,1996,4819158303.00662
arm,1997,5213612447.95466
arm,1998,5353631017.99237
arm,1999,5359315747.0912
arm,2000,5587054913.912
arm,2001,5896133544.22578
arm,2002,6619428263.13192
arm,2003,7640238296.04327
arm,2004,8267225937.71182
arm,2005,9400681035.88838
arm,2006,10810340380.094
arm,2007,12664102771.3197
arm,2008,14004973703.7804
arm,2009,11682103224.2161
arm,2010,11914904101.1442
arm,2011,11923295545.8335
arm,2012,12323992458.8411
arm,2013,12374446782.9268
arm,2014,12479695807.8639
arm,2015,11794196455.754
arm,2016,11402125982.3698
arm,2017,12698806039.1096
arm,2018,13857731558.6526
arm,2019,14708640221.8525
arm,2020,13311950350.3886
atg,2015,1427415444.44444
aus,2015,1370617355853.22998
aut,1970,139962213018.37
aut,1971,146980159429.79501
aut,1972,156715328429.15799
aut,1973,166025022534.737
aut,1974,171030132821.48099
aut,1975,169712594030.45401
aut,1976,180489597853.13901
aut,1977,193130628822.104
aut,1978,186606977060.52896
aut,1979,200331293144.896
aut,1980,203261857309.49399
aut,1981,202280413272.80801
aut,1982,202327775049.57001
aut,1983,208034661115.73801
aut,1984,207932517140.00101
aut,1985,213673220049.561
aut,1986,217143817423.41296
aut,1987,221855894260.61401
aut,1988,230968045143.582
aut,1989,240237672519.65399
aut,1990,250295584395.23199
aut,1991,258943381943.216
aut,1992,264880197913.272
aut,1993,265124723459.23599
aut,1994,273547487383.71701
aut,1995,280632157681.35901
aut,1996,286308813959.30902
aut,1997,289769295904.13702
aut,1998,298201394160.56598
aut,1999,306669418444.39502
aut,2000,313969957789.06299
aut,2001,315266989453.33197
aut,2002,313866029716.59802
aut,2003,321132884249.90601
aut,2004,327566716504.93402
aut,2005,334377871903.80493
aut,2006,342265865038.672
aut,2007,351663860837.164
aut,2008,355504972274.25
aut,2009,349466048942.38293
aut,2010,351251033280.82001
aut,2011,361107379949.55798
aut,2012,361557819992.89398
aut,2013,361314437245.20697
aut,2014,363158769428.164
aut,2015,367647414778.47601
aut,2016,376203490005.30493
aut,2017,385057436157.87903
aut,2018,394309275823.28894
aut,2019,396683089747.90997
aut,2020,373507872961.88702
aze,2015,51488483310.5602
bdi,1997,1633070175.73807
bdi,1998,1765620435.56555
bdi,1999,1734540597.67231
bdi,2000,1717783961.87457
bdi,2001,1759470335.62139
bdi,2002,1870398023.56627
bdi,2003,1880443373.76722
bdi,2004,2052972091.85161
bdi,2005,2285831973.11277
bdi,2006,2528898645.80848
bdi,2007,2561532842.14197
bdi,2008,2719157671.35238
bdi,2009,2730430715.05007
bdi,2010,2861324960.98863
bdi,2011,3032941063.4306
bdi,2012,3157338499.46346
bdi,2013,3453405777.15949
bdi,2014,3511570941.53888
bdi,2015,3415244217.13542
bdi,2016,3272106073.4232
bdi,2017,3327624312.65374
bdi,2018,3525819600.30263
bdi,2019,3719964778.51648
bdi,2020,3871730377.40084
bel,1970,176316334870.526
bel,1971,182468062377.983
bel,1972,190919004601.34695
bel,1973,206640558168.66696
bel,1974,215981792397.18799
bel,1975,212812730670.16
bel,1976,224243163248.06
bel,1977,229107696032.535
bel,1978,236668471625.69901
bel,1979,245043871554.392
bel,1980,252129549289.73901
bel,1981,244795389485.45999
bel,1982,244441208561.48801
bel,1983,240116838799.27496
bel,1984,245348645869.34399
bel,1985,249741179665.50601
bel,1986,256732716341.59601
bel,1987,264918715762.78201
bel,1988,278059758701.52197
bel,1989,289912474104.62
bel,1990,299393147475.18298
bel,1991,304578904212.72699
bel,1992,310060109809.37598
bel,1993,307282114762.36798
bel,1994,314769134376.61499
bel,1995,321293852380.078
bel,1996,326252265488.28101
bel,1997,335100852693.59399
bel,1998,343408774267.30402
bel,1999,352107799134.96094
bel,2000,364960840265.11694
bel,2001,366417186885.35101
bel,2002,366698670305.70306
bel,2003,370027430880.15601
bel,2004,382354119095
bel,2005,392472432852.34302
bel,2006,400210619556.71802
bel,2007,414616313026.01501
bel,2008,422626108486.01501
bel,2009,416434138946.01501
bel,2010,425501522093.35907
bel,2011,435434769100.54694
bel,2012,438071304582.53906
bel,2013,438175376891.67902
bel,2014,446075219624.21893
bel,2015,455779574122.07001
bel,2016,465642921817.14801
bel,2017,472039374582.89001
bel,2018,483726650518.86707
bel,2019,492769624382.61694
bel,2020,462899651195.078
ben,1960,1777779054.70875
ben,1961,1809131039.42928
ben,1962,1801459480.37566
ben,1963,1935040268.28603
ben,1964,2022503285.66915
ben,1965,2134973632.564
ben,1966,2299377143.04081
ben,1967,2428073392.18271
ben,1968,2513859982.77605
ben,1969,2535186156.27732
ben,1970,2594708782.88876
ben,1971,2610461800.11032
ben,1972,2801533856.33024
ben,1973,2909601474.26247
ben,1974,3006546464.55332
ben,1975,2945938704.62838
ben,1976,2911921100.66127
ben,1977,3093276804.38731
ben,1978,3140121919.56147
ben,1979,3434099034.35213
ben,1980,3806256574.21014
ben,1981,4182454220.33259
ben,1982,4033195421.88466
ben,1983,3684862065.10874
ben,1984,3749296818.72844
ben,1985,4013217622.07622
ben,1986,4103531676.44735
ben,1987,3995739351.02072
ben,1988,4262626161.90381
ben,1989,3901223807.79854
ben,1990,4132546687.53059
ben,1991,4435316264.88447
ben,1992,4606659339.45489
ben,1993,4820425574.62919
ben,1994,4659394687.55439
ben,1995,5048561450.49227
ben,1996,5119436416.43087
ben,1997,5447051170.33374
ben,1998,5652053499.27953
ben,1999,6018213969.71677
ben,2000,6347044187.21754
ben,2001,6800067013.55877
ben,2002,6925901610.70899
ben,2003,7211637303.18599
ben,2004,7541052478.66374
ben,2005,7468659734.06819
ben,2006,7874675047.53374
ben,2007,8402146706.3321
ben,2008,8703024667.47529
ben,2009,9102425121.15373
ben,2010,9355060437.23425
ben,2011,9718183474.88726
ben,2012,9973194230.93285
ben,2013,10912516751.1062
ben,2014,11349917317.773
ben,2015,12221251710.6816
ben,2016,12342568660.2616
ben,2017,13326210156.3619
ben,2018,14196639788.421
ben,2019,14951742552.4563
ben,2020,15546343486.9439
bfa,1965,1604742506.48689
bfa,1966,1613123345.39145
bfa,1967,1803705617.55507
bfa,1968,1877907901.60295
bfa,1969,1938559978.71578
bfa,1970,1868456368.90131
bfa,1971,1959527454.24062
bfa,1972,1967296655.10418
bfa,1973,2006648905.90426
bfa,1974,2141245847.33123
bfa,1975,2319201768.63504
bfa,1976,2435551290.75299
bfa,1977,2597042608.99817
bfa,1978,2594873961.00882
bfa,1979,2621552473.22292
bfa,1980,2749794912.54777
bfa,1981,2867278893.68264
bfa,1982,3133740256.29514
bfa,1983,3100782866.08606
bfa,1984,2965567174.49823
bfa,1985,3316915523.61037
bfa,1986,3606578510.02036
bfa,1987,3505672130.04349
bfa,1988,3699202290.02122
bfa,1989,3672818588.57333
bfa,1990,3636885801.84874
bfa,1991,3880709695.69784
bfa,1992,3823167528.82259
bfa,1993,3976874457.99872
bfa,1994,3703629000.23799
bfa,1995,4029918050.16714
bfa,1996,4606481021.77274
bfa,1997,4810106446.97999
bfa,1998,5243505480.18586
bfa,1999,5550500679.02919
bfa,2000,5586832975.90356
bfa,2001,5772663103.08135
bfa,2002,6065389215.23373
bfa,2003,6432106698.83563
bfa,2004,6866295858.1503
bfa,2005,7441536679.66991
bfa,2006,7768717981.22399
bfa,2007,8056214852.1418
bfa,2008,8670957728.84738
bfa,2009,8871463459.70487
bfa,2010,9564019977.95375
bfa,2011,10223225273.6203
bfa,2012,11379453118.2316
bfa,2013,11901396712.379
bfa,2014,11860528157.8494
bfa,2015,12645488917.0833
bfa,2016,13555333901.5449
bfa,2017,14487977640.1583
bfa,2018,15225002363.9586
bfa,2019,16532850288.4838
bgd,1960,34538387318.1041
bgd,1961,37670488268.5754
bgd,1962,37330490629.8459
bgd,1963,38934826491.4013
bgd,1964,43150120221.4861
bgd,1965,43445859781.3074
bgd,1966,44266739456.58089
bgd,1967,43104829815.8712
bgd,1968,44063692982.6489
bgd,1969,46061742650.6018
bgd,1970,50420407720.0714
bgd,1971,49394191121.9769
bgd,1972,46841173809.5202
bgd,1973,41525605659.9727
bgd,1974,41370422764.2668
bgd,1975,39238237356.362
bgd,1976,42615477416.014
bgd,1977,39509654360.8537
bgd,1978,44516777323.05
bgd,1979,46578974494.5806
