geo,time,bm_trf_pwkr_cd_dt
abw,1991,16480446.92737
abw,1992,4692737.43017
abw,1993,4301675.97765
abw,1994,3687150.83799
abw,1995,4972067.03911
abw,1996,7206703.91061
abw,1997,10000000
abw,1998,11620111.73184
abw,1999,27391061.45251
abw,2000,43743016.75978
abw,2001,39111731.84358
abw,2002,45960893.85475
abw,2003,47636871.50838
abw,2004,49072625.69832
abw,2005,61930744.93957
abw,2006,71864171.25113
abw,2007,73072625.69832
abw,2008,75642458.10056
abw,2009,72960893.85475
abw,2010,64916201.11732
abw,2011,63910614.52514
abw,2012,67821229.05028
abw,2013,66652368.71508
abw,2014,70222692.17877
abw,2015,74978013.40782
abw,2016,98052501.9896
abw,2017,108045520.36978
abw,2018,111650956.92643
abw,2019,112627597.5506
abw,2020,96888358.76403
afg,2008,216603835.92
afg,2009,624996676.79
afg,2010,788698416.8004
afg,2011,454083461.9711
afg,2012,323642538.26842
afg,2013,444730790.48333
afg,2014,524163478.52878
afg,2015,228991809.21513
afg,2016,167894464.28253
afg,2017,143979106.23096
afg,2018,234618700.60052
afg,2019,217292317.99094
afg,2020,225420606.47992
ago,1985,79000000
ago,1986,89000000
ago,1987,77000000
ago,1988,71000000
ago,1989,104000000
ago,1990,150000000
ago,1991,124500000
ago,1992,121637000
ago,1993,132900000
ago,1994,148900000
ago,1995,209546000
ago,1996,173802000
ago,1997,179950000
ago,1998,201650000
ago,1999,263070000
ago,2000,266290000
ago,2001,216060000
ago,2002,223507959.12
ago,2003,229849970
ago,2004,296009591.2
ago,2005,214905215.9
ago,2006,412666784.97
ago,2007,602671451.28
ago,2008,669453676
ago,2009,715962015.82
ago,2010,714458886
ago,2011,564261541.64011
ago,2012,2051320868.26326
ago,2013,2395965855.79732
ago,2014,2746615873.18541
ago,2015,1252909011.69
ago,2016,1176110313.56
ago,2017,961415276.24
ago,2018,681627015.49227
ago,2019,549082042.55106
ago,2020,576471436.77899
alb,2003,4135728.07
alb,2004,4863740.36
alb,2005,6511798.04614
alb,2006,26532132.03065
alb,2007,9940000
alb,2008,279685288.70001
alb,2009,229819782.33304
alb,2010,209306821.56566
alb,2011,150855105.34463
alb,2012,215775643.88998
alb,2013,190551293.64341
alb,2014,178722842.21842
alb,2015,153312400.47806
alb,2016,147156757.38801
alb,2017,106330982.91276
alb,2018,114879336.94313
alb,2019,119679640.76948
alb,2020,124630375.6692
and,2019,91484853.44466
arg,1978,16000000
arg,1979,28000000
arg,1980,36000000
arg,1981,27000000
arg,1982,18000000
arg,1983,19000000
arg,1984,22000000
arg,1985,18000000
arg,1986,20000000
arg,1987,21000000
arg,1988,45360000.61
arg,1989,69720001.22
arg,1990,94080001.83
arg,1991,118440002.4
arg,1992,142800000
arg,1993,163100000
arg,1994,176600000
arg,1995,195200000
arg,1996,207300000
arg,1997,231700000
arg,1998,246500000
arg,1999,250300000
arg,2000,267700000
arg,2001,256100000
arg,2002,119550000
arg,2003,180410000
arg,2004,234470000
arg,2005,314010000
arg,2006,356443536.60975
arg,2007,463192097.27043
arg,2008,631436069.11305
arg,2009,766571548.30818
arg,2010,1037765445.69439
arg,2011,1137054505.60572
arg,2012,979205922.33317
arg,2013,887803486.56114
arg,2014,732414557.14598
arg,2015,685001365.91428
arg,2016,769242057.98673
arg,2017,1060484529.95531
arg,2018,1010375535.64433
arg,2019,694899063.05211
arg,2020,545151525.23509
arm,1996,31400000
arm,1997,37190000
arm,1998,3210000
arm,1999,8045000
arm,2000,3520000
arm,2001,18080000
arm,2002,22791214.45485
arm,2003,25591178
arm,2004,184166845.25963
arm,2005,207369058.14149
arm,2006,182059933.21431
arm,2007,238832730.67945
arm,2008,223597466.86359
arm,2009,180494515.85986
arm,2010,227429876.33584
arm,2011,300394193.48562
arm,2012,314788691.74546
arm,2013,355297861.23384
arm,2014,390589978.81449
arm,2015,363788468.80537
arm,2016,358015507.11494
arm,2017,367496443.76459
arm,2018,341256855.40044
arm,2019,362693785.05986
arm,2020,304365569.42843
atg,1986,11148148.54
atg,1987,10925926.21
atg,1988,4314815.044
atg,1989,9474074.364
atg,1990,6311111.11111
atg,1991,7867901.325
atg,1992,9424691.2
atg,1993,10981481.48148
atg,1994,8396296.2963
atg,1995,7859259.25926
atg,1996,2051851.85185
atg,1997,1111111.11111
atg,1998,1085185.18519
atg,1999,1581851.85185
atg,2000,1558148.14815
atg,2001,1564444.44444
atg,2002,1411481.48148
atg,2003,1489292.59259
atg,2004,1566737.03704
atg,2005,1670140.74074
atg,2006,1837154.81481
atg,2007,2131100.37037
atg,2008,2367652.22222
atg,2009,2122362.96296
atg,2010,2066960
atg,2011,2047116.2963
atg,2012,2157660.74074
atg,2013,2222448.14815
atg,2014,52088361.55478
atg,2015,52822644.38
atg,2016,54742927.4963
atg,2017,55445390.11111
atg,2018,54174267.54815
atg,2019,47772733.21741
atg,2020,44829214.24617
aus,1970,66080009.46
aus,1971,83962074.28
aus,1972,122832298.3
aus,1973,193900329.6
aus,1974,213557098.4
aus,1975,222246444.7
aus,1976,211665603.6
aus,1977,208692459.1
aus,1978,247260421.8
aus,1979,273925994.9
aus,1980,303632507.3
aus,1981,365259887.7
aus,1982,365698913.6
aus,1983,381575408.9
aus,1984,403232727.1
aus,1985,311754455.6
aus,1986,291884246.8
aus,1987,340696655.3
aus,1988,428584075.9
aus,1989,555251220.7
aus,1990,601367466.96233
aus,1991,522617128.63364
aus,1992,457806049.58798
aus,1993,441562934.03984
aus,1994,487695522.1576
aus,1995,570167764.18997
aus,1996,728177753.77696
aus,1997,771092538.01461
aus,1998,796700672.8732
aus,1999,870854803.38831
aus,2000,868990623.79405
aus,2001,855078367.42153
aus,2002,991488492.4147
