geo,time,pa_nus_pppc_rf
abw,1990,0.52834
abw,1991,0.53974
abw,1992,0.54773
abw,1993,0.56339
abw,1994,0.58638
abw,1995,0.59369
abw,1996,0.60214
abw,1997,0.61348
abw,1998,0.64651
abw,1999,0.65133
abw,2000,0.64376
abw,2001,0.6654
abw,2002,0.6847
abw,2003,0.68632
abw,2004,0.68284
abw,2005,0.68428
abw,2006,0.68374
abw,2007,0.70547
abw,2008,0.72712
abw,2009,0.73408
abw,2010,0.72071
abw,2011,0.7279
abw,2012,0.7362
abw,2013,0.71796
abw,2014,0.7312
abw,2015,0.76107
abw,2016,0.75701
abw,2017,0.75458
afg,2002,0.20459
afg,2003,0.20551
afg,2004,0.22841
afg,2005,0.23658
afg,2006,0.2447
afg,2007,0.29274
afg,2008,0.28656
afg,2009,0.28773
afg,2010,0.31762
afg,2011,0.34786
afg,2012,0.33364
afg,2013,0.30975
afg,2014,0.29681
afg,2015,0.26638
afg,2016,0.25845
afg,2017,0.25101
afg,2018,0.2332
afg,2019,0.2296
afg,2020,0.2486
ago,1990,0.35397
ago,1991,0.32016
ago,1992,0.26045
ago,1993,0.2324
ago,1994,0.17275
ago,1995,0.18361
ago,1996,0.21579
ago,1997,0.20083
ago,1998,0.16137
ago,1999,0.14722
ago,2000,0.20733
ago,2001,0.19057
ago,2002,0.2305
ago,2003,0.25606
ago,2004,0.29714
ago,2005,0.39325
ago,2006,0.48481
ago,2007,0.51598
ago,2008,0.61764
ago,2009,0.48261
ago,2010,0.54461
ago,2011,0.68777
ago,2012,0.688
ago,2013,0.68401
ago,2014,0.66123
ago,2015,0.5679
ago,2016,0.49359
ago,2017,0.56023
ago,2018,0.46333
ago,2019,0.40412
ago,2020,0.27557
alb,1990,0.2924
alb,1991,0.21294
alb,1992,0.13305
alb,1993,0.2156
alb,1994,0.3093
alb,1995,0.33966
alb,1996,0.33909
alb,1997,0.26397
alb,1998,0.26937
alb,1999,0.29762
alb,2000,0.29183
alb,2001,0.29809
alb,2002,0.30573
alb,2003,0.36922
alb,2004,0.43731
alb,2005,0.45587
alb,2006,0.45271
alb,2007,0.4936
alb,2008,0.53116
alb,2009,0.46682
alb,2010,0.42522
alb,2011,0.43468
alb,2012,0.40353
alb,2013,0.41747
alb,2014,0.40665
alb,2015,0.33904
alb,2016,0.34143
alb,2017,0.35479
alb,2018,0.39173
alb,2019,0.38546
alb,2020,0.39115
are,1990,0.3181
are,1991,0.31019
are,1992,0.30876
are,1993,0.30546
are,1994,0.29829
are,1995,0.30358
are,1996,0.31533
are,1997,0.30684
are,1998,0.2904
are,1999,0.31044
are,2000,0.33845
are,2001,0.3234
are,2002,0.33037
are,2003,0.33756
are,2004,0.35665
are,2005,0.40304
are,2006,0.438
are,2007,0.48
are,2008,0.5581
are,2009,0.46979
are,2010,0.52238
are,2011,0.57906
are,2012,0.59298
are,2013,0.60267
are,2014,0.5943
are,2015,0.59572
are,2016,0.59626
are,2017,0.60498
are,2018,0.63928
are,2019,0.60016
are,2020,0.54341
arg,1990,0.60262
arg,1991,0.71689
arg,1992,0.7831
arg,1993,0.73152
arg,1994,0.7359
arg,1995,0.7436
arg,1996,0.72984
arg,1997,0.71369
arg,1998,0.69372
arg,1999,0.67128
arg,2000,0.66342
arg,2001,0.64206
arg,2002,0.25799
arg,2003,0.30383
arg,2004,0.35021
arg,2005,0.37659
arg,2006,0.39587
arg,2007,0.43726
arg,2008,0.51832
arg,2009,0.50354
arg,2010,0.57502
arg,2011,0.66498
arg,2012,0.66608
arg,2013,0.64973
arg,2014,0.62665
arg,2015,0.68585
arg,2016,0.62982
arg,2017,0.61927
arg,2018,0.50637
arg,2019,0.43726
arg,2020,0.41303
arm,1990,0.23009
arm,1991,0.23117
arm,1992,0.23881
arm,1993,0.24142
arm,1994,0.24552
arm,1995,0.25115
arm,1996,0.25338
arm,1997,0.24734
arm,1998,0.2633
arm,1999,0.24486
arm,2000,0.23426
arm,2001,0.23179
arm,2002,0.22611
arm,2003,0.23002
arm,2004,0.25828
arm,2005,0.30131
arm,2006,0.33659
arm,2007,0.41571
arm,2008,0.48321
arm,2009,0.41398
arm,2010,0.42876
arm,2011,0.43933
arm,2012,0.39318
arm,2013,0.39022
arm,2014,0.39716
arm,2015,0.36183
arm,2016,0.33555
arm,2017,0.32311
arm,2018,0.32415
arm,2019,0.32356
arm,2020,0.32046
atg,1990,0.65178
atg,1991,0.64689
atg,1992,0.64804
atg,1993,0.64452
atg,1994,0.65152
atg,1995,0.65347
atg,1996,0.66083
atg,1997,0.66108
atg,1998,0.66752
atg,1999,0.66791
atg,2000,0.6455
atg,2001,0.64101
atg,2002,0.63546
atg,2003,0.61848
atg,2004,0.61154
atg,2005,0.61952
atg,2006,0.60378
atg,2007,0.60994
atg,2008,0.62451
atg,2009,0.63117
atg,2010,0.63309
atg,2011,0.62644
atg,2012,0.67725
atg,2013,0.68682
atg,2014,0.70915
atg,2015,0.75539
atg,2016,0.76298
atg,2017,0.77537
atg,2018,0.77501
atg,2019,0.763
atg,2020,0.76707
aus,1990,1.05046
aus,1991,1.05798
aus,1992,1.02139
aus,1993,0.92211
aus,1994,0.89974
aus,1995,0.97299
aus,1996,0.99525
aus,1997,1.02337
aus,1998,0.88168
aus,1999,0.81273
aus,2000,0.82366
aus,2001,0.71164
aus,2002,0.69929
aus,2003,0.78814
aus,2004,0.97155
aus,2005,1.04372
aus,2006,1.05086
aus,2007,1.12025
aus,2008,1.32415
aus,2009,1.0621
aus,2010,1.32416
aus,2011,1.48975
aus,2012,1.58807
aus,2013,1.48469
aus,2014,1.33342
aus,2015,1.22613
aus,2016,1.05558
aus,2017,1.11438
aus,2018,1.13976
aus,2019,1.06042
aus,2020,0.9693
aut,1990,1.11402
aut,1991,1.0876
aut,1992,1.16912
aut,1993,1.1087
aut,1994,1.13331
aut,1995,1.2804
aut,1996,1.21403
aut,1997,1.05029
aut,1998,1.02575
aut,1999,0.98468
aut,2000,0.83829
aut,2001,0.82682
aut,2002,0.85082
aut,2003,1.00466
aut,2004,1.09224
aut,2005,1.09721
aut,2006,1.07985
aut,2007,1.18982
aut,2008,1.25665
aut,2009,1.17682
aut,2010,1.11651
