geo,time,sh_tbs_cure_zs
abw,2009,0
abw,2011,93
afg,2000,85
afg,2001,84
afg,2002,87
afg,2003,86
afg,2004,89
afg,2005,90
afg,2006,84
afg,2007,87
afg,2008,88
afg,2009,86
afg,2010,86
afg,2011,88
afg,2012,88
afg,2013,88
afg,2014,87
afg,2015,88
afg,2016,93
afg,2017,91
afg,2018,91
afg,2019,91
ago,2000,68
ago,2001,68
ago,2002,74
ago,2003,71
ago,2004,69
ago,2005,72
ago,2006,18
ago,2007,74
ago,2008,37
ago,2009,41
ago,2010,48
ago,2011,27
ago,2012,45
ago,2013,23
ago,2014,34
ago,2016,27
ago,2017,25
ago,2018,50
ago,2019,69
alb,2001,91
alb,2002,84
alb,2003,88
alb,2004,75
alb,2005,81
alb,2006,87
alb,2007,87
alb,2008,88
alb,2009,86
alb,2010,89
alb,2011,92
alb,2012,92
alb,2013,88
alb,2014,88
alb,2015,87
alb,2016,87
alb,2017,87
alb,2018,89
alb,2019,88
and,2000,50
and,2001,100
and,2002,100
and,2003,100
and,2004,80
and,2005,89
and,2006,80
and,2007,100
and,2008,100
and,2009,88
and,2010,86
and,2011,100
and,2012,100
and,2013,60
and,2014,83
and,2015,100
and,2016,75
and,2017,100
and,2018,100
and,2019,60
are,2000,74
are,2001,62
are,2002,79
are,2003,64
are,2004,71
are,2005,77
are,2006,92
are,2007,75
are,2008,70
are,2009,69
are,2010,72
are,2011,69
are,2012,76
are,2013,75
are,2014,91
are,2015,85
are,2016,88
are,2017,88
are,2018,80
are,2019,81
arg,2000,47
arg,2001,61
arg,2002,58
arg,2003,66
arg,2004,57
arg,2005,46
arg,2006,55
arg,2007,60
arg,2008,38
arg,2009,43
arg,2010,45
arg,2011,49
arg,2012,56
arg,2013,51
arg,2014,52
arg,2015,47
arg,2016,54
arg,2017,57
arg,2018,54
arg,2019,47
arm,2000,87
arm,2001,90
arm,2002,79
arm,2003,77
arm,2004,75
arm,2005,77
arm,2006,75
arm,2007,77
arm,2008,78
arm,2009,79
arm,2010,82
arm,2011,78
arm,2012,81
arm,2013,81
arm,2014,78
arm,2015,79
arm,2016,81
arm,2017,79
arm,2018,81
arm,2019,82
asm,2000,100
asm,2001,100
asm,2002,100
asm,2003,100
asm,2004,83
asm,2005,75
asm,2007,100
asm,2008,100
asm,2009,100
asm,2010,100
asm,2016,100
asm,2017,80
asm,2018,100
asm,2019,100
atg,2000,100
atg,2001,100
atg,2002,100
atg,2004,100
atg,2005,50
atg,2007,50
atg,2008,100
atg,2009,67
atg,2010,33
atg,2011,17
atg,2012,50
atg,2013,67
atg,2015,50
atg,2017,100
atg,2018,100
aus,2000,72
aus,2001,70
aus,2002,78
aus,2003,80
aus,2004,91
aus,2005,85
aus,2006,85
aus,2007,85
aus,2008,81
aus,2009,80
aus,2010,82
aus,2011,78
aus,2012,82
aus,2013,85
aus,2014,79
aus,2015,73
aus,2016,78
aus,2017,82
aus,2018,79
aus,2019,86
aut,2000,73
aut,2001,64
aut,2002,78
aut,2003,68
aut,2004,70
aut,2005,71
aut,2006,71
aut,2008,70
aut,2009,70
aut,2010,75
aut,2011,72
aut,2012,69
aut,2013,72
aut,2014,74
aut,2015,73
aut,2016,75
aut,2017,69
aut,2018,73
aut,2019,74
aze,2000,90
aze,2001,77
aze,2002,83
aze,2003,70
aze,2004,66
aze,2005,59
aze,2006,60
aze,2007,58
aze,2008,56
aze,2009,66
aze,2010,73
aze,2011,78
aze,2012,83
aze,2013,82
aze,2014,83
aze,2015,83
aze,2016,84
aze,2017,84
aze,2018,84
aze,2019,84
bdi,2000,80
bdi,2001,80
bdi,2002,79
bdi,2003,79
bdi,2004,73
bdi,2005,71
bdi,2006,78
bdi,2007,80
bdi,2008,82
bdi,2009,86
bdi,2010,88
bdi,2011,89
bdi,2012,89
bdi,2013,91
bdi,2014,91
bdi,2015,92
bdi,2016,92
bdi,2017,93
bdi,2018,94
bdi,2019,94
bel,2000,66
bel,2001,64
bel,2002,69
bel,2003,73
bel,2004,60
bel,2005,58
bel,2006,61
bel,2007,68
bel,2008,45
bel,2009,78
bel,2010,78
bel,2011,80
bel,2012,77
bel,2013,79
bel,2014,81
bel,2015,79
bel,2016,82
bel,2017,79
bel,2018,82
bel,2019,81
ben,2000,78
ben,2001,79
ben,2002,80
ben,2003,81
ben,2004,83
ben,2005,87
ben,2006,86
ben,2007,86
ben,2008,87
ben,2009,88
ben,2010,90
ben,2011,89
ben,2012,90
ben,2013,89
ben,2014,89
ben,2015,88
ben,2016,88
ben,2017,87
ben,2018,87
ben,2019,89
bfa,2000,60
bfa,2001,65
bfa,2002,64
bfa,2003,66
bfa,2004,67
bfa,2005,71
bfa,2006,72
bfa,2007,73
bfa,2008,76
bfa,2009,77
bfa,2010,78
bfa,2011,77
bfa,2012,80
bfa,2013,80
bfa,2014,81
bfa,2015,78
bfa,2016,80
bfa,2017,80
bfa,2018,80
bfa,2019,81
bgd,2000,81
bgd,2001,83
bgd,2002,84
bgd,2003,85
bgd,2004,90
bgd,2005,90
bgd,2006,91
bgd,2007,90
bgd,2008,91
bgd,2009,91
bgd,2010,91
bgd,2011,91
bgd,2012,92
bgd,2013,93
bgd,2014,93
bgd,2015,93
bgd,2016,94
bgd,2017,94
bgd,2018,94
bgd,2019,95
bgr,2001,87
bgr,2002,84
bgr,2003,91
