global,time,se_prm_tenr
world,2007,89.74708
world,2009,89.88673
world,2010,89.73896
world,2011,89.76079
world,2012,90.09036
world,2013,90.28756
world,2014,90.44798
world,2015,90.30999
world,2016,90.5136
world,2017,90.48209
world,2018,90.45493
