global,time,ne_gdi_ftot_kd
world,1987,9064163557662.75977
world,1988,9641068509878.96094
world,1989,10207815114031.69922
world,1990,10609005496816.30078
world,1991,10477800912189.30078
world,1992,10321028750791.19922
world,1993,10225133009994.69922
world,1994,10573854995257.19922
world,1995,10960150625976.30078
world,1996,11631980005499.59961
world,1997,12168819613064.40039
world,1998,12505819539339.19922
world,1999,12957450886115.5
world,2000,13678656134885.80078
world,2001,13697479313045.59961
world,2002,13664305035768.09961
world,2003,14133705862622.09961
world,2004,14907390109190.5
world,2005,15775135444232.19922
world,2006,16670271985135.5
world,2007,17447191450965.90039
world,2008,17523381554053.5
world,2009,15825542090978.30078
world,2010,16345518332558.09961
world,2011,17065870989378.19922
world,2012,17411154511454.90039
world,2013,17766352113232.10156
world,2014,18272511789482.80078
world,2015,18751157454204.5
world,2016,19112612117760.5
world,2017,19825393033031
world,2018,20472997005238.60156
world,2019,21033276189515.5
world,2020,20037126815437.80078
