global,time,nv_agr_totl_cd
world,1969,279380028915.70099
world,1970,292112691467.27502
world,1971,306475299877.52197
world,1972,340895673328.41101
world,1973,429737625346.32202
world,1974,494077038508.05402
world,1975,532231904203.86603
world,1976,541701445987.73199
world,1977,608134740385.11206
world,1978,636278103678.25098
world,1979,738519668254.53796
world,1980,783069456845.36401
world,1981,815984450060.60901
world,1982,815171638967.42383
world,1983,815458916852.67102
world,1984,830690013850.73206
world,1985,859273135726.43982
world,1986,920845508103.52991
world,1987,959629039156.96484
world,1988,1027765830414.97998
world,1989,1043596595632.58997
world,1990,1141294653104.26001
world,1991,1071677529090.93994
world,1992,1032428586026.33997
world,1993,990371748060.14893
world,1994,1081906624001.05005
world,1995,1191054599965.94995
world,1996,1257374816857.51001
world,1997,1216887861488.82007
world,1998,1173934519233.21997
world,1999,1149909764760.63989
world,2000,1144595241382.38989
world,2001,1132803182761.80005
world,2002,1162179587991.01001
world,2003,1298048407267.82007
world,2004,1480738902896.29004
world,2005,1544692958277.66992
world,2006,1664335273182.53003
world,2007,1974834555105.59009
world,2008,2280622965147.7998
world,2009,2238206375785.9502
world,2010,2577189463712.83984
world,2011,2937673850860.8501
world,2012,3024370119467.43994
world,2013,3212439584608.25977
world,2014,3281245351341.3999
world,2015,3160497234673.68018
world,2016,3163834409234.72949
world,2017,3338009214067.33008
world,2018,3388121359229.6001
world,2019,3511909076596.83984
world,2020,3682960420649.52002
