global,time,is_rrs_good_mt_k6
world,1995,2067
world,1996,2139
world,1997,2287.5
world,1998,2555.5
world,1999,2106
world,2000,2282
world,2001,3982
world,2002,3766
world,2003,3563.5
world,2004,3904
world,2005,4179.5
world,2006,5396
world,2007,5837
world,2010,6228
