global,time,sm_pop_totl
world,1960,71884946
world,1965,75216134
world,1970,78381866
world,1975,82720982
world,1980,93716870
world,1985,104614205
world,1990,152269004
world,1995,160448332
world,2000,172278883
world,2005,190789342
world,2010,221233994
world,2015,243192681
