geo,time,sp_pop_totl_ma_zs
abw,1960,49.02044
abw,1961,49.03489
abw,1962,49.03439
abw,1963,49.01321
abw,1964,48.98736
abw,1965,48.97571
abw,1966,48.96017
abw,1967,48.96113
abw,1968,48.95421
abw,1969,48.93588
abw,1970,48.90469
abw,1971,48.85435
abw,1972,48.80616
abw,1973,48.72668
abw,1974,48.67745
abw,1975,48.64557
abw,1976,48.64985
abw,1977,48.66481
abw,1978,48.69888
abw,1979,48.72774
abw,1980,48.73954
abw,1981,48.73929
abw,1982,48.72108
abw,1983,48.69561
abw,1984,48.71232
abw,1985,48.74651
abw,1986,48.82912
abw,1987,48.94078
abw,1988,49.0765
abw,1989,49.21764
abw,1990,49.32906
abw,1991,49.40811
abw,1992,49.46512
abw,1993,49.47514
abw,1994,49.43224
abw,1995,49.32025
abw,1996,49.16537
abw,1997,48.95963
abw,1998,48.71792
abw,1999,48.47937
abw,2000,48.25457
abw,2001,48.05904
abw,2002,47.88403
abw,2003,47.73439
abw,2004,47.62618
abw,2005,47.56068
abw,2006,47.54041
abw,2007,47.55695
abw,2008,47.60463
abw,2009,47.64815
abw,2010,47.67127
abw,2011,47.67075
abw,2012,47.64783
abw,2013,47.6082
abw,2014,47.57169
abw,2015,47.53448
abw,2016,47.50966
abw,2017,47.48721
abw,2018,47.46896
abw,2019,47.44897
abw,2020,47.4327
afg,1960,51.67934
afg,1961,51.58731
afg,1962,51.50061
afg,1963,51.41913
afg,1964,51.34286
afg,1965,51.27161
afg,1966,51.20594
afg,1967,51.14573
afg,1968,51.08983
afg,1969,51.03683
afg,1970,50.98622
afg,1971,50.93788
afg,1972,50.8929
afg,1973,50.85359
afg,1974,50.82255
afg,1975,50.8014
afg,1976,50.7895
afg,1977,50.78578
afg,1978,50.79021
afg,1979,50.80288
afg,1980,50.82374
afg,1981,50.85707
afg,1982,50.90366
afg,1983,50.95582
afg,1984,51.00055
afg,1985,51.02852
afg,1986,51.02616
afg,1987,50.99864
afg,1988,50.97835
afg,1989,51.01028
afg,1990,51.11552
afg,1991,51.29457
afg,1992,51.50716
afg,1993,51.69749
afg,1994,51.8204
afg,1995,51.86242
afg,1996,51.82339
afg,1997,51.7238
afg,1998,51.59789
afg,1999,51.49307
afg,2000,51.44143
afg,2001,51.45443
afg,2002,51.51198
afg,2003,51.58017
afg,2004,51.61923
afg,2005,51.6081
afg,2006,51.54113
afg,2007,51.43428
afg,2008,51.31513
afg,2009,51.22083
afg,2010,51.17524
afg,2011,51.18422
afg,2012,51.23289
afg,2013,51.29993
afg,2014,51.35868
afg,2015,51.39295
afg,2016,51.40033
afg,2017,51.38838
afg,2018,51.36415
afg,2019,51.33761
afg,2020,51.31548
ago,1960,50.66437
ago,1961,50.75874
ago,1962,50.71019
ago,1963,50.59393
ago,1964,50.51281
ago,1965,50.53483
ago,1966,50.68379
ago,1967,50.92949
ago,1968,51.21617
ago,1969,51.45715
ago,1970,51.58938
ago,1971,51.59266
ago,1972,51.49811
ago,1973,51.34809
ago,1974,51.19215
ago,1975,51.06175
ago,1976,50.95985
ago,1977,50.87548
ago,1978,50.80348
ago,1979,50.73502
ago,1980,50.66481
ago,1981,50.59349
ago,1982,50.52443
ago,1983,50.45856
ago,1984,50.39678
ago,1985,50.33957
ago,1986,50.28673
ago,1987,50.23767
ago,1988,50.19172
ago,1989,50.14803
ago,1990,50.10596
ago,1991,50.06525
ago,1992,50.02596
ago,1993,49.98761
ago,1994,49.95004
ago,1995,49.91298
ago,1996,49.87621
ago,1997,49.83975
ago,1998,49.80431
ago,1999,49.77071
ago,2000,49.73944
ago,2001,49.71132
ago,2002,49.6858
ago,2003,49.66064
ago,2004,49.63314
ago,2005,49.60207
ago,2006,49.56688
ago,2007,49.52959
ago,2008,49.49442
ago,2009,49.46644
ago,2010,49.44834
ago,2011,49.44054
ago,2012,49.44077
ago,2013,49.44614
ago,2014,49.4529
ago,2015,49.45867
ago,2016,49.46299
ago,2017,49.46652
ago,2018,49.46954
ago,2019,49.47252
ago,2020,49.47586
alb,1960,51.40668
alb,1961,51.40261
alb,1962,51.39638
alb,1963,51.38869
alb,1964,51.38234
alb,1965,51.37854
alb,1966,51.37696
alb,1967,51.37789
alb,1968,51.37911
alb,1969,51.37827
alb,1970,51.37383
alb,1971,51.36523
alb,1972,51.35422
alb,1973,51.34233
alb,1974,51.33298
alb,1975,51.32795
alb,1976,51.32774
alb,1977,51.33091
alb,1978,51.33556
alb,1979,51.33918
alb,1980,51.33968
alb,1981,51.33145
alb,1982,51.31395
alb,1983,51.29625
alb,1984,51.28999
alb,1985,51.29986
alb,1986,51.34152
alb,1987,51.40402
alb,1988,51.43897
alb,1989,51.38544
alb,1990,51.2088
alb,1991,50.87564
alb,1992,50.40705
alb,1993,49.89215
alb,1994,49.47326
alb,1995,49.26257
alb,1996,49.31786
alb,1997,49.59637
alb,1998,49.99484
alb,1999,50.36475
alb,2000,50.60344
alb,2001,50.68145
alb,2002,50.63478
alb,2003,50.50777
alb,2004,50.37101
alb,2005,50.27763
alb,2006,50.2354
alb,2007,50.22731
alb,2008,50.25236
alb,2009,50.30393
alb,2010,50.37495
alb,2011,50.4698
alb,2012,50.58905
alb,2013,50.71548
alb,2014,50.82662
alb,2015,50.9062
alb,2016,50.947
alb,2017,50.9536
alb,2018,50.93691
alb,2019,50.91389
alb,2020,50.897
are,1960,50.06438
are,1961,51.74453
are,1962,53.85329
are,1963,55.88348
are,1964,57.5035
are,1965,58.67605
are,1966,59.41717
are,1967,59.94828
are,1968,60.63958
are,1969,61.81396
are,1970,63.41893
are,1971,65.12256
are,1972,66.63303
are,1973,67.86063
are,1974,68.7828
are,1975,69.42212
are,1976,69.89823
are,1977,70.23296
